Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"MacKenzie Gore","WSN",6,7,7,4.42219,23,22,0,1,115,499,107,61,56,15,53,1,5,110,8.65613,4.17337,2.07414,1.18178,0.221379,0.106733,0.11464602500200272,0.243585,1.39758,0.292824,0.711432,,,4.42787,0.996991,1.04311,373.25,3.51951,-2.82617,0.925293,"22201"
"Luis Ortiz","PIT",4,5,4,4.48207,20,14,0,0,75,322,72,41,37,9,28,1,4,68,8.15683,3.39971,2.39927,1.08104,0.211379,0.0881014,0.12327775359153748,0.248998,1.33925,0.296779,0.681364,,,4.13967,0.994633,0.46402,424.19000244140625,5.30415,-1.43627,0.268046,"27646"
"Domingo Germán","NYY",6,6,7,4.28722,30,17,0,0,107,446,103,55,51,17,29,1,4,93,7.84646,2.42003,3.2423,1.43892,0.208951,0.0644451,0.14450539648532867,0.25045,1.23619,0.285253,0.70964,,,4.37774,0.989128,0.861476,415.1000061035156,2.05914,1.06471,0.435374,"17149"
"Taylor Rogers","SFG",4,5,0,3.55959,62,0,9,13,62,257,56,27,25,5,17,1,4,75,10.8365,2.40334,4.50892,0.766292,0.291656,0.0646841,0.22697153687477112,0.237072,1.16795,0.324881,0.703743,,,2.79565,0.986973,0.472118,324.3800048828125,1.94329,-1.63477,0.817718,"13449"
"Raisel Iglesias","ATL",4,4,0,3.10937,64,0,32,1,64,255,53,24,22,7,16,1,2,77,10.9387,2.21423,4.94017,0.950093,0.303527,0.0614405,0.24208608269691467,0.223117,1.07742,0.301763,0.755025,,,2.88803,0.984815,0.997182,52.869998931884766,2.37723,0.681469,1.89614,"17130"
"Drey Jameson","ARI",5,5,6,4.28771,16,16,0,0,89,380,89,46,42,10,29,1,4,75,7.61259,2.91697,2.60976,0.995848,0.198036,0.0758829,0.12215305119752884,0.25627,1.32337,0.301966,0.689396,,,3.97487,0.977674,0.950946,363,3.60908,-1.3186,0.257294,"26260"
"Cole Irvin","BAL",9,11,12,4.47111,31,29,0,0,171,722,182,92,85,26,38,2,7,121,6.35369,2.00065,3.17581,1.37548,0.166857,0.05254,0.11431703716516495,0.269006,1.2895,0.294161,0.696871,,,4.47858,0.975904,0.968708,430.6000061035156,2.73678,0.614457,1.40931,"19244"
"Evan Phillips","LAD",4,3,0,3.0675,59,0,10,14,61,252,49,23,21,5,22,1,3,73,10.7745,3.19382,3.37353,0.736356,0.291344,0.0863617,0.20498230308294296,0.216533,1.15556,0.297203,0.754156,,,3.01572,0.974448,0.843538,233.8300018310547,3.10949,3.3628,0.967199,"17734"
"Tanner Houck","BOS",4,4,1,3.57985,47,6,2,8,77,324,69,33,31,7,27,1,5,82,9.52731,3.1762,2.99959,0.778414,0.251493,0.0838424,0.16765061765909195,0.234968,1.2436,0.303976,0.72271,,,3.37521,0.972127,1.08421,385.80999755859375,2.24871,-0.589904,0.470691,"19879"
"Ryan Helsley","STL",4,3,0,2.9841,65,0,27,4,68,276,50,25,23,7,26,1,2,87,11.5474,3.48498,3.31348,0.903832,0.31686,0.0956275,0.22123221307992935,0.201782,1.11996,0.281294,0.775567,,,3.10552,0.958185,1.00879,63.619998931884766,1.2116,-1.16196,1.62327,"18138"
"Trevor Williams","WSN",5,8,5,4.6702,28,19,0,1,111,478,116,63,58,17,33,1,5,93,7.47924,2.69921,2.7709,1.41278,0.193835,0.0699538,0.12388085573911667,0.264319,1.34184,0.299585,0.693185,,,4.52717,0.95561,0.509372,602.3800048828125,2.47007,0.872294,0.80178,"16977"
"Félix Bautista","BAL",3,3,0,2.93681,62,0,28,2,62,252,45,22,20,6,24,1,2,82,11.9005,3.54669,3.3554,0.845264,0.326621,0.097342,0.22927897423505783,0.198018,1.11054,0.282722,0.772024,,,2.97941,0.928609,0.946536,64.9000015258789,2.22011,0.766158,1.76056,"20666"
