"","playerid","Name","R","HR","RBI","RC","AVG","OPS","pr","bpr","count_pos","pos_SS","pos_CF","pos_RF","pos_1B","pos_C","pos_3B","pos_LF","pos_2B","pos_DH","adp"
"27","11489","Michael A. Taylor",-0.37493164158745,-0.451310672390002,-0.347923917179032,-0.573337217386666,-0.90786734042183,-1.58991553845499,-3.72377881931673,-3.65711215265006,1,0,1,0,0,0,0,0,0,0,NA
"28","11609","Willson Contreras",0.512845017218265,0.644035808212233,0.529220070768258,0.524404090426442,-0.467284191712371,0.500563047498108,5.20828914409355,5.25828914409355,1,0,0,0,0,1,0,0,0,0,169
"29","11680","Elias Díaz",-0.688264579989468,-0.329605507878643,-0.502714032699142,-0.569791597478622,0.247267722810204,-0.152051605388925,0.969345701058018,1.01934570105802,1,0,0,0,0,1,0,0,0,0,NA
"30","11737","Nick Castellanos",1.76617677082633,1.86108745332583,1.97392781562262,1.92236895867039,1.87769726452177,2.34459040134644,10.7810779744688,10.8477446411355,1,0,0,1,0,0,0,0,0,0,47
"31","11739","J.T. Realmuto",0.930622268420955,0.644035808212233,1.04518712250196,0.880941697367204,0.481972631976016,0.569618884483836,7.51688371464482,7.56688371464482,1,0,0,0,0,1,0,0,0,0,82
"32","1177","Albert Pujols",-2.20270711559922,-1.0598364949468,-1.68943825168665,-2.01265577610503,-0.41352695653188,-0.518430787015911,-9.56636827659774,-9.4830349432644,1,0,0,0,1,0,0,0,0,0,NA
"33","11899","Joc Pederson",-0.166043015986105,0.278920314678155,-0.0383436861388122,-0.173143327786308,-0.935422632851546,-0.0672665877899798,-0.579791427771351,-0.0297914277713507,3,0,1,1,0,0,0,1,0,0,283
"34","12144","Max Kepler",0.773955799219946,0.887446137234952,0.580816775941628,0.583578913257946,-1.3136118609116,0.184121061019405,2.21781433386552,2.48448100053219,2,0,1,1,0,0,0,0,0,0,200
"35","12147","Nick Ahmed",-0.218265172386442,-0.816426165924081,-0.193133801658922,-0.37824726523249,-0.893791217917923,-1.8369709846144,-3.89771282221115,-3.83104615554449,1,1,0,0,0,0,0,0,0,0,NA
"36","12155","Eddie Rosario",0.147289922415912,0.644035808212233,0.838800301808478,0.194944433135455,0.540007866569177,0.230226902118533,2.7793601575467,2.8293601575467,1,0,0,0,0,0,0,1,0,0,121
"37","12160","Ben Gamel",0.0428456096152393,-0.451310672390002,-0.296327212005662,0.264775026045188,-0.54306663036134,-0.534438437247231,-0.996014808240564,-0.76268147490723,2,0,1,0,0,0,0,1,0,0,NA
"38","12164","Miguel Sanó",0.878400112020619,1.98279261783719,1.30317064836881,0.756150794767203,-1.89791078024188,0.644822211028532,1.99765270906822,2.08098604240156,1,0,0,0,1,0,0,0,0,0,292
"39","12180","Jorge Alfaro",-1.36715261319384,-0.93813133043544,-0.967084379259473,-1.24233459069287,-0.57093952599362,-1.24334979523931,-3.36448693313194,-3.16448693313194,2,0,0,0,0,1,0,1,0,0,NA
"40","12282","Rougned Odor",-0.949375361991149,0.0355099856554356,-0.554310737872513,-1.03061941927992,-2.00647546281215,-0.901297309514346,-4.96374773062705,-4.46374773062705,2,0,0,0,0,0,1,0,1,0,NA
"41","12325","Jace Peterson",-1.78492986439653,-1.42495198848088,-1.79263166203339,-1.76181166906163,-0.537763814137159,-0.613261207640999,-7.83165307850182,-7.23165307850182,3,0,0,1,1,0,0,0,1,0,NA
"42","12371","Tommy La Stella",-0.531598110788459,-0.816426165924081,-0.709100853392623,-0.477446376633783,0.470829517184853,-0.26018509380089,-2.24022995610621,-2.19022995610621,1,0,0,0,0,0,0,0,1,0,NA
"43","12434","Kevin Pillar",-1.10604183119216,-0.694721001412721,-0.915487674086103,-1.21636038290737,-0.197001294644796,-0.517233378677838,-4.12533805481774,-3.57533805481774,3,0,1,1,0,0,0,1,0,0,NA
"44","12532","Kolten Wong",0.773955799219946,-0.573015836901362,-0.141537096485552,0.41764318400239,0.832848306076328,-0.248133872021791,1.14545761113873,1.19545761113873,1,0,0,0,0,0,0,0,1,0,171
"45","12546","C.J. Cron",0.669511486419274,1.49597195979175,1.56115417423566,1.39888446875343,0.94666083508572,2.13715246520412,6.5395624947777,6.62289582811103,1,0,0,0,1,0,0,0,0,0,144
"46","12552","Eugenio Suárez",0.199512078816248,1.37426679528039,0.787203596635108,0.160066178493973,-2.03190300666112,-0.158434036469775,0.773532181282411,1.30686551461574,2,1,0,0,0,0,1,0,0,0,259
"47","12775","Brad Miller",-0.479375954388123,0.157215150166795,-0.399520622352402,-0.489008087008017,-0.838460753918254,0.155612912937357,-2.85830804440718,-2.55830804440718,2,0,0,1,1,0,0,0,0,0,NA
"48","12856","George Springer",1.97506539642768,2.22620294685991,1.45796076388892,1.86721436559673,0.615518992360895,2.67550333096329,11.3389733042007,11.6389733042007,2,0,1,0,0,0,0,0,0,1,62
"49","12859","James McCann",-0.949375361991149,-0.451310672390002,-0.554310737872513,-0.815264012822266,-0.821744795888585,-1.26580533399238,-1.89330561327428,-1.84330561327428,1,0,0,0,0,1,0,0,0,0,339
"50","12916","Francisco Lindor",1.55728814522499,1.13085646625767,1.25157394319544,1.28751171172642,0.172411412528225,0.735937756585999,6.57470122104185,6.64136788770851,1,1,0,0,0,0,0,0,0,0,50
"51","12927","Brandon Nimmo",0.669511486419274,-0.451310672390002,-0.451117327525772,0.701158068343348,0.442112144211344,0.859049868995074,2.29091107615651,2.35757774282318,1,0,1,0,0,0,0,0,0,0,271
"52","12979","Javier Báez",1.08728873762196,1.25256163076903,1.35476735354218,0.619714999882662,0.0219446450885446,0.00493781822164827,4.78033697064913,5.01367030398246,2,1,0,0,0,0,0,0,1,0,139
"53","12984","Jackie Bradley Jr.",-1.26270830039317,-1.0598364949468,-1.37985802064643,-1.46501159426716,-1.46029117801464,-1.42950293312034,-7.53570101328529,-7.46903434661862,1,0,1,0,0,0,0,0,0,0,NA
"54","13066","Teoscar Hernández",1.50506598882465,2.10449778234855,2.12871793114273,1.44227384612923,0.88545631914228,1.75444495800403,10.0045117488784,10.2378450822117,2,0,0,1,0,0,0,1,0,0,94
"55","13145","Josh Bell",1.1395108940223,1.49597195979175,1.81913770010251,1.63276535223846,0.831904175908384,1.90916111301474,7.1586783003659,7.24201163369923,1,0,0,0,1,0,0,0,0,0,76
"56","13152","Jorge Polanco",1.60951030162533,1.00915130174631,1.25157394319544,1.26773170091109,1.0637863383923,0.797346864141648,7.43822223553522,7.67155556886855,2,1,0,0,0,0,0,0,1,0,78
"57","13185","Orlando Arcia",-2.35937358480023,-1.54665715299224,-2.25700200859372,-2.27565159901177,-0.153118047288138,-0.367424107384938,-8.77517157678412,-8.72517157678412,1,0,0,0,0,0,0,1,0,0,NA
"58","13265","Mike Zunino",-0.636042423589131,0.765740972723593,-0.0899403913121822,-0.819848026231515,-2.21237749044991,-0.370811695248062,-0.398773752424597,-0.348773752424597,1,0,0,0,0,1,0,0,0,0,287
"59","13301","Max Muncy",1.1395108940223,1.61767712430311,1.35476735354218,1.26519381042865,-0.17417501103382,2.25318448481798,7.53985578332917,7.80652244999584,2,0,0,0,1,0,0,0,1,0,60
"60","13338","Omar Narváez",-0.583820267188795,-0.573015836901362,-0.502714032699142,-0.418954709529198,-0.116181887796464,-0.567824046257998,0.201994521309654,0.251994521309654,1,0,0,0,0,1,0,0,0,0,284
"61","13359","Tyler Naquin",-0.0615987031854331,0.157215150166795,0.374429955248148,0.0697448583994614,0.386167047293354,-0.00396681809036782,1.4434989979352,1.9934989979352,3,0,1,1,0,0,0,1,0,0,NA
"62","13419","Christian Walker",0.147289922415912,0.0355099856554356,0.322833250074778,0.165274348324641,-0.2356096928609,-0.259862434900293,-1.49433751600268,-1.41100418266934,1,0,0,0,1,0,0,0,0,0,NA
"63","13602","Patrick Wisdom",-0.113820859585769,1.00915130174631,0.374429955248148,-0.303401855341503,-1.89087754090089,-0.451115743285893,-0.932814166932006,-0.732814166932006,1,0,0,0,0,0,1,0,0,0,320
"64","13613","Ketel Marte",1.24395520682297,0.644035808212233,1.09678382767533,1.72877672640193,2.72658633282831,1.98146161143119,9.94310702147522,10.1764403548086,2,0,1,0,0,0,0,0,1,0,46
"65","13620","Carson Kelly",-0.740486736389804,-0.207900343367283,-0.347923917179032,-0.476822696292837,-0.661795258335111,-0.245709632556554,0.283866717561992,0.333866717561992,1,0,0,0,0,1,0,0,0,0,316
"66","13621","Jeimer Candelario",0.669511486419274,0.400625479189514,0.684010186288368,1.0859700187811,0.225503545455575,0.521626899346934,4.03006819066835,4.23006819066836,1,0,0,0,0,0,1,0,0,0,208
"67","13624","Corey Seager",1.08728873762196,0.887446137234952,1.35476735354218,1.58825083736949,2.21091252896373,2.30049456651332,9.86828194676874,9.9349486134354,1,1,0,0,0,0,0,0,0,0,37
"68","13723","Jacob Stallings",-1.00159751839148,-0.93813133043544,-0.709100853392623,-0.697387186183795,-0.598269795911398,-1.26077943674566,-2.24076081937779,-2.19076081937779,1,0,0,0,0,1,0,0,0,0,NA
"69","13757","Chris Taylor",0.878400112020619,0.157215150166795,0.632413481114998,0.569707380623787,0.000506428915493629,0.368334719170071,3.12808478011501,4.06141811344834,4,1,1,0,0,0,0,1,1,0,177
"70","13769","Adalberto Mondesi",0.251734235216584,-0.0861951788559239,-0.141537096485552,-0.495228740723293,-0.580662427273723,-1.110736325908,-1.71980495884232,-1.51980495884232,1,0,0,0,0,0,1,0,0,0,228
"71","13853","Joey Wendle",-0.0615987031854331,-0.93813133043544,-0.554310737872513,-0.435408494379601,0.0560030881132646,-1.28930521646163,-2.77993081903375,-2.24659748570042,2,1,0,0,0,0,1,0,0,0,NA
"72","14111","Eric Haase",-1.10604183119216,-0.0861951788559239,-0.657504148219253,-1.17451457284229,-1.3994251602213,-0.789363102017148,-2.24853869166546,-2.04853869166546,2,0,0,0,0,1,0,1,0,0,328
"73","14128","Joey Gallo",1.45284383242432,2.59131844039398,1.6643475845824,1.31214507225123,-2.81223093018752,1.53582470904136,5.92830363179269,6.16163696512602,2,0,0,1,0,0,0,1,0,0,156
"74","14161","Byron Buxton",1.19173305042264,1.49597195979175,0.787203596635108,0.801063254323144,0.995504864448414,2.04554114014058,7.83852537386488,7.90519204053155,1,0,1,0,0,0,0,0,0,0,109
"75","14162","Carlos Correa",1.40062167602398,1.00915130174631,1.45796076388892,1.60794081825399,1.34506126370731,1.580806753874,8.84066436301762,8.90733102968428,1,1,0,0,0,0,0,0,0,0,52
"76","14221","Jorge Soler",0.72173364281961,1.61767712430311,1.19997723802207,1.04336258948752,-1.03556761594656,0.892851915159308,3.47526420400052,3.77526420400052,2,0,0,1,0,0,0,0,0,1,159
"77","14274","Mitch Haniger",1.45284383242432,1.61767712430311,1.40636405871555,1.21350430849298,-0.331495321265665,0.77959687788665,5.1737201907124,5.4737201907124,2,0,0,1,0,0,0,0,0,1,96
"78","14350","Raimel Tapia",0.0950677660155756,-1.42495198848088,-0.709100853392623,-0.25557874835025,1.28399529733908,-0.703050303339697,-1.52956390692188,-1.47956390692188,1,0,0,0,0,0,0,1,0,0,344
"79","14551","Anthony Santander",0.251734235216584,1.00915130174631,0.735606891461738,0.339552034929304,-0.244209731806433,0.0331704720238158,1.16023451372678,1.46023451372678,2,0,0,1,0,0,0,0,0,1,211
"80","14566","Franmil Reyes",0.878400112020619,2.22620294685991,2.07712122596936,1.34691733110799,0.0857388486836584,1.63972043424249,5.00795743079676,5.09129076413009,1,0,0,0,0,0,0,0,0,1,145
"81","14712","Manuel Margot",-0.37493164158745,-0.816426165924081,-0.502714032699142,-0.562242820396108,0.0372805721985723,-0.840953483240139,-2.5384800635451,-1.9884800635451,3,0,1,1,0,0,0,1,0,0,NA
"82","14811","Luke Voit",0.0950677660155756,0.887446137234952,0.632413481114998,0.376043675068254,-0.332555498757624,0.822619387005354,0.81126205296926,0.894595386302594,1,0,0,0,1,0,0,0,0,0,234
"83","14813","Kyle Farmer",-0.636042423589131,-0.573015836901362,-0.347923917179032,-0.543920197567845,0.0343437069570519,-0.861113052664685,-2.4885499354219,-2.42188326875523,1,1,0,0,0,0,0,0,0,0,NA
"84","14854","Mike Yastrzemski",0.669511486419274,0.765740972723593,0.632413481114998,0.579058939549693,-0.722593126453407,0.503521305075466,2.94916056653286,3.21582723319953,2,0,1,1,0,0,0,0,0,0,189
"85","14894","Tony Kemp",-0.270487328786778,-1.18154165945816,-0.967084379259473,-0.335123419498447,-0.218964456192125,-0.87425126467448,-3.66339758458255,-3.46339758458255,2,0,0,0,0,0,0,1,1,0,NA
"86","15112","Ryan McMahon",0.878400112020619,1.00915130174631,1.25157394319544,0.944943020400002,0.0145603706289381,0.706959174471626,5.24840849765053,5.74840849765053,2,0,0,0,0,0,1,0,1,0,222
"87","15117","Hunter Dozier",-0.166043015986105,0.0355099856554356,-0.141537096485552,-0.0733757788137998,-0.97018764656375,-0.528109892847525,-1.4009228698537,-0.867589536520372,2,0,0,1,0,0,1,0,0,0,NA
"88","15149","Trey Mancini",0.930622268420955,0.887446137234952,0.993590417328588,1.18859474822693,0.591907058722525,0.566697543139982,3.48908527836168,3.82241861169502,2,0,0,0,1,0,0,0,0,1,174
"89","15161","Mitch Garver",-0.322709485187114,0.522330643700874,-0.0899403913121822,-0.201038663097078,-0.767397037344622,0.485455492178013,2.5912058606205,2.6412058606205,1,0,0,0,0,1,0,0,0,0,276
"90","15172","Tim Anderson",2.02728755282802,0.400625479189514,0.632413481114998,1.22530384560539,3.16098779167411,0.695599773928164,8.5813397098633,8.64800637652996,1,1,0,0,0,0,0,0,0,0,108
"91","15191","Chad Pinder",-0.688264579989468,-0.329605507878643,-0.451117327525772,-0.739012735104162,-1.02582510556185,-1.10364455215531,-5.30224049805975,-5.23557383139308,1,0,0,1,0,0,0,0,0,0,NA
"92","15223","Adam Frazier",0.512845017218265,-1.18154165945816,-0.451117327525772,0.187989622418092,0.821193747261604,-1.36023408395741,-1.38716755679461,-1.33716755679461,1,0,0,0,0,0,0,0,1,0,280
"93","15279","Garrett Cooper",-0.740486736389804,-0.573015836901362,-0.605907443045883,-0.542460217513354,0.522170653508595,0.317470981659692,-2.58699928852665,-2.52033262185999,1,0,0,1,0,0,0,0,0,0,NA
"94","15362","Jeff McNeil",0.0428456096152393,-0.573015836901362,-0.0899403913121822,0.324493078949378,1.37737963979329,0.0456924584283744,1.31150948185965,1.51150948185965,2,0,0,0,0,0,0,1,1,0,258
"95","15429","Kris Bryant",1.60951030162533,1.13085646625767,1.30317064836881,1.85869890681678,1.3262493817093,2.38457960824594,10.0558858882114,11.0058858882114,3,0,0,1,0,0,1,1,0,0,53
"96","15464","Hunter Renfroe",0.878400112020619,1.86108745332583,1.45796076388892,0.716551289647483,-0.888934589188841,0.696684119413774,3.75697845926324,3.82364512592991,1,0,0,1,0,0,0,0,0,0,161
"97","15482","Aristides Aquino",-1.05381967479182,0.0355099856554356,-0.760697558565993,-1.05357605206106,-1.04147381396347,0.0358417747592502,-3.65416041568074,-3.42082708234741,2,0,0,1,0,0,0,1,0,0,NA
"98","15491","J.P. Crawford",0.826177955620282,-0.816426165924081,-0.0899403913121822,0.41846846371412,0.0245648715096952,-1.62561188328769,-0.823645364156751,-0.756978697490084,1,1,0,0,0,0,0,0,0,0,231
"99","15518","Amed Rosario",0.72173364281961,-0.573015836901362,0.116446429381298,0.449168407879314,1.6904193858149,-0.569953066052916,2.27392074846395,2.34058741513062,1,1,0,0,0,0,0,0,0,0,251
"100","15653","Dominic Smith",-0.583820267188795,-0.0861951788559239,0.0132530190345578,-0.258350748818174,0.221312983361829,0.0778906870928557,-0.431854582086734,-0.381854582086734,1,0,0,0,0,0,0,1,0,0,NA
"101","15672","Austin Meadows",0.930622268420955,1.25256163076903,1.61275087940903,0.939985045277402,-0.448867063492452,0.742524604422521,5.2136322880934,5.48029895476007,2,0,0,0,0,0,0,1,0,1,119
"102","15676","José Abreu",1.40062167602398,1.61767712430311,2.28350804666284,1.69721421649818,0.841810631266082,1.456827716065,7.62788651610694,7.71121984944028,1,0,0,0,1,0,0,0,0,0,65
"103","15679","Rowdy Tellez",-0.479375954388123,0.278920314678155,0.0648497242079278,-0.1960885894786,-0.116123060482629,0.405551902625417,-1.7120385575501,-1.62870522421677,1,0,0,0,1,0,0,0,0,0,NA
