"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"21","Yu Darvish","SDP","13074",1.59660014605753,1.79106281568909,1.98127476224688,0.0102997133352288,1.30928452350557,-0.844808668597196,5.8437132922371,22,"SP"
"22","Alek Manoah","TOR","26410",1.73942091223238,1.64392703690933,1.98127476224688,0.216558268871718,1.04452741858313,-0.844808668597196,5.78089973024624,23,"SP"
"27","Cristian Javier","HOU","17606",1.37216751349705,2.12737316718569,1.24519745119541,0.402451482131733,1.30742820725721,-0.844808668597196,5.60980915266989,24,"SP"
"26","Zac Gallen","ARI","19291",1.43337641328627,1.70698522781494,1.61323610672114,0.596839693560466,0.947998973668377,-0.844808668597196,5.453627746454,25,"SP"
"24","Robbie Ray","SEA","11486",1.61700311265394,2.25348954899692,1.79725543448401,0.021354537618788,0.565829866037128,-0.844808668597196,5.41012383119358,26,"SP"
"25","Dylan Cease","CHW","18525",1.55579421286471,2.40062532777668,1.42921677895827,0.620942835031177,0.226007972821606,-0.844808668597196,5.38777845885526,27,"SP"
"31","Andrés Muñoz","SEA","20373",-0.872158812107754,-0.352915675101747,-0.963034481959006,2.90593876911735,2.60963405548221,1.89154107704525,5.2190049324763,28,"SP"
"32","Tyler Glasnow","TBR","14374",0.780481482201237,1.60188824297225,0.877158795669671,1.12407325990382,1.54236823244035,-0.844808668597196,5.08116134459014,29,"SP"
"28","Julio Urías","LAD","14765",1.53539124626831,1.43373306722395,1.42921677895827,0.352229052958268,1.06947166817048,-0.844808668597196,4.97523314498208,30,"SP"
"30","Triston McKenzie","CLE","18000",1.5149882796719,1.70698522781494,1.42921677895827,-0.191994509722526,1.04069876632089,-0.844808668597196,4.65508587444628,31,"SP"
"29","Logan Webb","SFG","17995",1.75982387882879,1.24455849450711,1.79725543448401,0.461984429298114,0.0795910287321611,-0.844808668597196,4.49840459725299,32,"SP"
"35","George Kirby","SEA","25436",1.06612301455094,1.05538392179027,1.24519745119541,0.779470827523693,0.879431292244557,-0.844808668597196,4.18079783870767,33,"SP"
"33","Logan Gilbert","SEA","22250",1.5149882796719,1.43373306722395,1.42921677895827,-0.0191043069927633,0.547614762850091,-0.844808668597196,4.06163991311426,34,"SP"
"37","Hunter Greene","CIN","22182",1.12733191434016,2.00125678537447,0.877158795669671,0.107006772487922,0.712130790361052,-0.844808668597196,3.98007638963608,35,"SP"
"34","Chris Bassitt","TOR","12304",1.49458531307549,1.11844211269589,1.61323610672114,0.0083288737600862,0.521626335373042,-0.844808668597196,3.91141007302845,36,"SP"
"44","Luis Severino","NYY","15890",0.862093348586866,1.11844211269589,0.877158795669671,0.603680998752341,1.24094888161279,-0.844808668597196,3.85751546872036,37,"SP"
"41","Jhoan Duran","MIN","21029",-0.770143979125717,-0.373935072070285,-0.963034481959006,2.37705150979715,1.54584882540603,1.98589796482602,3.80168476687419,38,"SP"
