ADP,Name,avg_pick
400,Nick Markakis,259.9
401,Jay Bruce,259.9
402,Joey Bart,259.9
403,Connor Wong,259.9
404,Kevin Ginkel,259.9
405,Greg Bird,259.9
406,Felix Hernandez,259.9
407,Josh Rojas,259.9
408,Miguel Castro,259.9
409,Dellin Betances,259.9
410,Adam Haseley,259.9
411,Adeiny Hechavarria,259.9
412,Austin Romine,259.9
413,Yu Chang,259.9
414,Adam Engel,259.9
415,Bradley Zimmer,259.9
416,Seth Beer,259.9
417,Tyler Freeman,259.9
418,Leury Garcia,259.9
419,Luis Guillorme,259.9
420,Billy Hamilton,259.9
421,Edmundo Sosa,259.9
422,Ryan Brasier,259.9
423,Alex Avila,259.9
424,Jordy Mercer,259.9
425,Keegan Akin,259.9
426,Justin Dunn,259.9
427,Sheldon Neuse,259.9
428,Pedro Strop,259.9
429,Luke Jackson,259.9
430,Alejandro Pie,259.9
431,Aristides Aquino,259.9
432,Jeremy Jeffress,259.9
433,Jake Bauers,259.9
434,Adam Plutko,259.9
435,Hunter Greene,259.9
436,Jeter Downs,259.9
437,Chien-Ming Wang,259.9
438,Jorge Mateo,259.9
439,Jake Burger,259.9
440,Chad Kuhl,259.9
441,Kyle Funkhouser,259.9
442,Nolan Jones,259.9
443,Rusney Castillo,259.9
444,Kyle Garlick,259.9
445,John Gant,259.9
446,Jake Rogers,259.9
447,CC Sabathia,259.9
448,Josh Tomlin,259.9
449,Jarren Duran,259.9
450,John Ryan Murphy,259.9
451,Ryan Zimmerman,259.9
452,Erik Kratz,259.9
453,Daniel Norris,259.9
454,Reynaldo Lopez,259.9
455,David Freese,259.9
456,Mallex Smith,259.9
457,Ryne Harper,259.9
458,Daniel Murphy,259.9
459,Andrew Knizner,259.9
460,Cesar Valdez,259.9
461,Jonathan Lucroy,259.9
462,Tzu-Wei Lin,259.9
463,Derek Holland,259.9
464,Zack Collins,259.9
465,Mike Freeman,259.9
466,Adam Eaton,259.9
467,Tommy Kahnle,259.9
468,Matt Joyce,259.9
469,Kyle Wright,259.9
470,Chi Chi Gonzalez,259.9
471,Boone Whiting,259.9
472,Jason Kipnis,259.9
473,Alex Young,259.9
474,Austin Gomber,259.9
475,Yoenis Cespedes,259.9
476,Will Harris,259.9
477,Joe Ross,259.9
478,Adam Cimber,259.9
479,Jose Osuna,259.9
480,Zach McKinstry,259.9
481,Gerardo Parra,259.9
482,Jonathan Loaisiga,259.9
483,Austin Hedges,259.9
484,Jonathan India,259.9
485,Michael Fulmer,259.9
486,Noelvi Marte,259.9
487,Matt Harvey,259.9
488,John Patterson,259.9
489,Curt Casali,259.9
490,Chase Anderson,259.9
491,Pablo Sandoval,259.9
492,Eric Sogard,259.9
493,Carl Edwards Jr.,259.9
494,Brett Anderson,259.9
495,Yusmeiro Petit,259.9
496,Tyler Matzek,259.9
497,Tomas Nido,259.9
498,Jhonkensy Noel,259.9
499,Andy Young,259.9
500,Brandon Morrow,259.9
501,Brock Holt,259.9
502,Kyle Crick,259.9
503,Brian McCann,259.9
504,Domingo Tapia,259.9
505,Isan Diaz,259.9
506,Justin Wilson,259.9
507,Ty Buttrey,259.9
508,Ian Kinsler,259.9
509,Munenori Kawasaki,259.9
510,Aaron Brooks,259.9
511,Edgar Santana,259.9
512,Yonder Alonso,259.9
513,Charlie Culberson,259.9
514,Kelvin Herrera,259.9
515,Juan Uribe,259.9
516,Heliot Ramos,259.9
517,Adonis Garcia,259.9
518,Randy Rosario,259.9
519,Jace Fry,259.9
520,Zack Short,259.9
521,Ryan O'Hearn,259.9
522,Chris Betts,259.9
523,Drew Waters,259.9
524,Chad Wallach,259.9
525,Jasson Dominguez,259.9
526,Colton Welker,259.9
527,Dawel Lugo,259.9
528,Khalil Lee,259.9
529,Sam Huff,259.9
530,Evan Marshall,259.9
531,Cole Hamels,259.9
532,Francisco Cervelli,259.9
533,Gordon Beckham,259.9
534,Scott Alexander,259.9
535,Ariel Miranda,259.9
536,Rajai Davis,259.9
537,Martin Perez,259.9
538,Max Moroff,259.9
539,Jordan Luplow,259.9
540,Eric Thames,259.9
541,Ryan Sherriff,259.9
542,Corey Ray,259.9
543,JD Hammer,259.9
544,Ben Zobrist,259.9
545,Michael Busch,259.9
546,Cody Allen,259.9
547,Mark Hamburger,259.9
548,Keibert Ruiz,259.9
549,Bruce Zimmermann,259.9
550,Jason Adam,259.9
551,Jake Lamb,259.9
552,Hansel Robles,259.9
553,Aaron Whitefield,259.9
554,Austin Voth,259.9
555,Bailey Horn,259.9
556,Branden Kline,259.9
557,Jose Ramirez,259.9
558,Evan Mendoza,259.9
559,Ian Miller,259.9
560,Kelvin Gutierrez,259.9
561,Steve Pearce,259.9
562,Cory Spangenberg,259.9
563,Brent Rooker,259.9
564,Yadiel Rivera,259.9
565,Alfredo Marte,259.9
566,Asher Wojciechowski,259.9
567,Luisangel Acuna,259.9
568,Kyuji Fujikawa,259.9
569,Cam Gallagher,259.9
570,Jazz Chisholm,259.9
571,Daz Cameron,259.9
572,Oliver Perez,259.9
573,Billy McKinney,259.9
574,Bryce Ball,259.9
575,Addison Russell,259.9
576,Jose Pirela,259.9
577,Thomas Hatch,259.9
578,Brooks Raley,259.9
579,Darwinzon Hernandez,259.9
580,Christian Bethancourt,259.9
581,Michael Taylor,259.9
582,Shed Long Jr.,259.9
583,Jose Marmolejos,259.9
584,Aledmys Diaz,259.9
585,Jeurys Familia,259.9
586,Yoshihisa Hirano,259.9
587,Luis Medina,259.9
588,Jose Alvarez,259.9
