"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank","Player","ESPN","ESPNID","ESPNNAME"
"11","Manny Machado","SDP","11493",580,0.273279,0.831611,1.83331630561837,1.88759455009347,2.34346615753939,1.87704562923892,1.73230561185458,1.85983443081944,11.5335626851642,11,"Manny Machado",12,"31097","Manny Machado"
"12","Rafael Devers","BOS","17350",576,0.278676,0.852798,1.60239580947666,1.88759455009347,2.16888462109493,2.04730566229417,1.80641618457815,1.96856799541861,11.481164822956,12,"Rafael Devers",24,"33859","Rafael Devers"
"13","Kyle Tucker","HOU","18345",564,0.273942,0.86083,1.42920543737038,2.15314126288505,2.2852723120579,1.92197768391367,1.58528241003161,1.89870810944567,11.2735872157043,13,"Kyle Tucker",11,"34967","Kyle Tucker"
"14","Mookie Betts","LAD","13611",563,0.271718,0.857182,2.64153804211434,1.75482119369768,1.35417078435415,2.05798240832546,1.52917048064484,1.86300785583238,11.2006907649688,14,"Mookie Betts",9,"33039","Mookie Betts"
"15","Matt Olson","ATL","14344",570,0.247649,0.824679,1.66012593351209,2.41868797567663,2.40166000302087,1.82416438019247,1.09465654628208,1.70957731413832,11.1088721528225,15,"Matt Olson",30,"32767","Matt Olson"
"16","Bo Bichette","TOR","19612",602,0.284728,0.810071,1.89104642965379,1.09095441171873,1.64514001176157,1.63747420108735,2.20679262319765,1.92509908135548,10.3965067587746,16,"Bo Bichette",38,"38904","Bo Bichette"
"17","Shohei Ohtani","LAA","19755",526,0.261397,0.872641,1.77558618158294,2.28591461928084,1.81972154820602,1.78895252756955,0.959893109804144,1.5741346340736,10.2042026205171,17,"Shohei Ohtani",1,"39832","Shohei Ohtani"
"18","Trea Turner","PHI","16252",607,0.290625,0.805714,2.23742717386635,0.692634342531366,1.23778309339118,1.68055152590841,2.39075378056274,1.94231631389596,10.181466230156,18,"Trea Turner",10,"33710","Trea Turner"
"19","Julio Rodríguez","SEA","23697",561,0.277883,0.841386,1.83331630561837,1.62204783730189,1.23778309339118,1.70030291667728,1.63635771818777,1.73346828571738,9.76327615689387,19,"Julio Rodriguez",20,"41044","Julio Rodriguez"
"20","Nolan Arenado","STL","9777",574,0.266248,0.80479,1.14055481719325,1.62204783730189,2.16888462109493,1.49131293005746,1.5236226559088,1.61014894023058,9.5565718017869,20,"Nolan Arenado",29,"31261","Nolan Arenado"
"21","Kyle Schwarber","PHI","16478",523,0.229995,0.83203,1.77558618158294,2.94978140125979,1.76152770272454,1.44235528545876,0.327187786223624,1.28191540538533,9.53835376263498,21,"Kyle Schwarber",49,"33712","Kyle Schwarber"
"22","Ronald Acuña Jr.","ATL","18401",535,0.270217,0.856005,2.35288742193721,1.62204783730189,0.946813865983755,1.79127839448732,1.21989883126,1.56131664809515,9.49424299906532,22,"Ronald Acuna Jr.",28,"36185","Ronald Acuna"
"23","Corey Seager","TEX","13624",545,0.278149,0.847065,1.37147531333495,1.4892744809061,1.35417078435415,1.82273551164524,1.47820717176061,1.60648619832733,9.12234946032839,23,"Corey Seager",34,"32691","Corey Seager"
"24","Jose Altuve","HOU","5417",556,0.274606,0.820085,2.1219669257955,1.09095441171873,0.714038484057817,1.62487701630956,1.51827581213806,1.53687572935701,8.60698837937669,24,"Jose Altuve",19,"31662","Jose Altuve"
"25","Marcus Semien","TEX","12533",605,0.24955,0.754664,1.83331630561837,1.22372776811452,1.06320155694672,1.11781164943735,1.45565086402709,1.54427948132864,8.23798762547269,25,"Marcus Semien",27,"32146","Marcus Semien"
"26","Bryan Reynolds","PIT","19326",561,0.269201,0.812918,1.42920543737038,0.958181055322945,1.12139540242821,1.65119370976789,1.45726911745996,1.53785240337136,8.15509712572075,26,"Bryan Reynolds",62,"38980","Bryan Reynolds"
"27","José Abreu","HOU","15676",560,0.274078,0.795476,1.08282469315782,0.692634342531366,1.47055847531712,1.46554261490474,1.5477921429125,1.40825749435651,7.66760976318006,27,"Jose Abreu",63,"33095","Jose Abreu"
"28","Francisco Lindor","NYM","12916",582,0.253191,0.754806,1.48693556140581,0.825407698927156,1.58694616628009,1.03841178506183,1.32252439655307,1.33269052405433,7.59291613228228,28,"Francisco Lindor",33,"32129","Francisco Lindor"
"29","Rhys Hoskins","PHI","16472",542,0.236915,0.790559,1.31374518929953,1.75482119369768,1.47055847531712,1.22532385969588,0.625774499159151,1.20023342540622,7.59045664257558,29,"Rhys Hoskins",91,"35291","Rhys Hoskins"
"30","Teoscar Hernández","SEA","13066",540,0.257283,0.792181,0.90963432105154,1.75482119369768,1.58694616628009,0.948397791214122,1.01276728216916,1.19159529015663,7.40416204456922,30,"Teoscar Hernandez",124,"33377","Teoscar Hernandez"
"31","Alex Bregman","HOU","17678",530,0.261408,0.814017,1.42920543737038,0.692634342531366,1.47055847531712,1.53628816507786,0.998553008190427,1.23631801368081,7.36355744216796,31,"Alex Bregman",40,"34886","Alex Bregman"
"32","Bobby Witt Jr.","KCR","25764",586,0.262269,0.761397,1.42920543737038,0.825407698927156,1.23778309339118,0.897763484024385,1.55536492625105,1.416979458608,7.36250409857215,32,"Bobby Witt Jr.",43,"42403","Bobby Witt Jr."
"33","Willy Adames","MIL","15986",559,0.246035,0.765022,1.31374518929953,1.4892744809061,1.41236462983563,0.934996700213571,0.961317662592074,1.18999756621347,7.30169622906038,33,"Willy Adames",106,"33675","Willy Adames"
"34","Fernando Tatis Jr.","SDP","19709",440,0.277744,0.911365,1.2560150652641,1.88759455009347,1.35417078435415,1.23862430204884,0.397783912982159,0.863614442673951,6.99780305741668,34,"Fernando Tatis Jr.",32,"35983","Fernando Tatis Jr."
"35","Eloy Jiménez","CHW","17484",513,0.273948,0.823686,0.56325357683898,1.4892744809061,1.5287523207986,1.19493402348278,1.07169022414239,1.12757435628539,6.97547898245424,35,"Eloy Jimenez",102,"33867","Eloy Jimenez"
"36","Dansby Swanson","CHC","18314",591,0.253498,0.73999,1.37147531333495,0.825407698927156,1.17958924790969,0.867607037004203,1.4129825977389,1.3086466172155,6.96570851213042,36,"Dansby Swanson",79,"34895","Dansby Swanson"
"37","Michael Harris II","ATL","25931",553,0.276672,0.786895,1.48693556140581,0.559860986135577,1.00500771146524,1.02289586708997,1.52999345100076,1.28193065481657,6.88662423191392,37,"Michael Harris II",68,"42470","Michael Harris II"
"38","Carlos Correa","MIN","14162",541,0.270035,0.804574,0.967364445086967,0.825407698927156,1.00500771146524,1.38433604191335,1.27589258413333,1.28342006492807,6.74142854645411,38,"Carlos Correa",77,"32653","Carlos Correa"
"39","George Springer","TOR","12856",509,0.258718,0.816845,1.48693556140581,1.35650112451031,0.946813865983755,1.15096542322661,0.74636057803032,1.04456829697615,6.73214485013296,39,"George Springer",55,"32078","George Springer"
"40","Christian Walker","ARI","13419",545,0.249861,0.776908,0.90963432105154,1.22372776811452,1.47055847531712,1.05592239477504,0.911336424802305,1.13815638369145,6.70933576775198,40,"Christian Walker",118,"32758","Christian Walker"
"41","Xander Bogaerts","SDP","12161",556,0.273907,0.784434,1.14055481719325,0.294314273343998,1.12139540242821,1.29049631125541,1.50398564633489,1.29408572535941,6.64483217591516,41,"Xander Bogaerts",72,"31606","Xander Bogaerts"
"42","Nathaniel Lowe","TEX","19566",545,0.272371,0.799493,0.851904197016114,0.825407698927156,1.00500771146524,1.30901584116937,1.36242029478362,1.28892150853361,6.64267725189511,42,"Nathaniel Lowe",120,"40538","Nathaniel Lowe"
"43","Anthony Santander","BAL","14551",548,0.243564,0.763623,0.73644394894526,1.62204783730189,1.5287523207986,0.838714460287199,0.81201619849481,1.07753277812871,6.61550754395647,43,"Anthony Santander",75,"36084","Anthony Santander"
"44","C.J. Cron","COL","12546",516,0.2554,0.792195,0.73644394894526,1.22372776811452,1.58694616628009,0.98856488139397,0.74999845851795,0.958810333880121,6.24449155713191,44,"C.J. Cron",140,"32155","C.J. Cron"
"45","Ozzie Albies","ATL","16556",548,0.258806,0.765653,1.19828494122867,0.825407698927156,1.17958924790969,0.743746472345327,1.11913599844083,1.09115854301524,6.15732290186692,45,"Ozzie Albies",45,"33783","Ozzie Albies"
"46","Vinnie Pasquantino","KCR","27676",508,0.279072,0.837572,0.447793328768127,0.825407698927156,1.12139540242821,1.47406908621764,1.11703603047696,1.16353187821489,6.14923342503299,46,"Vinnie Pasquantino",74,"4109109","Vinnie Pasquantino"
"47","Taylor Ward","LAA","17548",517,0.26461,0.805608,1.2560150652641,0.825407698927156,0.597650793094848,1.17832188476229,0.934468907385132,1.05345131726886,5.84531566670239,47,"Taylor Ward",128,"34923","Taylor Ward"
"48","Matt Chapman","TOR","16505",528,0.224775,0.757001,1.02509456912239,1.4892744809061,1.17958924790969,0.769135988463469,0.26812949647628,0.847641465733978,5.57886524861192,48,"Matt Chapman",148,"33857","Matt Chapman"
"49","Randy Arozarena","TBR","19290",552,0.257782,0.76269,1.02509456912239,0.427087629739788,1.00500771146524,0.812537946344081,1.13641668452762,1.10863764932264,5.51478219052176,49,"Randy Arozarena",87,"36488","Randy Arozarena"
"50","Ryan Mountcastle","BAL","18373",537,0.256737,0.760765,0.447793328768127,1.09095441171873,1.29597693887266,0.726762991559837,0.973606107987045,0.955848453386758,5.49094223229317,50,"Ryan Mountcastle",180,"34940","Ryan Mountcastle"
"51","Nick Castellanos","PHI","11737",544,0.264072,0.764247,0.73644394894526,0.692634342531366,1.06320155694672,0.764893575431829,1.18640468786763,1.04427755340247,5.48785566512527,51,"Nick Castellanos",132,"31187","Nicholas Castellanos"
"52","Rowdy Tellez","MIL","15679",494,0.243488,0.797972,0.447793328768127,1.75482119369768,1.35417078435415,0.789034386341693,0.327029200255208,0.78029458804036,5.45314348145722,52,"Rowdy Tellez",150,"34287","Rowdy Tellez"
"53","Max Muncy","LAD","13301",479,0.230099,0.802251,1.08282469315782,1.4892744809061,1.23778309339118,0.962842416556317,-0.0430776885861442,0.658789826882278,5.38843682230755,53,"Max Muncy",127,"33303","Max Muncy"
"54","Salvador Perez","KCR","7304",509,0.255787,0.773716,0.21687283262642,1.62204783730189,1.5287523207986,0.536141824880798,0.69150523929289,0.775680269379477,5.37100032428008,54,"Salvador Perez",122,"31127","Salvador Perez"
"55","Ty France","SEA","17982",544,0.269671,0.766811,0.794174072980687,0.294314273343998,0.830426175020786,1.04116761176704,1.29839866501016,1.06136201177862,5.31984280990129,55,"Ty France",112,"35591","Ty France"
"56","Josh Bell","CLE","13145",516,0.265269,0.791106,0.851904197016114,0.427087629739788,1.00500771146524,1.11900232900386,0.937242562368089,0.951927585769573,5.29217201536267,56,"Josh Bell",90,"32517","Josh Bell"
"57","Adolis García","TEX","19287",562,0.235157,0.714649,0.794174072980687,1.22372776811452,1.29597693887266,0.281662778244423,0.763670532475752,0.871357209712029,5.23056930040008,57,"Adolis Garcia",147,"35537","Adolis Garcia"
"58","Wander Franco","TBR","23667",545,0.286182,0.782318,1.19828494122867,-0.502325865030738,0.597650793094848,1.07193794775046,1.63918259279836,1.17427058893369,5.17900099877529,58,"Wander Franco",53,"40929","Wander Franco"
"59","Luis Robert Jr.","CHW","20043",512,0.28151,0.795485,0.794174072980687,0.559860986135577,0.888620020502271,0.786746697730694,1.20397864584963,0.940629827227112,5.17401025042597,59,"Luis Robert",80,"39631","Luis Robert"
"60","Eugenio Suárez","SEA","12552",527,0.215828,0.733432,0.678713824909834,1.62204783730189,1.29597693887266,0.541748625526016,0.0864949162388343,0.686231882681735,4.91121402553097,60,"Eugenio Suarez",201,"32367","Eugenio Suarez"
"61","Byron Buxton","MIN","14161",463,0.244271,0.824838,1.02509456912239,1.88759455009347,0.655844638576332,0.635031366193593,0.0628197924035416,0.629659922388632,4.89604483877796,61,"Byron Buxton",165,"32655","Byron Buxton"
"62","Jorge Polanco","MIN","13152",522,0.253813,0.769363,0.851904197016114,0.692634342531366,0.888620020502271,0.79605346430572,0.775883527277821,0.871047909601539,4.87614346123483,62,"Jorge Polanco",146,"32525","Jorge Polanco"
"63","Oneil Cruz","PIT","21711",517,0.244977,0.765454,1.02509456912239,1.09095441171873,0.830426175020786,0.532116898907098,0.561250968511857,0.799176323559423,4.83901934684029,63,"Oneil Cruz",129,"39712","Oneil Cruz"
"64","Anthony Rizzo","NYY","3473",493,0.23935,0.78344,0.851904197016114,1.22372776811452,0.888620020502271,0.792033509273596,0.243065706684769,0.682768681729705,4.68211988332098,64,"Anthony Rizzo",115,"30782","Anthony Rizzo"
"65","Brandon Nimmo","NYM","12927",522,0.268757,0.792686,1.54466568544123,-0.236779152239159,-0.0424815072014828,1.23683383424321,1.06271226543427,1.02016904776819,4.58512017344626,65,"Brandon Nimmo",93,"32159","Brandon Nimmo"
"66","Will Smith","LAD","19197",460,0.258427,0.825825,0.620983700874407,0.958181055322945,1.17958924790969,0.943499427936646,0.275307598204585,0.604911822537279,4.58247285278556,66,NA,NA,NA,NA
"67","Cedric Mullins","BAL","17929",563,0.254809,0.734703,1.37147531333495,0.161540916948209,0.0739061837614865,0.579108112626847,1.17913536151896,1.01840154682394,4.38356743501439,67,"Cedric Mullins II",71,"35578","Cedric Mullins"
"68","Hunter Renfroe","LAA","15464",491,0.240245,0.769,0.505523452803554,1.4892744809061,1.12139540242821,0.410225470349559,0.241622328017908,0.576734058234074,4.34477519273941,68,"Hunter Renfroe",176,"33205","Hunter Renfroe"
"69","Tyler O'Neill","STL","15711",479,0.248635,0.78267,0.90963432105154,1.22372776811452,0.888620020502271,0.494614342570181,0.283387466887538,0.54390711592758,4.34389103505363,69,"Tyler O'Neill",191,"34168","Tyler O'Neill"
"70","Jake Cronenworth","SDP","18036",541,0.250451,0.742033,1.02509456912239,0.0287675605524194,0.772232329539302,0.756257100179014,0.886323964946316,0.868994650239036,4.33767017457848,70,"Jake Cronenworth",82,"36364","Jake Cronenworth"
"71","Ian Happ","CHC","17919",533,0.248239,0.75435,0.678713824909834,0.559860986135577,0.714038484057817,0.73262015053509,0.769301860280255,0.876695270053915,4.33123057597249,71,"Ian Happ",182,"34945","Ian Happ"
"72","Alec Bohm","PHI","21618",558,0.276875,0.740609,0.505523452803554,-0.10400579584337,0.597650793094848,0.704632944957733,1.5850236277349,1.0137720032289,4.30259702597657,72,"Alec Bohm",181,"41169","Alec Bohm"
"73","Gleyber Torres","NYY","16997",522,0.257263,0.75653,0.794174072980687,0.559860986135577,0.714038484057817,0.576397743349885,0.842101350259603,0.78899707711461,4.27556971389818,73,"Gleyber Torres",136,"33804","Gleyber Torres"
"74","Giancarlo Stanton","NYY","4949",457,0.24132,0.8026,0.21687283262642,1.75482119369768,1.29597693887266,0.559670728575851,-0.0406575703725631,0.444562522027589,4.23124664542764,74,"Giancarlo Stanton",177,"30583","Giancarlo Stanton"
"75","Andrew Vaughn","CHW","26197",529,0.262623,0.760402,0.3900632047327,0.427087629739788,0.772232329539302,0.745180699460645,1.01257413306364,0.878950324098834,4.22608832063491,75,"Andrew Vaughn",160,"42394","Andrew Vaughn"
"76","J.D. Martinez","LAD","6184",504,0.25969,0.776402,0.56325357683898,0.559860986135577,0.888620020502271,0.722820345619764,0.716809022271475,0.744877202190078,4.19624115355814,76,"J.D. Martinez",151,"31065","J.D. Martinez"
"77","Alex Verdugo","BOS","17027",548,0.281437,0.756539,0.73644394894526,-0.502325865030738,0.481263102131879,0.830629416537848,1.57514099729784,1.02998355721434,4.15113515709643,77,"Alex Verdugo",144,"33786","Alex Verdugo"
"78","Christian Yelich","MIL","11477",530,0.248706,0.75449,1.54466568544123,0.0287675605524194,0.0739061837614865,0.865096162427983,0.75101990952713,0.849885055146257,4.11334055685651,78,"Christian Yelich",125,"31283","Christian Yelich"
"79","Seiya Suzuki","CHC","30116",500,0.261093,0.788067,0.678713824909834,0.427087629739788,0.655844638576332,0.830662502266807,0.704408209911636,0.778277645596422,4.07499445100082,79,"Seiya Suzuki",152,"4142424","Seiya Suzuki"
"80","Mitch Haniger","SFG","14274",486,0.251195,0.778179,0.73644394894526,0.958181055322945,0.772232329539302,0.591809011103345,0.393129287955082,0.584279084856194,4.03607471772213,80,"Mitch Haniger",213,"32771","Mitch Haniger"
"81","J.T. Realmuto","PHI","11739",494,0.263212,0.782367,0.678713824909834,0.427087629739788,0.888620020502271,0.63770836327435,0.685296560021643,0.685872192081201,4.00329859052909,81,"J.T. Realmuto",61,"32177","J.T. Realmuto"
"82","Ryan McMahon","COL","15112",519,0.246557,0.750059,0.73644394894526,0.559860986135577,0.772232329539302,0.601182543600741,0.60941778868107,0.7200618211132,3.99919941801515,82,"Ryan McMahon",292,"33247","Ryan McMahon"
"83","Jazz Chisholm Jr.","MIA","20454",497,0.243711,0.766993,1.02509456912239,0.958181055322945,0.655844638576332,0.366493856508177,0.357963024112978,0.621031157271497,3.98460830091432,83,"Jazz Chisholm Jr.",113,"41433","Jazz Chisholm"
"84","Amed Rosario","CLE","15518",581,0.277594,0.713156,1.02509456912239,-0.767872577822317,0.36487541116891,0.465681948345385,1.83453506153492,1.02704714143386,3.94936155378315,84,"Amed Rosario",130,"33215","Amed Rosario"
"85","Andrés Giménez","CLE","19950",527,0.265256,0.752216,0.678713824909834,0.0287675605524194,0.481263102131879,0.624690810548048,1.04428195057668,0.807482229433234,3.66519947815209,85,"Andres Gimenez",154,"37729","Andres Gimenez"
"86","Gunnar Henderson","BAL","26289",510,0.253036,0.772362,0.56325357683898,0.294314273343998,0.597650793094848,0.745214740241219,0.649322658619545,0.776699053871407,3.62645509601,86,"Gunnar Henderson",108,"42507","Gunnar Henderson"
"87","Daulton Varsho","TOR","19918",499,0.235811,0.748129,0.73644394894526,1.09095441171873,0.714038484057817,0.29889908024036,0.230936950337058,0.524523080066717,3.59579595536595,87,"Daulton Varsho",64,"40963","Daulton Varsho"
"88","Tim Anderson","CHW","15172",542,0.290105,0.744384,1.19828494122867,-0.502325865030738,-0.217063043645937,0.489619604813419,1.68579576318565,0.893691073503736,3.5480024740548,88,"Tim Anderson",173,"33184","Tim Anderson"
"89","Ketel Marte","ARI","13613",517,0.266911,0.770951,0.678713824909834,-0.10400579584337,0.36487541116891,0.793623270323059,0.978210285541674,0.833986047134181,3.54540304323429,89,"Ketel Marte",133,"32512","Ketel Marte"
"90","Javier Báez","DET","12979",554,0.243169,0.700369,0.678713824909834,0.427087629739788,0.714038484057817,0.142938395665882,0.857704032809487,0.704430296698974,3.52491266388178,90,"Javier Baez",219,"32127","Javier Baez"
"91","Jeremy Peña","HOU","21636",545,0.248685,0.707737,0.620983700874407,0.559860986135577,0.539456947613363,0.151654721282087,0.887770248387465,0.676408566535938,3.43613517082884,91,"Jeremy Pena",171,"41273","Jeremy Pena"
"92","Jose Miranda","MIN","20538",523,0.263709,0.746067,0.274602956661847,0.161540916948209,0.714038484057817,0.516392124953471,0.975519508549168,0.731237633199934,3.37333162437044,92,"Jose Miranda",141,"41000","Jose Miranda"
"93","Joey Meneses","WSN","14366",514,0.259848,0.749622,-0.0140476635152867,0.692634342531366,0.714038484057817,0.441656612457348,0.81528131187189,0.671374943634502,3.32093803103764,93,"Joey Meneses",243,"34534","Joey Meneses"
"94","Kris Bryant","COL","15429",463,0.270644,0.8147,0.851904197016114,0.294314273343998,0.24848772020594,0.792700549208002,0.511798583489008,0.572166577986882,3.27137190124994,94,"Kris Bryant",100,"33172","Kris Bryant"
"95","Tommy Edman","STL","19470",566,0.260606,0.705161,1.31374518929953,-0.635099221426528,-0.100675352682967,0.356977239737711,1.32788660988903,0.840593631812834,3.1034280966296,95,"Tommy Edman",86,"39907","Tommy Edman"
"96","Brandon Lowe","TBR","18882",465,0.23956,0.780911,0.447793328768127,0.958181055322945,0.772232329539302,0.465564971369739,0.000235768517668068,0.399676709204698,3.04368416272248,96,"Brandon Lowe",158,"39961","Brandon Lowe"
"97","Josh Naylor","CLE","18839",475,0.264707,0.78183,0.04368246052014,0.559860986135577,0.772232329539302,0.522039585451995,0.527523082712523,0.500673692278054,2.92601213663759,97,"Josh Naylor",178,"35066","Josh Naylor"
"98","Jeff McNeil","NYM","15362",528,0.28766,0.756591,0.3900632047327,-0.900645934218106,0.24848772020594,0.76272716773301,1.48899068668924,0.844989901979856,2.83461274712264,98,"Jeff McNeil",111,"33900","Jeff McNeil"
"99","Steven Kwan","CLE","24610",536,0.284004,0.750923,1.2560150652641,-1.29896600340547,-0.275256889127421,0.76147074906354,1.50155343102332,0.881915327969678,2.82673168078775,99,"Steven Kwan",73,"41998","Steven Kwan"
"100","Yandy Díaz","TBR","16578",489,0.279553,0.795159,0.620983700874407,-0.502325865030738,0.0157123382800019,0.998192122217002,0.93072016747372,0.714576067886303,2.7778585317007,100,"Yandy Diaz",134,"33481","Yandy Diaz"
"101","Willson Contreras","STL","11609",446,0.250528,0.805632,0.620983700874407,0.825407698927156,0.306681565687425,0.629330075861261,0.0127405644431652,0.352988425858299,2.74813203165171,101,"Willson Contreras",138,"32532","Willson Contreras"
"102","Brendan Rodgers","COL","17907",501,0.276261,0.767556,0.274602956661847,-0.236779152239159,0.306681565687425,0.596263422358995,0.993424463722841,0.662064192106309,2.59625744829826,102,"Brendan Rodgers",169,"35073","Brendan Rodgers"
"103","Randal Grichuk","COL","10243",489,0.256891,0.745977,0.159142708590993,0.559860986135577,0.655844638576332,0.165216632027211,0.523253211586096,0.419998725944751,2.48331690286096,103,"Randal Grichuk",489,"31399","Randal Grichuk"
"104","Sean Murphy","ATL","19352",470,0.249573,0.780516,0.274602956661847,0.559860986135577,0.423069256650394,0.555466509831316,0.217318375703169,0.445227862673948,2.47554594765625,104,"Sean Murphy",131,"33557","Sean Murphy"
"105","Adley Rutschman","BAL","26288",471,0.256252,0.789917,0.678713824909834,0.0287675605524194,0.0739061837614865,0.772117486471446,0.342164177375404,0.509022994726056,2.40469222779665,105,"Adley Rutschman",66,"42178","Adley Rutschman"
"106","Starling Marte","NYM","9241",500,0.272947,0.752551,0.851904197016114,-0.369552508634949,0.0739061837614865,0.332341760625113,0.922339820113767,0.560768087458491,2.37170754034002,106,"Starling Marte",135,"30830","Starling Marte"
"107","Corbin Carroll","ARI","25878",488,0.250699,0.766958,0.851904197016114,0.0287675605524194,0.0157123382800019,0.450838715949174,0.402701879698501,0.536271058162534,2.28619574965874,107,"Corbin Carroll",88,"42404","Corbin Carroll"
"108","Luis Arraez","MIA","18568",515,0.301894,0.763261,0.851904197016114,-1.43173935980126,-0.39164458009039,0.726151002823903,1.62102665041847,0.766591498126209,2.14228940849304,108,"Luis Arraez",83,"39572","Luis Arraez"
"109","Austin Hays","BAL","19363",512,0.250327,0.723568,0.274602956661847,0.161540916948209,0.36487541116891,0.186244022689053,0.616931263147127,0.489620194103223,2.09381476471837,109,"Austin Hays",234,"36928","Austin Hays"
"110","Luis Urías","MIL","16622",496,0.24167,0.739077,0.332333080697274,0.294314273343998,0.24848772020594,0.413382361452032,0.31177906170374,0.442039224975393,2.04233572237838,110,"Luis Urias",217,"35383","Luis Urias"
"111","Masataka Yoshida","BOS","31837",447,0.285057,0.817661,0.3900632047327,-0.236779152239159,0.132100029242971,0.738319561782244,0.589466622252503,0.428716182733836,2.04188644850509,111,"Masataka Yoshida",101,"4872598","Masataka Yoshida"
"112","Jonathan India","CIN","21523",487,0.254273,0.754131,0.73644394894526,-0.10400579584337,0.0157123382800019,0.471638500120412,0.457482209074566,0.45036339342107,2.02763459399794,112,"Jonathan India",210,"41171","Jonathan India"
"113","MJ Melendez","KCR","22197",478,0.230673,0.750545,0.332333080697274,0.692634342531366,0.36487541116891,0.325931735268709,-0.0414498015980429,0.346235046818202,2.02055981488642,113,"MJ Melendez",103,"40948","MJ Melendez"
"114","Lourdes Gurriel Jr.","ARI","19238",498,0.278774,0.756253,-0.0717777875507134,-0.369552508634949,0.306681565687425,0.405108517531309,1.00896651370562,0.564914144467859,1.84434044520655,114,"Lourdes Gurriel Jr.",331,"36040","Lourdes Gourriel"
"115","Oscar Gonzalez","CLE","20970",485,0.27545,0.751394,-0.244968159656994,0.0287675605524194,0.423069256650394,0.190660259514449,0.816435058803713,0.415630125227657,1.62959410109164,115,"Oscar Gonzalez",211,"39400","Oscar Gonzalez"
"116","Riley Greene","DET","25976",521,0.25182,0.71708,0.3900632047327,-0.502325865030738,0.0739061837614865,0.285387252406059,0.728371494710173,0.527980952904219,1.5033832234839,116,"Riley Greene",236,"42179","Riley Greene"
"117","Joc Pederson","SFG","11899",434,0.24355,0.775264,0.04368246052014,0.692634342531366,0.481263102131879,0.175411534625846,-0.20915433450546,0.073142426443585,1.25697953174736,117,"Joc Pederson",263,"31392","Joc Pederson"
"118","Jake McCarthy","ARI","21622",504,0.262385,0.730744,0.505523452803554,-0.767872577822317,0.0157123382800019,0.207878479653997,0.766752019994666,0.463018326846421,1.19101203975632,118,"Jake McCarthy",196,"41197","Jake McCarthy"
"119","Mike Yastrzemski","SFG","14854",471,0.227137,0.728017,0.505523452803554,0.294314273343998,0.132100029242971,0.0754169843646104,-0.162059228971401,0.151918060805821,0.997213571589553,119,"Mike Yastrzemski",282,"33341","Mike Yastrzemski"
"120","Nico Hoerner","CHC","21479",509,0.278145,0.725847,0.447793328768127,-1.0334192906139,-0.275256889127421,0.224692023152343,1.10994797675159,0.477240681329087,0.950997830259832,120,"Nico Hoerner",187,"41219","Nico Hoerner"
