,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
718,7738,Wily Peralta,DET,52,2,38,1.47,4.7,2,-0.1434635,-0.095818,-0.4158972,-0.9446435,-0.5535067,-0.4053878,-2.5587166,497,481,-16,0,1,NA,292
172,14681,Andres Machado,WSN,39,0,34,1.47,4.94,8,-0.4244994,-0.5710987,-0.5014773,-0.7759508,-0.6884838,0.38778351,-2.5737264,498,789,291,0,1,NA,293
347,17948,Trent Thornton,TOR,33,0,32,1.35,4.46,2,-0.5542082,-0.5710987,-0.5442673,-0.2747017,-0.2381466,-0.4053878,-2.5878105,499,459,-40,0,1,NA,294
262,16408,Victor González,LAD,18,0,18,1.35,3.97,5,-0.8784804,-0.5710987,-0.8437977,-0.2725067,-0.0136856,-0.0088021,-2.5883714,500,432,-68,0,1,NA,295
274,16609,Bryan Abreu,HOU,25,0,28,1.47,4.17,5,-0.7271534,-0.5710987,-0.6298474,-0.5942817,-0.0580097,-0.0088021,-2.5891932,501,464,-37,0,1,NA,296
173,14696,Keone Kela,ARI,22,0,24,1.27,4.07,2,-0.7920079,-0.5710987,-0.7154275,-0.0849183,-0.0234177,-0.4053878,-2.5922579,502,633,131,0,1,NA,297
608,22487,Johan Oviedo,,44,2,37,1.49,4.62,2,-0.3164086,-0.095818,-0.4372922,-0.9349194,-0.4163267,-0.4053878,-2.6061527,504,418,-86,0,1,NA,298
737,9073,Kirby Yates,ATL,17,0,21,1.18,3.88,2,-0.9000986,-0.5710987,-0.7796126,0.03662941,0.01200577,-0.4053878,-2.6075626,505,449,-56,0,1,NA,299
414,19274,Jacob Webb,,32,0,31,1.36,4.59,3,-0.5758264,-0.5710987,-0.5656624,-0.3087688,-0.3358672,-0.2731926,-2.6304161,506,559,53,0,1,NA,300
73,12680,Ryne Harper,,37,0,33,1.36,4.75,3,-0.4677357,-0.5710987,-0.5228723,-0.3148463,-0.4968385,-0.2731926,-2.6465842,507,519,12,0,1,NA,301
662,4141,Derek Holland,BOS,35,0,35,1.41,4.55,3,-0.510972,-0.5710987,-0.4800822,-0.4995199,-0.3149238,-0.2731926,-2.6497892,508,773,265,0,1,NA,302
561,21087,Demarcus Evans,,40,0,46,1.46,4.65,3,-0.4028812,-0.5710987,-0.244737,-0.7461604,-0.4255811,-0.2731926,-2.663651,510,678,168,0,1,NA,303
176,14739,Paul Blackburn,OAK,36,1,26,1.42,4.6,3,-0.4893538,-0.3334584,-0.6726375,-0.5445713,-0.3607884,-0.2731926,-2.6740019,513,388,-125,0,1,NA,304
27,10855,Chasen Shreve,NYM,29,0,28,1.41,4.69,5,-0.6406808,-0.5710987,-0.6298474,-0.4601518,-0.3924101,-0.0088021,-2.702991,514,777,263,0,1,NA,305
672,4994,Fernando Abad,,28,0,23,1.37,4.51,4,-0.662299,-0.5710987,-0.7368226,-0.3338435,-0.2663278,-0.1409974,-2.711389,515,595,80,0,1,NA,306
751,9939,Brandon Kintzler,,37,0,27,1.43,4.68,5,-0.4677357,-0.5710987,-0.6512425,-0.5917611,-0.4353699,-0.0088021,-2.72601,516,642,126,0,1,NA,307
384,18555,Logan Allen,CLE,51,2,42,1.47,4.91,2,-0.1650816,-0.095818,-0.3303171,-0.9316671,-0.8009829,-0.4053878,-2.7292545,518,549,31,0,1,NA,308
471,19845,Alexander Wells,,50,1,36,1.37,5.06,2,-0.1866998,-0.3334584,-0.4586872,-0.3841063,-0.9672921,-0.4053878,-2.7356315,519,353,-166,0,1,NA,309
130,13707,Joey Krehbiel,BAL,41,0,39,1.43,5,5,-0.3812631,-0.5710987,-0.3945021,-0.6265598,-0.7716689,-0.0088021,-2.7538948,521,590,69,0,1,NA,310
111,13397,Sam Selman,OAK,34,0,34,1.41,4.65,3,-0.5325901,-0.5710987,-0.5014773,-0.4929585,-0.3924713,-0.2731926,-2.7637885,524,643,119,0,1,NA,311
338,17793,Trey Wingenter,CIN,27,0,33,1.33,4.67,2,-0.6839171,-0.5710987,-0.5228723,-0.2160886,-0.366659,-0.4053878,-2.7660236,525,439,-86,0,1,NA,312
505,20153,Nick Nelson,PHI,43,0,47,1.53,4.5,3,-0.3380268,-0.5710987,-0.2233419,-1.1037018,-0.2890577,-0.2731926,-2.7984195,528,505,-23,0,1,NA,313
393,18792,Miguel Del Pozo,DET,37,0,38,1.44,4.54,2,-0.4677357,-0.5710987,-0.4158972,-0.6313203,-0.3124326,-0.4053878,-2.8038723,529,424,-105,0,1,NA,314
674,5097,Anthony Gose,CLE,46,0,54,1.6,4.72,6,-0.2731723,-0.5710987,-0.0735767,-1.5061483,-0.5351114,0.12339307,-2.8357144,531,808,277,0,1,NA,315
335,17759,Angel Perdomo,,25,0,34,1.42,4.36,2,-0.7271534,-0.5710987,-0.5014773,-0.4606356,-0.1707418,-0.4053878,-2.8364946,532,491,-41,0,1,NA,316
741,9388,Josh Tomlin,,45,0,33,1.33,5.16,3,-0.2947905,-0.5710987,-0.5228723,-0.1802326,-0.9978466,-0.2731926,-2.8400332,533,809,276,0,1,NA,317
634,25376,Nick Mears,PIT,33,0,34,1.46,4.85,5,-0.5542082,-0.5710987,-0.5014773,-0.66281,-0.5435912,-0.0088021,-2.8419877,534,718,184,0,1,NA,318
219,15507,Hunter Harvey,WSN,24,0,22,1.37,4.6,4,-0.7487716,-0.5710987,-0.7582176,-0.3247048,-0.3088085,-0.1409974,-2.8525986,535,523,-12,0,1,NA,319
499,20045,Sean Guenther,MIA,24,0,21,1.29,4.47,2,-0.7487716,-0.5710987,-0.7796126,-0.1194244,-0.2347614,-0.4053878,-2.8590565,536,429,-107,0,1,NA,320
37,11428,Brandon Workman,,32,0,32,1.5,4.82,6,-0.5758264,-0.5710987,-0.5442673,-0.7877565,-0.5105426,0.12339307,-2.8660984,537,792,255,0,1,NA,321
64,12323,Jacob Barnes,DET,27,0,26,1.39,4.53,3,-0.6839171,-0.5710987,-0.6726375,-0.389294,-0.276948,-0.2731926,-2.8670879,538,475,-63,0,1,NA,322
410,19264,Thomas Hatch,,29,0,27,1.36,4.55,2,-0.6406808,-0.5710987,-0.6512425,-0.3051223,-0.2960539,-0.4053878,-2.869586,540,497,-43,0,1,NA,323
305,17292,Javy Guerra,SDP,27,0,25,1.36,4.44,2,-0.6839171,-0.5710987,-0.6940325,-0.3026913,-0.2192766,-0.4053878,-2.8764041,541,397,-144,0,1,NA,324
247,16159,Jace Fry,WSN,26,0,27,1.41,4.3,2,-0.7055353,-0.5710987,-0.6512425,-0.4404677,-0.1323539,-0.4053878,-2.9060859,544,476,-68,0,1,NA,325
437,19454,Michael Rucker,CHC,32,0,31,1.36,4.78,2,-0.5758264,-0.5710987,-0.5656624,-0.3087688,-0.4801642,-0.4053878,-2.9069083,545,552,7,0,1,NA,326
250,16209,Jake Reed,NYM,28,0,26,1.37,4.52,2,-0.662299,-0.5710987,-0.6726375,-0.3338435,-0.2729731,-0.4053878,-2.9182396,547,478,-69,0,1,NA,327
281,16929,Touki Toussaint,,34,1,34,1.45,4.82,2,-0.5325901,-0.3334584,-0.5014773,-0.6383655,-0.5296484,-0.4053878,-2.9409274,551,482,-69,0,1,NA,328
747,9794,Rex Brothers,MIL,20,0,27,1.47,4.49,4,-0.8352442,-0.5710987,-0.6512425,-0.5293999,-0.2392692,-0.1409974,-2.9672518,555,723,168,0,1,NA,329
399,19178,Tommy Nance,MIA,18,0,18,1.37,4.79,5,-0.8784804,-0.5710987,-0.8437977,-0.3109968,-0.3639857,-0.0088021,-2.9771616,557,499,-58,0,1,NA,330
84,12857,Shawn Armstrong,,15,0,16,1.33,4.44,4,-0.9433349,-0.5710987,-0.8865878,-0.2399926,-0.2128643,-0.1409974,-2.9948757,558,583,25,0,1,NA,331
445,19535,Ryan Hendrix,CIN,34,0,35,1.45,4.8,3,-0.5325901,-0.5710987,-0.4800822,-0.6383655,-0.5135099,-0.2731926,-3.0088391,560,653,93,0,1,NA,332
697,6627,Brad Brach,ATL,29,0,30,1.5,4.81,5,-0.6406808,-0.5710987,-0.5870574,-0.7392048,-0.4750012,-0.0088021,-3.0218451,562,735,173,0,1,NA,333
594,22092,Kyle Tyler,,27,0,21,1.4,4.36,2,-0.6839171,-0.5710987,-0.7796126,-0.4181615,-0.1680132,-0.4053878,-3.026191,563,798,235,0,1,NA,334
308,17355,Edgar Santana,,15,0,12,1.25,3.97,2,-0.9433349,-0.5710987,-0.9721679,-0.1116924,-0.0455462,-0.4053878,-3.0492279,567,571,4,0,1,NA,335
273,16588,Jonathan Holder,CHC,25,0,21,1.33,4.66,2,-0.7271534,-0.5710987,-0.7796126,-0.2200726,-0.3487398,-0.4053878,-3.052065,568,623,55,0,1,NA,336
151,14169,Kyle Zimmer,,38,0,37,1.49,4.79,3,-0.4461175,-0.5710987,-0.4372922,-0.8442312,-0.5408044,-0.2731926,-3.1127367,571,797,226,0,1,NA,337
607,22358,Stephen Ridings,NYY,14,0,16,1.39,4.13,3,-0.964953,-0.5710987,-0.8865878,-0.3317948,-0.1093284,-0.2731926,-3.1369554,576,489,-87,0,1,NA,338
330,17682,Ralph Garza Jr.,,25,0,24,1.41,4.8,3,-0.7271534,-0.5710987,-0.7154275,-0.4339064,-0.4318055,-0.2731926,-3.1525842,578,752,174,0,1,NA,339
590,21997,Luis Frías,,19,0,19,1.35,4.49,2,-0.8568623,-0.5710987,-0.8224027,-0.2726531,-0.2375482,-0.4053878,-3.1659527,580,570,-10,0,1,NA,340
60,12237,Dan Winkler,TEX,25,0,24,1.49,4.69,4,-0.7271534,-0.5710987,-0.7154275,-0.6477402,-0.3665396,-0.1409974,-3.1689568,581,783,202,0,1,NA,341
128,13696,Robert Gsellman,CHC,28,0,22,1.43,4.71,3,-0.662299,-0.5710987,-0.7582176,-0.5134639,-0.399233,-0.2731926,-3.1775048,582,770,188,0,1,NA,342
23,10756,Shane Greene,LAD,19,0,17,1.34,4.52,2,-0.8568623,-0.5710987,-0.8651927,-0.2523388,-0.251076,-0.4053878,-3.2019564,585,692,107,0,1,NA,343
207,15264,Keynan Middleton,,24,0,22,1.46,4.81,4,-0.7487716,-0.5710987,-0.7582176,-0.5556453,-0.4284232,-0.1409974,-3.2031538,586,767,181,0,1,NA,344
249,16201,Justin Anderson,TEX,24,0,26,1.46,4.52,2,-0.7487716,-0.5710987,-0.6726375,-0.5556453,-0.2632411,-0.4053878,-3.216782,587,564,-23,0,1,NA,345
367,18332,Eric Hanhold,,44,0,35,1.46,5.1,4,-0.3164086,-0.5710987,-0.4800822,-0.7937891,-0.9175691,-0.1409974,-3.2199452,589,782,193,0,1,NA,346
587,21850,Mason Thompson,WSN,27,0,25,1.52,4.88,5,-0.6839171,-0.5710987,-0.6940325,-0.7645722,-0.5012255,-0.0088021,-3.2236483,590,594,4,0,1,NA,347
467,19789,Anthony Castro,TOR,16,0,17,1.36,4.34,2,-0.9217167,-0.5710987,-0.8651927,-0.2893207,-0.1754258,-0.4053878,-3.2281425,592,477,-115,0,1,NA,348
234,15849,Kent Emanuel,PHI,15,0,12,1.34,4.17,2,-0.9433349,-0.5710987,-0.9721679,-0.2560302,-0.1167454,-0.4053878,-3.2647649,596,488,-108,0,1,NA,349
255,16279,Sam Clay,WSN,15,0,12,1.54,4.4,5,-0.9433349,-0.5710987,-0.9721679,-0.5767808,-0.1986245,-0.0088021,-3.270809,597,605,8,0,1,NA,350
569,21290,Lucas Gilbreath,COL,50,0,48,1.54,5.22,6,-0.1866998,-0.5710987,-0.2019469,-1.2928998,-1.1571566,0.12339307,-3.2864088,598,717,119,0,1,NA,351
502,20074,Miguel Sánchez,MIL,27,0,25,1.44,4.72,2,-0.6839171,-0.5710987,-0.6940325,-0.5336318,-0.3986986,-0.4053878,-3.2867666,599,732,133,0,1,NA,352
179,14814,Buck Farmer,,32,0,31,1.46,5.02,3,-0.5758264,-0.5710987,-0.5656624,-0.6509028,-0.6624342,-0.2731926,-3.2991171,600,784,184,0,1,NA,353
444,19531,Jason Foley,DET,25,0,20,1.54,4.56,4,-0.7271534,-0.5710987,-0.8010077,-0.7813863,-0.2894071,-0.1409974,-3.3110506,603,766,163,0,1,NA,354
124,13607,Carl Edwards Jr.,WSN,17,0,19,1.36,5.04,3,-0.9000986,-0.5710987,-0.8224027,-0.2905363,-0.4560103,-0.2731926,-3.3133392,604,729,125,0,1,NA,355
653,3200,Ervin Santana,,37,0,30,1.42,5.17,3,-0.4677357,-0.5710987,-0.5870574,-0.5522018,-0.8656504,-0.2731926,-3.3169366,605,811,206,0,1,NA,356
687,5702,Junior Guerra,,35,0,31,1.46,4.92,2,-0.510972,-0.5710987,-0.5656624,-0.6866244,-0.6222671,-0.4053878,-3.3620123,610,738,128,0,1,NA,357
198,15068,Yency Almonte,LAD,30,0,28,1.45,4.98,2,-0.6190627,-0.5710987,-0.6298474,-0.5950134,-0.6053554,-0.4053878,-3.4257655,620,781,161,0,1,NA,358
14,10314,Erasmo Ramírez,,27,0,21,1.38,5.09,2,-0.6839171,-0.5710987,-0.7796126,-0.3604264,-0.635792,-0.4053878,-3.4362347,622,805,183,0,1,NA,359
549,20631,Jordan Holloway,,33,0,31,1.55,4.62,2,-0.5542082,-0.5710987,-0.5656624,-0.9803532,-0.3634572,-0.4053878,-3.4401676,625,764,139,0,1,NA,360
67,1246,Matt Bush,TEX,18,0,18,1.43,5,3,-0.8784804,-0.5710987,-0.8437977,-0.426467,-0.4536967,-0.2731926,-3.4467332,627,791,164,0,1,NA,361
406,19231,Caleb Baragar,,18,0,15,1.47,4.99,4,-0.8784804,-0.5710987,-0.9079828,-0.5034472,-0.4494248,-0.1409974,-3.4514313,630,759,129,0,1,NA,362
170,14672,Dillon Maples,,22,0,26,1.56,4.5,2,-0.7920079,-0.5710987,-0.6726375,-0.7670481,-0.2479325,-0.4053878,-3.4561124,631,608,-23,0,1,NA,363
532,20379,Tyler Zuber,KCR,15,0,16,1.43,4.6,2,-0.9433349,-0.5710987,-0.8865878,-0.400368,-0.2698237,-0.4053878,-3.4766008,633,612,-21,0,1,NA,364
341,17871,Ian Gibaut,CLE,24,0,22,1.53,4.76,3,-0.7487716,-0.5710987,-0.7582176,-0.7352657,-0.3999435,-0.2731926,-3.4864897,634,655,21,0,1,NA,365
513,20206,Mike Baumann,BAL,29,0,25,1.45,4.98,2,-0.6406808,-0.5710987,-0.6940325,-0.5841754,-0.5920052,-0.4053878,-3.4873805,635,657,22,0,1,NA,366
20,10688,Tyler Thornburg,ATL,30,0,30,1.49,5.17,3,-0.6190627,-0.5710987,-0.5870574,-0.7233137,-0.7406339,-0.2731926,-3.514359,639,800,161,0,1,NA,367
398,19159,Zack Burdi,,26,0,27,1.48,5,2,-0.7055353,-0.5710987,-0.6512425,-0.6350565,-0.5642958,-0.4053878,-3.5326165,644,760,116,0,1,NA,368
534,20385,Isaac Mattson,BAL,21,0,19,1.46,4.84,2,-0.813626,-0.5710987,-0.8224027,-0.5199237,-0.4154283,-0.4053878,-3.5478672,649,551,-98,0,1,NA,369
466,19784,Justin Garza,CLE,25,0,25,1.51,4.86,2,-0.7271534,-0.5710987,-0.6940325,-0.7011986,-0.4674051,-0.4053878,-3.5662762,653,769,116,0,1,NA,370
168,14663,Chi Chi González,,70,1,47,1.55,4.96,2,0.24566318,-0.3334584,-0.2233419,-1.7769525,-1.1061378,-0.4053878,-3.5996153,658,807,149,0,1,NA,371
52,11812,Alberto Baldonado,WSN,10,0,11,1.44,4.69,2,-1.0514256,-0.5710987,-0.9935629,-0.3675612,-0.2695252,-0.4053878,-3.6585615,665,581,-84,0,1,NA,372
809,sa918274,Graham Ashcraft,CIN,9,0,9,1.43,4.6,2,-1.0730438,-0.5710987,-1.036353,-0.3481699,-0.2438338,-0.4053878,-3.6778869,672,616,-56,0,1,NA,373
186,14966,Reyes Moronta,LAD,8,0,8,1.34,4.95,2,-1.0946619,-0.5710987,-1.057748,-0.26249,-0.3059547,-0.4053878,-3.6973412,677,701,24,0,1,NA,374
540,20447,Enoli Paredes,HOU,9,0,10,1.51,4.5,2,-1.0730438,-0.5710987,-1.0149579,-0.42515,-0.222474,-0.4053878,-3.7121123,681,660,-21,0,1,NA,375
225,15605,Phillips Valdez,BOS,24,0,21,1.51,4.98,2,-0.7487716,-0.5710987,-0.7796126,-0.6839456,-0.5252541,-0.4053878,-3.7140704,682,750,68,0,1,NA,376
511,20198,Ben Bowden,COL,27,0,31,1.5,5.34,2,-0.6839171,-0.5710987,-0.5656624,-0.7068371,-0.7959902,-0.4053878,-3.7288933,689,509,-180,0,1,NA,377
681,5401,Brad Peacock,KCR,10,0,10,1.43,5.12,2,-1.0514256,-0.5710987,-1.0149579,-0.3568695,-0.3715774,-0.4053878,-3.771317,702,787,85,0,1,NA,378
543,20491,J.B. Bukauskas,ARI,24,0,22,1.53,5.08,2,-0.7487716,-0.5710987,-0.7582176,-0.7352657,-0.5822135,-0.4053878,-3.8009549,710,785,75,0,1,NA,379
447,19548,JD Hammer,COL,27,0,26,1.5,5.29,2,-0.6839171,-0.5710987,-0.6726375,-0.7068371,-0.7639506,-0.4053878,-3.8038288,713,512,-201,0,1,NA,380
617,23310,Damon Jones,PHI,12,0,12,1.65,4.41,2,-1.0081893,-0.5710987,-0.9721679,-0.6565295,-0.2027173,-0.4053878,-3.8160906,717,677,-40,0,1,NA,381
588,21894,Gregory Santos,,6,0,6,1.49,4.77,2,-1.1378982,-0.5710987,-1.100538,-0.3605609,-0.2550466,-0.4053878,-3.8305302,721,712,-9,0,1,NA,382
500,20061,Kaleb Ort,BOS,6,0,6,1.57,4.62,2,-1.1378982,-0.5710987,-1.100538,-0.411881,-0.2336868,-0.4053878,-3.8604906,728,697,-31,0,1,NA,383
415,19276,Edgar García,,13,0,13,1.46,5.47,2,-0.9865712,-0.5710987,-0.9507728,-0.4246662,-0.5295814,-0.4053878,-3.8680781,730,758,28,0,1,NA,384
370,18341,Julian Fernández,,25,0,22,1.5,5.33,2,-0.7271534,-0.5710987,-0.7582176,-0.6744694,-0.7462687,-0.4053878,-3.8825956,736,574,-162,0,1,NA,385
788,sa737480,Felix Bautista,BAL,18,0,18,1.57,5.11,2,-0.8784804,-0.5710987,-0.8437977,-0.6958976,-0.5006882,-0.4053878,-3.8953505,738,749,11,0,1,NA,386
439,19457,Bryan Garcia,,30,0,23,1.51,5.22,2,-0.6190627,-0.5710987,-0.7368226,-0.7874638,-0.7762335,-0.4053878,-3.8960691,739,799,60,0,1,NA,387
480,19881,Gabe Klobosits,WSN,9,0,7,1.51,5.34,2,-1.0730438,-0.5710987,-1.079143,-0.42515,-0.401896,-0.4053878,-3.9557193,754,734,-20,0,1,NA,388
456,19682,Jordan Sheffield,COL,47,0,43,1.58,5.43,4,-0.2515542,-0.5710987,-0.308922,-1.432522,-1.3342635,-0.1409974,-4.0393578,770,793,23,0,1,NA,389
328,17639,Justin Lawrence,COL,36,0,32,1.63,5.77,4,-0.4893538,-0.5710987,-0.5442673,-1.3528629,-1.3604252,-0.1409974,-4.4590054,808,668,-140,0,1,NA,390
