,playerid,Name,Team,pIP,pQS,pSO,pWHIP,pERA,pSVHD,IP,QS,SO,wWHIP,wERA,SVHD,pr,rank,og_rank,rank_dif,pos_SP,pos_RP,adp,rank
619,23550,Aaron Ashby,MIL,88,4,102,1.28,3.79,2,0.63478982,0.37946273,0.95338457,0.37585783,1.10565894,-0.4053878,3.0437661,159,99,-60,1,1,NA,48
133,13758,Tyler Duffey,MIN,65,0,67,1.29,4.05,26,0.13757245,-0.5710987,0.20455862,0.13759138,0.36205098,2.76729743,3.03797212,160,277,117,0,1,NA,49
2,10058,Tyler Matzek,ATL,61,0,76,1.33,3.38,20,0.05109986,-0.5710987,0.39711386,-0.1483605,1.29713535,1.97412612,3.00001594,161,198,37,0,1,302,50
206,15256,Cole Sulser,BAL,67,0,74,1.29,3.9,22,0.18080874,-0.5710987,0.35432381,0.15012874,0.61801139,2.23851656,2.97069051,162,186,24,0,1,NA,51
714,7531,Collin McHugh,ATL,63,0,69,1.15,3.48,12,0.09433615,-0.5710987,0.24734867,1.06806095,1.19686241,0.91656438,2.95207382,163,202,39,0,1,322,52
368,18335,Josh Staumont,KCR,63,0,71,1.32,3.72,23,0.09433615,-0.5710987,0.29013873,-0.0770189,0.83801841,2.37071178,2.94508744,164,264,100,0,1,NA,53
100,13218,Michael Fulmer,DET,61,0,60,1.25,3.73,22,0.05109986,-0.5710987,0.05479343,0.37339387,0.79043433,2.23851656,2.93713932,165,199,34,0,1,NA,54
665,4264,Mark Melancon,ARI,63,0,53,1.35,3.77,27,0.09433615,-0.5710987,-0.0949718,-0.2790918,0.76325924,2.89949265,2.81192575,167,260,93,0,1,218,55
5,10078,Caleb Thielbar,MIN,64,0,71,1.23,3.74,17,0.1159543,-0.5710987,0.29013873,0.54188354,0.82419353,1.57754047,2.77861183,168,187,19,0,1,NA,56
394,18806,Drew Steckenrider,SEA,64,0,60,1.24,3.89,21,0.1159543,-0.5710987,0.05479343,0.47345673,0.59635607,2.10632134,2.77578314,169,319,150,0,1,NA,57
