"","playerid","Name","pr","adp","R","HR","RBI","RC","AVG","OPS","IP","SO","QS","ERA","WHIP","SVHD","Year","ESPNID","ESPNNAME"
"22","9777","Nolan Arenado",9.5565718017869,29,1.14055481719325,1.62204783730189,2.16888462109493,1.49131293005746,1.5236226559088,1.61014894023058,NA,NA,NA,NA,NA,NA,2023,31261,"Nolan Arenado"
"23","16478","Kyle Schwarber",9.53835376263498,49,1.77558618158294,2.94978140125979,1.76152770272454,1.44235528545876,0.327187786223624,1.28191540538533,NA,NA,NA,NA,NA,NA,2023,33712,"Kyle Schwarber"
"24","18401","Ronald Acuña Jr.",9.49424299906532,28,2.35288742193721,1.62204783730189,0.946813865983755,1.79127839448732,1.21989883126,1.56131664809515,NA,NA,NA,NA,NA,NA,2023,36185,"Ronald Acuna"
"25","13624","Corey Seager",9.12234946032839,34,1.37147531333495,1.4892744809061,1.35417078435415,1.82273551164524,1.47820717176061,1.60648619832733,NA,NA,NA,NA,NA,NA,2023,32691,"Corey Seager"
"26","19361","Corbin Burnes",9.02832557991015,7,NA,NA,NA,NA,NA,NA,1.71175048637833,2.66384072397287,2.04107429917867,1.4903239565007,1.9472323426973,-0.825896228817725,2023,39878,"Corbin Burnes"
"27","16137","Carlos Rodón",8.78043329186591,23,NA,NA,NA,NA,NA,NA,1.38554743990318,2.55938457449547,1.75149175495848,1.50772623698828,2.40217951433823,-0.825896228817725,2023,33696,"Carlos Rodon"
"28","3137","Max Scherzer",8.76843949922866,14,NA,NA,NA,NA,NA,NA,1.58942434395015,2.45492842501806,1.89628302706857,1.13974858967931,2.5139513423303,-0.825896228817725,2023,28976,"Max Scherzer"
"29","5417","Jose Altuve",8.60698837937669,19,2.1219669257955,1.09095441171873,0.714038484057817,1.62487701630956,1.51827581213806,1.53687572935701,NA,NA,NA,NA,NA,NA,2023,31662,"Jose Altuve"
"30","21483","Shane McClanahan",8.26655382836123,31,NA,NA,NA,NA,NA,NA,1.44671051111727,2.14155997658583,1.89628302706857,1.75347989555034,1.85441664685694,-0.825896228817725,2023,41199,"Shane McClanahan"
"31","12533","Marcus Semien",8.23798762547269,27,1.83331630561837,1.22372776811452,1.06320155694672,1.11781164943735,1.45565086402709,1.54427948132864,NA,NA,NA,NA,NA,NA,2023,32146,"Marcus Semien"
"32","19326","Bryan Reynolds",8.15509712572075,62,1.42920543737038,0.958181055322945,1.12139540242821,1.65119370976789,1.45726911745996,1.53785240337136,NA,NA,NA,NA,NA,NA,2023,38980,"Bryan Reynolds"
"33","15676","José Abreu",7.66760976318006,63,1.08282469315782,0.692634342531366,1.47055847531712,1.46554261490474,1.5477921429125,1.40825749435651,NA,NA,NA,NA,NA,NA,2023,33095,"Jose Abreu"
"34","12916","Francisco Lindor",7.59291613228228,33,1.48693556140581,0.825407698927156,1.58694616628009,1.03841178506183,1.32252439655307,1.33269052405433,NA,NA,NA,NA,NA,NA,2023,32129,"Francisco Lindor"
"35","16472","Rhys Hoskins",7.59045664257558,91,1.31374518929953,1.75482119369768,1.47055847531712,1.22532385969588,0.625774499159151,1.20023342540622,NA,NA,NA,NA,NA,NA,2023,35291,"Rhys Hoskins"
"36","16149","Aaron Nola",7.53393143663428,16,NA,NA,NA,NA,NA,NA,1.75252586718772,2.20423366627228,1.89628302706857,0.798353792868951,1.70843131205448,-0.825896228817725,2023,33709,"Aaron Nola"
"37","8700","Justin Verlander",7.45673689508457,17,NA,NA,NA,NA,NA,NA,1.36515974949849,1.91175644773553,1.60670048284838,1.06734449419228,2.33167194962762,-0.825896228817725,2023,6341,"Justin Verlander"
"38","13066","Teoscar Hernández",7.40416204456922,124,0.90963432105154,1.75482119369768,1.58694616628009,0.948397791214122,1.01276728216916,1.19159529015663,NA,NA,NA,NA,NA,NA,2023,33377,"Teoscar Hernandez"
"39","17678","Alex Bregman",7.36355744216796,40,1.42920543737038,0.692634342531366,1.47055847531712,1.53628816507786,0.998553008190427,1.23631801368081,NA,NA,NA,NA,NA,NA,2023,34886,"Alex Bregman"
"40","25764","Bobby Witt Jr.",7.36250409857215,43,1.42920543737038,0.825407698927156,1.23778309339118,0.897763484024385,1.55536492625105,1.416979458608,NA,NA,NA,NA,NA,NA,2023,42403,"Bobby Witt Jr."
"41","15986","Willy Adames",7.30169622906038,106,1.31374518929953,1.4892744809061,1.41236462983563,0.934996700213571,0.961317662592074,1.18999756621347,NA,NA,NA,NA,NA,NA,2023,33675,"Willy Adames"
"42","19427","Shane Bieber",7.08228799395701,25,NA,NA,NA,NA,NA,NA,1.83407662880651,2.03710382710842,2.04107429917867,0.80520861847719,1.19072084920394,-0.825896228817725,2023,40912,"Shane Bieber"
"43","19709","Fernando Tatis Jr.",6.99780305741668,32,1.2560150652641,1.88759455009347,1.35417078435415,1.23862430204884,0.397783912982159,0.863614442673951,NA,NA,NA,NA,NA,NA,2023,35983,"Fernando Tatis Jr."
"44","17484","Eloy Jiménez",6.97547898245424,102,0.56325357683898,1.4892744809061,1.5287523207986,1.19493402348278,1.07169022414239,1.12757435628539,NA,NA,NA,NA,NA,NA,2023,33867,"Eloy Jimenez"
"45","18314","Dansby Swanson",6.96570851213042,79,1.37147531333495,0.825407698927156,1.17958924790969,0.867607037004203,1.4129825977389,1.3086466172155,NA,NA,NA,NA,NA,NA,2023,34895,"Dansby Swanson"
