playerid,me,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,QS,SO,ERA,WHIP,SVHD,Year
15711,Tyler O'Neill,8.414780256,135,1.445066828,2.028377735,1.578367913,1.30392803,0.601134559,1.457905191,,,,,,,2022
13152,Jorge Polanco,8.399571276,78,1.78940583,1.42517262,1.543458155,1.52748385,1.143152976,0.970897845,,,,,,,2022
15689,Luis Castillo,8.365908752,54,,,,,,,2.29938711,2.7558664,2.386851386,0.983198906,0.610383189,-0.669778238,2022
19709,Ferndo Tatis Jr.,8.342968784,68,0.687521024,1.224104248,0.670714201,0.745882192,1.865844199,3.14890292,,,,,,,2022
2434,Nelson Cruz,8.339902886,137,1.135161727,1.827309364,1.648187429,1.358611463,0.872143768,1.498489136,,,,,,,2022
17085,Pablo López,8.316792174,140,,,,,,,1.867024177,2.280585666,1.830580681,1.330758253,1.677621635,-0.669778238,2022
18373,Ryan Mountcastle,8.274493391,166,1.376199028,1.927843549,1.718006945,1.441042475,0.826975566,0.984425827,,,,,,,2022
21523,Jothan India,8.244872821,106,1.996009231,1.123570062,1.229270331,1.746422258,0.826975566,1.322625373,,,,,,,2022
11477,Christian Yelich,8.237248169,88,1.651670229,1.123570062,1.229270331,1.586735964,1.052816573,1.593185009,,,,,,,2022
14986,Giovanny Gallegos,8.205558031,117,,,,,,,0.224045034,-0.571098736,0.504088999,2.007584349,2.744860081,3.296078303,2022
2036,Clayton Kershaw,8.197924953,111,,,,,,,1.542751978,2.280585666,1.659420464,1.440513836,1.944431247,-0.669778238,2022
10324,Marcell Ozuna,8.117537773,150,1.169595627,1.626240992,1.578367913,1.345419588,1.007648372,1.390265282,,,,,,,2022
14710,Edwin Díaz,8.112471368,90,,,,,,,0.115954301,-0.571098736,0.760829325,2.080754738,2.033367784,3.692663957,2022
14274,Mitch Haniger,8.023108564,96,1.686104129,1.927843549,1.648187429,1.49159048,0.284957149,0.984425827,,,,,,,2022
21483,Shane McClahan,7.987666943,104,,,,,,,1.996733057,1.805304932,2.344061332,1.367343447,1.144002412,-0.669778238,2022
12916,Francisco Lindor,7.909689664,50,1.75497193,1.525706806,1.543458155,1.540576334,0.601134559,0.943841881,,,,,,,2022
16269,John Means,7.873766632,204,,,,,,,2.256150817,2.280585666,1.894765763,0.434420989,1.677621635,-0.669778238,2022
2233,Adam Wainwright,7.824600204,154,,,,,,,2.385859696,2.7558664,1.659420464,0.727102545,0.966129337,-0.669778238,2022
14128,Joey Gallo,7.801612851,156,1.686104129,2.732117037,1.82273622,1.556881273,-1.521770908,1.5255451,,,,,,,2022
14444,Hyun Jin Ryu,7.72591766,141,,,,,,,2.191296377,2.518226033,1.723605545,0.818565531,1.144002412,-0.669778238,2022
12768,Sonny Gray,7.706902206,134,,,,,,,2.148060084,2.280585666,2.215691169,0.855150725,0.8771928,-0.669778238,2022
13431,Marcus Stroman,7.692235873,151,,,,,,,2.42909599,2.7558664,1.7663956,0.800272933,0.610383189,-0.669778238,2022
19291,Zac Gallen,7.646110658,138,,,,,,,2.16967823,2.280585666,2.386851386,0.69051735,0.788256263,-0.669778238,2022
16122,Jordan Romano,7.598919953,146,,,,,,,0.115954301,-0.571098736,0.504088999,2.355143696,1.766558172,3.428273521,2022
