"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr","rank"
"46","Eloy Jiménez","CHW","17484",542,0.276031,0.820616,0.445062691613862,1.32036137067384,1.24429823369354,0.977910133007066,1.03252126674102,0.982175405290143,6.00232910101946,47
"51","Michael Harris II","ATL","25931",549,0.290407,0.829892,0.816833436398714,0.527616051390011,1.07797290912437,0.952745177135464,1.36859156353036,1.10605010733037,5.84980924490929,48
"50","Andrew Vaughn","CHW","26197",587,0.262533,0.778232,0.816833436398714,0.923988711031923,0.856205809698821,0.932008596121937,1.18638616458399,1.11989835865842,5.83532107649381,49
"49","Royce Lewis","MIN","20437",541,0.269692,0.818542,0.710613223603042,1.05611293091256,1.29974000854993,0.901356483703347,0.905770074526244,0.959969182927966,5.83356190422309,50
"47","Marcell Ozuna","ATL","10324",532,0.255109,0.806542,0.710613223603042,1.58460981043511,1.4106235582627,0.753690978105283,0.557359885920534,0.802784381474706,5.81968183780138,51
"55","Christian Yelich","MIL","11477",584,0.261813,0.793835,1.61348503236626,0.263367611628736,0.246346286278552,1.25802942170198,1.14506155352951,1.19737072629329,5.72366063179832,52
"53","Randy Arozarena","TBR","19290",574,0.258816,0.790985,0.976163755592223,0.527616051390011,1.13341468398076,0.968679617192785,0.996658160046401,1.08792850847172,5.6904607766739,53
"56","Brandon Nimmo","NYM","12927",576,0.269206,0.806865,1.61348503236626,0.131243391748099,0.135462736565776,1.34816926837389,1.21908058554215,1.21056883420741,5.65800984880358,54
"54","William Contreras","MIL","20503",551,0.272565,0.815009,0.976163755592223,0.659740271270648,0.745322259986045,1.10818671634739,1.05217356288286,1.03128351185039,5.57287007792956,55
"52","Teoscar Hernández","","13066",581,0.257327,0.763849,0.551282904409534,1.05611293091256,1.29974000854993,0.614781665742383,1.0290384934501,0.97100053096902,5.52195653403353,56
"59","Xander Bogaerts","SDP","12161",585,0.276205,0.786312,0.976163755592223,0.131243391748099,0.745322259986045,1.04532248111238,1.44201601158835,1.15613812710813,5.49620602713522,57
"57","Nick Castellanos","PHI","11737",597,0.260241,0.752285,0.551282904409534,0.659740271270648,1.35518178340631,0.578801507122634,1.22938441556192,1.03178859724472,5.40617947901577,58
"58","Willy Adames","MIL","15986",576,0.237404,0.75565,0.763723330000878,1.05611293091256,1.18885645883715,0.640797835081034,0.592480634947228,0.873359348871066,5.11533053864992,59
"61","Vinnie Pasquantino","KCR","27676",513,0.27607,0.845205,0.657503117205206,0.659740271270648,1.02253113426799,1.14933632479342,0.759383039677978,0.854335658307702,5.10282954552294,60
"60","Josh Jung","TEX","26299",577,0.251694,0.75416,0.498172798011698,1.05611293091256,1.24429823369354,0.501516123361693,0.882648482603444,0.872169621630721,5.05491819021366,61
"63","Adley Rutschman","BAL","26288",536,0.271721,0.819834,1.18860418118357,0.131243391748099,0.357229835991328,1.22299416026036,0.896844952727179,0.921101886779184,4.71801840868972,62
"62","Matt McLain","CIN","29695",543,0.255359,0.790487,1.13549407478573,0.659740271270648,0.634438710273269,0.718977566813033,0.657994776657926,0.804545847640689,4.6111912474413,63
"65","Ian Happ","CHC","17919",567,0.248588,0.772782,0.763723330000878,0.395491831509374,0.91164758455521,0.873134700675736,0.736310021522041,0.90665746870927,4.58696493697251,64
"66","Nathaniel Lowe","TEX","19566",549,0.267421,0.798153,0.60439301080737,0.395491831509374,0.745322259986045,0.993227562352153,0.936924228178573,0.906870117593322,4.58222901042684,65
"64","Cody Bellinger","","15998",557,0.256488,0.770567,0.551282904409534,0.791864491151286,1.02253113426799,0.513562940792884,0.801796353040866,0.804218672649594,4.48525649631215,66
"68","Josh Naylor","CLE","18839",517,0.283833,0.824356,0.33884247881819,0.527616051390011,1.07797290912437,0.79454902597462,0.934445324138443,0.76976862753092,4.44319441697656,67
"69","Lane Thomas","WSN","16939",595,0.248249,0.740621,0.86994354279655,0.659740271270648,0.523555160560493,0.46743937903022,0.967506066553877,0.935258715037032,4.42344313524882,68
"70","Josh Bell","MIA","13145",547,0.258156,0.786956,0.763723330000878,0.527616051390011,0.689880485129657,0.845403345197944,0.74527003433674,0.818611457380301,4.39050470343553,69
"71","Nolan Jones","COL","20529",524,0.264814,0.819441,0.657503117205206,0.527616051390011,0.800764034842433,0.899793993025269,0.661504368141247,0.806290693289688,4.35347225789385,70
