"","name","team","position","points"
"213","Elias Díaz","COL","C",-3.70359482837978
"214","Ramón Laureano","CLE","OF",-3.87617202822236
"215","J.D. Davis","SFG","3B",-3.87703223472921
"216","Ryan O'Hearn","BAL","DH",-3.93558988724105
"217","Jordan Westburg","BAL","SS",-3.94892838574434
"218","Wilyer Abreu","BOS",NA,-3.95024502141611
"219","Anthony Rendon","LAA","3B",-3.98154918242118
"220","Esteury Ruiz","OAK","OF",-4.02310875338525
"221","Alex Kirilloff","MIN","OF",-4.13580959900059
"222","Tyler Stephenson","CIN","C",-4.23605593648808
"223","Davis Schneider","TOR",NA,-4.25391600438919
"224","Chris Taylor","LAD","2B",-4.26612369347776
"225","Adam Duvall","","OF",-4.32480367220436
"226","Joey Gallo","WSN","OF",-4.52492634718281
"227","JJ Bleday","OAK","OF",-4.57035587762321
"228","Luke Raley","SEA","OF",-4.58109089559177
"229","Willi Castro","MIN","OF",-4.68338104880938
"230","Danny Jansen","TOR","C",-4.69987343674952
"231","Whit Merrifield","PHI","2B",-4.78081723560918
"232","Amed Rosario","TBR","SS",-4.80061027859615
"233","Brett Baty","NYM","3B",-4.82810898341318
"234","Jake Fraley","CIN","OF",-4.85625346294383
"235","Ryan Jeffers","MIN","C",-4.88036644192153
"236","Marco Luciano","SFG",NA,-5.0860516243772
"237","Jurickson Profar","SDP","OF",-5.13957458255835
"238","Will Benson","CIN","OF",-5.20690067893923
"239","Mark Vientos","NYM","DH",-5.41133533350613
"240","Harrison Bader","NYM","OF",-5.4127483399639
"241","Brice Turang","MIL",NA,-5.42920801627181
"242","Patrick Wisdom","CHC","3B",-5.51125097458249
"243","Michael Busch","CHC",NA,-5.57999786838027
"244","C.J. Cron","","1B",-5.61027178340392
"245","Mickey Moniak","LAA","OF",-5.79262588878261
"246","Kyle Manzardo","CLE","1B",-5.84902553558798
"247","Matt Vierling","DET","OF",-5.90158319907723
"248","Geraldo Perdomo","ARI","SS",-6.02397877299947
"249","Sean Bouchard","COL","OF",-6.0852099730179
"250","Liover Peguero","PIT","SS",-6.23447702784153
"251","Eddie Rosario","","OF",-6.42272091479104
"252","Jake Rogers","DET","C",-6.50665646590114
"253","Michael A. Taylor","","OF",-6.52679112929996
"254","Alejandro Kirk","TOR","C",-6.69172309333849
"255","Kevin Kiermaier","TOR","OF",-6.73003726783655
"256","Brayan Rocchio","CLE",NA,-6.75287880018421
"257","Trent Grisham","NYY","OF",-6.78930673233455
"258","Jason Heyward","LAD","OF",-6.81448452774473
"259","Dylan Carlson","STL","OF",-6.85414416740744
"260","Pete Crow-Armstrong","CHC","OF",-6.8921384998032
"261","Patrick Bailey","SFG",NA,-6.99053983544006
"262","Garrett Cooper","","1B",-6.99731007489352
"263","Kyle Isbel","KCR","OF",-7.02143016247874
"264","Yan Gomes","CHC","C",-7.02308943487679
"265","Myles Straw","CLE","OF",-7.08475892583647
"266","Austin Wells","NYY",NA,-7.11387230029962
"267","René Pinto","TBR","C",-7.14159381327583
"268","Jon Berti","MIA","2B",-7.23812692317565
"269","Brandon Belt","","1B",-7.23934437543575
"270","Robbie Grossman","","OF",-7.31113281221891
"271","Junior Caminero","TBR",NA,-7.36432382283134
"272","Dominic Fletcher","CHW",NA,-7.38999005479912
"273","Hunter Goodman","COL",NA,-7.39101335020756
"274","Connor Wong","BOS","C",-7.41579026907447
"275","Connor Joe","PIT","OF",-7.52240661694281
"276","Aaron Hicks","LAA","OF",-7.67738998732424
"277","Nick Senzel","WSN","OF",-7.70047267900925
"278","Travis d'Arnaud","ATL","C",-7.76356237216971
"279","Jake Meyers","HOU","OF",-7.82420662301808
"280","Joshua Palacios","PIT",NA,-7.86100594542639
"281","Cavan Biggio","TOR","2B",-7.92782983989101
"282","Stone Garrett","WSN","OF",-7.96235074911319
"283","Mike Tauchman","CHC","OF",-8.11238217022936
"284","Edward Olivares","PIT","OF",-8.14357755702949
"285","Zach McKinstry","DET","2B",-8.30389159394006
"286","Tyrone Taylor","NYM","OF",-8.34700857794137
"287","Ezequiel Duran","TEX","3B",-8.36319910520532
"288","Harold Ramírez","TBR","OF",-8.36971870050196
"289","Gio Urshela","DET","3B",-8.39493729253487
"290","Paul DeJong","CHW","SS",-8.45584996671339
"291","Luis Urías","SEA","SS",-8.49823781717424
"292","Enrique Hernández","LAD","OF",-8.53016120581404
"293","Mauricio Dubón","HOU","SS",-8.58489356050769
"294","Joey Votto","","1B",-8.66147601218148
"295","Garrett Mitchell","MIL","OF",-8.69240757730642
"296","Drew Waters","KCR","OF",-8.69630451313973
"297","Joey Ortiz","MIL",NA,-8.93684471888171
"298","Victor Robles","WSN","OF",-8.96608587032316
"299","Avisaíl García","MIA","OF",-9.07991920579355
"300","Jonny DeLuca","TBR",NA,-9.19546935169131
"301","Spencer Strider","ATL","P",12.8587326656241
"302","Gerrit Cole","NYY","P",12.611884015519
"303","Zack Wheeler","PHI","P",10.8954874037739
"304","Kevin Gausman","TOR","P",10.8164571923591
"305","Luis Castillo","SEA","P",10.5943389749163
"306","Pablo López","MIN","P",10.5174877803279
"307","Framber Valdez","HOU","P",10.5048281484719
"308","Zac Gallen","ARI","P",10.375257722129
"309","Corbin Burnes","MIL","P",10.3544062223077
"310","Aaron Nola","PHI","P",10.1275862841542
"311","Logan Webb","SFG","P",9.97853916832695
"312","George Kirby","SEA","P",9.95733715643589
"313","Logan Gilbert","SEA","P",9.76702003051665
"314","Yoshinobu Yamamoto","LAD",NA,8.88929475399986
"315","Chris Bassitt","TOR","P",8.71299525112867
"316","Zach Eflin","TBR","P",8.66017522315992
"317","Kodai Senga","NYM","P",8.47551370352863
"318","Max Fried","ATL","P",8.45176857137947
"319","Freddy Peralta","MIL","P",8.19647235532374
"320","Joe Ryan","MIN","P",7.95597966250168
"321","Tarik Skubal","DET","P",7.89036244677423
"322","Merrill Kelly","ARI","P",7.84527213506778
"323","Kyle Bradish","BAL","P",7.77484779980796
"324","Justin Steele","CHC","P",7.75157151849547
"325","Jesús Luzardo","MIA","P",7.61753325366879
"326","Tyler Glasnow","LAD","P",7.52932639080201
"327","Joe Musgrove","SDP","P",7.50622331907042
"328","Dylan Cease","CHW","P",7.27477437248377
"329","Mitch Keller","PIT","P",7.2098795573361
"330","Shane Bieber","CLE","P",7.1617281773391
"331","José Berríos","TOR","P",7.15488847242706
"332","Tanner Bibee","CLE","P",7.07668300908017
"333","Bobby Miller","LAD","P",6.93302839820322
"334","Blake Snell","","P",6.83855875773194
"335","Grayson Rodriguez","BAL","P",6.80246904462605
"336","Sonny Gray","STL","P",6.65236783228163
"337","Justin Verlander","HOU","P",6.57933629249271
"338","Jordan Montgomery","","P",6.21585856075445
"339","Eduardo Rodriguez","ARI","P",6.09452947733232
"340","Cole Ragans","KCR","P",6.00876742727447
"341","Yu Darvish","SDP","P",5.8164490633235
"342","Nick Pivetta","BOS","P",5.63360158860348
"343","Braxton Garrett","MIA","P",5.50317855497325
