playerid,Name,pr,adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
11281,Whit Merrifield,6.629884069,46,1.628714128,0.3902235269,0.9002732956,1.379507321,1.768689585,0.5624762128,,,,,,,2021
17027,Alex Verdugo,6.594994688,135,1.220115448,0.3488269593,0.6877434946,1.296250176,1.973498276,1.068560334,,,,,,,2021
17919,Ian Happ,6.524711165,137,1.329561523,1.507930852,1.21198367,1.295573796,0.04643468509,1.133226638,,,,,,,2021
18882,Brandon Lowe,6.454092737,70,1.169040613,1.487232568,1.346585878,1.149861613,0.2046959462,1.096676118,,,,,,,2021
13590,Jesse Winker,6.439210359,260,0.826109578,0.8662840542,0.7089964747,1.085610066,1.256667858,1.695542328,,,,,,,2021
14854,Mike Yastrzemski,6.410283933,103,1.475489623,1.093965176,1.219067997,1.346817238,0.3722666932,0.9026772053,,,,,,,2021
3516,Eric Hosmer,6.221877753,142,1.176337018,1.052568608,1.672464906,1.172957425,0.7818840748,0.3656657212,,,,,,,2021
18564,Trent Grisham,6.149683334,60,1.606824913,1.073266892,1.098634443,1.344557729,0.1209105727,0.9054887838,,,,,,,2021
15653,Dominic Smith,6.139314965,133,0.913666438,1.031870325,1.233236651,1.054802208,0.921526364,0.9842129804,,,,,,,2021
10681,Giovanny Urshela,6.11549112,149,1.045001728,0.7213960676,1.240320977,1.089006012,1.387000661,0.632765674,,,,,,,2021
9241,Starling Marte,6.112801504,52,1.446304003,0.5765080811,0.9782008893,1.136507353,1.452167063,0.5231141145,,,,,,,2021
10047,Wil Myers,6.077326953,122,1.169040613,1.487232568,1.424513471,1.101723151,0.03712519915,0.8576919501,,,,,,,2021
18015,Paul DeJong,6.060936718,199,1.329561523,1.363042865,1.474103758,1.205405955,0.1488390305,0.5399835852,,,,,,,2021
7304,Salvador Perez,5.996309414,82,0.636403048,1.54932742,1.389091838,0.796843726,0.7725745889,0.8520687932,,,,,,,2021
13419,Christian Walker,5.986939307,185,1.132558588,1.156060027,1.247405304,1.126799807,0.4467425808,0.8773729993,,,,,,,2021
18289,Brian Anderson,5.942231189,211,1.147151398,1.031870325,1.332417224,1.319294547,0.4281236089,0.6833740862,,,,,,,2021
19755,Shohei Ohtani,5.932226648,115,0.869888008,1.052568608,1.04195983,0.8520153418,0.763265103,1.352529757,,,,,,,2021
9847,Andrew McCutchen,5.878674094,154,1.366043548,1.093965176,1.027791176,1.160540897,0.3164097775,0.9139235191,,,,,,,2021
18360,Austin Riley,5.872341189,195,0.942852058,1.507930852,1.431597798,0.9671220095,0.232624404,0.7902140673,,,,,,,2021
14161,Byron Buxton,5.864845274,116,1.096076563,1.363042865,1.098634443,0.8353988946,0.5212184683,0.950474039,,,,,,,2021
9256,A.J. Pollock,5.862454993,176,0.986630488,1.321646298,1.204899344,0.8487831476,0.5584564121,0.9420393036,,,,,,,2021
2967,Tommy Pham,5.761172421,127,1.234708258,0.6593012163,0.8010927218,1.12290561,0.93083585,1.012328765,,,,,,,2021
11899,Joc Pederson,5.75099343,169,1.096076563,1.528629136,1.098634443,0.9740764589,-0.1583740057,1.211950835,,,,,,,2021
18314,Dansby Swanson,5.720350255,102,1.526564458,0.886982338,1.247405304,1.197256191,0.4374330948,0.4247088687,,,,,,,2021
17128,Ramon Laureano,5.720190984,141,1.358747143,1.238853163,1.162393384,1.129921006,0.1581485164,0.6721277724,,,,,,,2021
