"","Name","Team","PlayerId","IP","SO","QS","ERA","WHIP","SVHD","pr","rank","pos"
"53","Drew Rasmussen","TBR","25385",1.22244591666561,0.929868642647889,1.17232666651809,0.0983863326942596,0.208007217778342,-0.825896228817725,2.80513854748646,55,"SP"
"36","Kyle Wright","ATL","19665",1.44671051111727,1.2641283209756,1.46190921073828,-0.0986491010092425,-0.50839587415013,-0.825896228817725,2.73980683885405,56,"SP"
"72","Ryan Pressly","HOU","7005",-1.04058771825572,-0.824994668572578,-0.999542415133376,1.5910450101551,1.40709816254536,2.51822347068962,2.65124184142841,57,"SP"
"51","Patrick Sandoval","LAA","19447",1.07973208383273,1.13878094160271,1.17232666651809,0.349301511729192,-0.278494978724875,-0.825896228817725,2.63574999614012,58,"SP"
"47","Lucas Giolito","CHW","15474",1.2836089878797,1.43125816013945,1.17232666651809,-0.483559799671904,0.00723403761058395,-0.825896228817725,2.58497182365819,59,"SP"
"49","Chris Bassitt","TOR","12304",1.36515974949849,1.01343356222982,1.17232666651809,-0.387837056356845,0.170904056676529,-0.825896228817725,2.50809074974835,60,"SP"
"56","Joe Ryan","MIN","21390",1.07973208383273,1.2641283209756,1.02753539440799,-0.569224718508206,0.526331534521002,-0.825896228817725,2.50260638641139,61,"SP"
"44","Miles Mikolas","STL","9803",1.58942434395015,0.679173883902108,1.46190921073828,-0.44540943095938,-0.0168078860940163,-0.825896228817725,2.44239389271942,62,"SP"
"73","Félix Bautista","BAL","20666",-0.95903695663693,-0.511626220140351,-0.999542415133376,1.49803563530996,1.0510927538426,2.31554954950736,2.39447234674927,63,"SP"
"76","Raisel Iglesias","ATL","17130",-0.95903695663693,-0.720538519095169,-0.999542415133376,0.900421330124969,1.51598033624601,2.41688651009849,2.15417028560399,64,"SP"
"39","Merrill Kelly","ARI","11156",1.71175048637833,1.20145463128915,1.46190921073828,-0.826423487684023,-0.676226995395717,-0.825896228817725,2.0465676165083,65,"SP"
"81","Nathan Eovaldi","TEX","9132",0.85546748938107,0.574717734424699,0.882744122297892,-0.0872855954622501,0.584471378864343,-0.825896228817725,1.98421890068803,66,"SP"
"89","Jeffrey Springs","TBR","17677",0.570039823715317,0.595608964320181,0.737952850187794,0.253252348147074,0.545403252844366,-0.825896228817725,1.87636101039701,67,"SP"
"59","José Berríos","TOR","14168",1.2836089878797,0.992542332334334,1.02753539440799,-0.703016225469022,0.0965821483012439,-0.825896228817725,1.87135640863652,68,"SP"
"71","Drew Rucinski","OAK","12499",1.18167053585622,0.82541249317048,0.737952850187794,-0.361172600791461,0.190784878201488,-0.724559268226594,1.85008888839792,69,"SP"
"87","Devin Williams","MIL","15816",-0.979424647041627,-0.574299909826797,-0.999542415133376,1.55921903411684,0.684915762034051,2.1128756283251,1.80374345247419,70,"SP"
"57","Eduardo Rodriguez","DET","13164",1.14089515504682,0.846303723065962,1.17232666651809,-0.138125552056693,-0.391885013120138,-0.825896228817725,1.80361875063632,71,"SP"
"70","Jordan Romano","TOR","16122",-0.95903695663693,-0.699647289199687,-0.999542415133376,0.882162196436355,0.895629352964287,2.61956043128076,1.7391253197114,72,"SP"
"69","José Quintana","NYM","11423",0.91663056059516,0.720956343693071,1.02753539440799,0.15451021736172,-0.262544087036246,-0.825896228817725,1.73119220020397,73,"SP"
"58","Marcus Stroman","CHC","13431",1.32438436868909,0.70006511379759,1.17232666651809,-0.226748654563218,-0.474066781168079,-0.825896228817725,1.67006448445575,74,"SP"
"91","Grayson Rodriguez","BAL","sa3008130",0.529264442905924,0.679173883902108,0.737952850187794,0.0979783073604359,0.340584556668624,-0.825896228817725,1.55905781220716,75,"SP"
"256","Liam Hendriks","CHW","3548",-1.52989228796844,-1.24281926648221,-0.999542415133376,1.96143000693363,3.07382764060121,0.288810337684725,1.55181401563555,76,"SP"
"74","Luis Garcia","HOU","23735",0.896242870190463,0.950759872543371,0.882744122297892,-0.493025987416616,0.100743250480888,-0.825896228817725,1.51156789927827,77,"SP"
"80","Jesús Luzardo","MIA","19959",0.6719782757388,0.908977412752407,0.882744122297892,0.0671927959234322,-0.197353486221843,-0.825896228817725,1.50764289167296,78,"SP"
"64","Tyler Mahle","MIN","16358",1.07973208383273,1.05521602202078,1.02753539440799,-0.60945601642323,-0.243472368712884,-0.825896228817725,1.48365888630766,79,"SP"
"135","Alex Wood","SFG","13781",0.304999848454261,0.3449142055744,0.158787761747404,0.64114163174665,0.744211468093957,-0.724559268226594,1.46949564739008,80,"SP"
"107","Paul Sewald","SEA","13892",-0.938649266232234,-0.678756059304205,-0.999542415133376,0.700101292484185,1.40952547215015,1.91020170714283,1.40288073110735,81,"SP"
"120","Dustin May","LAD","19716",0.162286015621384,0.449370355051809,0.303579033857502,0.478951561551697,0.493505061770488,-0.52188534704433,1.36580668080855,82,"SP"
"82","Sean Manaea","SFG","15873",0.875855179785766,0.720956343693071,0.882744122297892,-0.325245970148277,0.0259589974189778,-0.825896228817725,1.3543724442297,83,"SP"
"66","Jameson Taillon","CHC","11674",1.32438436868909,0.846303723065962,1.02753539440799,-0.992551002350375,-0.0824608315950459,-0.825896228817725,1.2973154233999,84,"SP"
"79","David Bednar","PIT","19569",-0.95903695663693,-0.720538519095169,-0.999542415133376,0.707976181426984,0.705836859103919,2.51822347068962,1.25291862035505,85,"SP"
"62","Ranger Suárez","PHI","17277",1.24283360707031,0.762738803484035,1.17232666651809,-0.0544395560894364,-1.07014466840189,-0.825896228817725,1.22741862376338,86,"SP"
