,Unnamed: 0,Name,Team,playerid,IP,QS,SO,WHIP,ERA,SVHD,pr,rank,position,IDFANGRAPHS
48,48,Hyun Jin Ryu,TOR,14444,2.11337343090073,2.41055350734894,1.67778786478184,1.99947991502096,1.95455666962132,-0.674113734802185,9.4816376528716,53,SP,14444
49,57,Ian Anderson,ATL,19951,2.00635982289958,2.17972854683911,1.97420480881453,2.10838482261783,1.85102196437594,-0.674113734802185,9.4455862307448,55,SP,19951
50,98,Kyle Freeland,COL,16256,1.92074893649866,1.94890358632928,1.19081717101385,2.43664795641692,2.59440114803774,-0.674113734802185,9.41740506349427,56,SP,16256
51,127,Wade Miley,CHC,8779,2.07056798770027,2.17972854683911,1.16964453215437,2.42219612033771,2.18476608673441,-0.674113734802185,9.3527895389637,57,SP,8779
52,32,Chris Sale,BOS,10603,2.04916526610004,1.94890358632928,2.84228300205311,1.66416290884988,1.50801148589801,-0.674113734802185,9.33841251442814,58,SP,10603
53,49,Luis Garcia,HOU,23735,2.07056798770027,1.71807862581946,2.24944911398774,1.957156680789,1.85552572405411,-0.546207404235361,9.30457072811522,59,SP,23735
54,90,Nick Pivetta,BOS,15454,1.89934621489843,1.48725366530963,2.08006800311191,2.12558938937879,2.3024850465984,-0.674113734802185,9.22062858449498,60,SP,15454
55,85,Yusei Kikuchi,SEA,20633,1.92074893649866,1.71807862581946,1.86834161451714,2.04438383426706,2.04359651613234,-0.418301073668537,9.17684845356612,61,SP,20633
56,104,Zach Plesac,CLE,19979,2.11337343090073,1.94890358632928,1.36019828188967,2.05487861999125,2.35461477068945,-0.674113734802185,9.1578549549982,62,SP,19979
57,464,Jordan Lyles,BAL,7593,1.83513805009774,1.71807862581946,1.21198980987333,2.20817130983139,2.72733970957281,-0.674113734802185,9.02660377039253,63,SP,7593
58,86,Casey Mize,DET,20492,2.02776254449981,1.94890358632928,1.36019828188967,2.02287812581587,2.13993555936316,-0.674113734802185,8.82556436309561,64,SP,20492
59,103,Cole Irvin,OAK,19244,2.02776254449981,1.94890358632928,1.06378133785698,2.18494514470409,2.26997514915136,-0.674113734802185,8.82125402773934,65,SP,19244
60,119,Dylan Bundy,MIN,12917,1.83513805009774,1.71807862581946,1.59309730934393,1.97900648057542,2.30595345922412,-0.674113734802185,8.75716019025848,66,SP,12917
61,89,Brad Keller,KCR,15734,1.8779434932982,1.71807862581946,1.27550772645176,2.30864597971539,2.13056566853846,-0.674113734802185,8.63662775902107,67,SP,15734
62,94,Zack Greinke,,1943,1.94215165809889,2.17972854683911,1.21198980987333,1.8565099652374,2.08987652937702,-0.674113734802185,8.60614277462357,68,SP,1943
63,197,Taijuan Walker,NYM,11836,1.89934621489843,1.71807862581946,1.59309730934393,1.9697160145245,2.07579580946365,-0.674113734802185,8.58192023924778,69,SP,11836
64,99,JT Brubaker,PIT,17578,1.83513805009774,1.48725366530963,1.65661522592236,1.92808096296298,2.20635307277807,-0.546207404235361,8.56723357283542,71,SP,17578
65,51,Blake Snell,SDP,13543,1.79233260689728,1.71807862581946,2.44000286372303,1.75741166069427,1.49279188422694,-0.674113734802185,8.5265039065588,72,SP,13543
66,69,Steven Matz,STL,13361,1.92074893649866,1.71807862581946,1.63544258706288,1.96593100983709,1.91769831455396,-0.674113734802185,8.48378573896987,73,SP,13361
67,60,Brady Singer,KCR,25377,1.77092988529705,1.94890358632928,1.55075203162497,1.98520012460937,1.82591479835393,-0.674113734802185,8.40758669141242,74,SP,25377
68,125,Dallas Keuchel,CHW,9434,1.96355437969912,1.48725366530963,0.809709671543252,2.43423931707038,2.31185493742311,-0.674113734802185,8.33249823624331,75,SP,9434
69,83,Cal Quantrill,CLE,19312,1.85654077169797,1.94890358632928,1.31785300417072,1.95061894541984,1.86034008784802,-0.674113734802185,8.26014266066365,76,SP,19312
70,47,Ranger Suárez,PHI,17277,1.81373532849751,1.94890358632928,1.52957939276549,1.8296708410903,1.51246347822356,-0.546207404235361,8.08814522267079,78,SP,17277
71,75,Alex Wood,SFG,13781,1.79233260689728,1.94890358632928,1.76247842021975,1.68205565828128,1.56837221905606,-0.674113734802185,8.08002875598147,80,SP,13781
72,93,Josiah Gray,WSN,24580,1.64251355569567,1.71807862581946,1.6142699482034,1.72523912085128,2.03148295561863,-0.674113734802185,8.05747047138626,81,SP,24580
73,95,Triston McKenzie,CLE,18000,1.59970811249521,1.71807862581946,1.88951425337661,1.51517136069998,1.79801219529031,-0.674113734802185,7.84637081287938,82,SP,18000
74,45,Lance McCullers Jr.,HOU,14120,1.62111083409544,2.17972854683911,1.84716897565766,1.58398962774381,1.20682902833921,-0.674113734802185,7.76471327787304,83,SP,14120
75,36,Pablo López,MIA,17085,1.74952716369682,2.17972854683911,1.69896050364132,1.46631039109886,1.34163121456869,-0.674113734802185,7.76204408504261,84,SP,17085
76,63,Jameson Taillon,NYY,11674,1.68531899889613,1.71807862581946,1.52957939276549,1.60050601183433,1.83238571743177,-0.674113734802185,7.691755011945,85,SP,11674
77,59,Logan Gilbert,SEA,22250,1.72812444209659,1.48725366530963,1.84716897565766,1.52016068506066,1.71508089638876,-0.674113734802185,7.62367492971111,86,SP,22250
78,137,Kris Bubic,KCR,21455,1.59970811249521,1.71807862581946,1.25433508759228,1.9158657205627,1.790920067981,-0.674113734802185,7.60479387964847,87,SP,21455
79,53,Patrick Sandoval,LAA,19447,1.70672172049636,1.48725366530963,1.82599633679818,1.71956161382017,1.50231707710951,-0.674113734802185,7.56773667873166,88,SP,19447
80,78,Justin Verlander,HOU,8700,1.57830539089498,2.17972854683911,1.995377447674,1.14286453599284,1.21863198473718,-0.674113734802185,7.44079417133593,89,SP,8700
81,101,Andrew Heaney,LAD,15423,1.53549994769452,1.71807862581946,1.74130578136027,1.45117037234921,1.65213179559957,-0.674113734802185,7.42407278802084,90,SP,15423
82,118,Austin Gomber,COL,16561,1.49269450449406,1.71807862581946,1.23316244873281,1.72644344052455,1.91438520398611,-0.674113734802185,7.41065048875479,91,SP,16561
83,71,José Urquidy,HOU,18413,1.64251355569567,1.94890358632928,1.29668036531124,1.39043825168303,1.6788955169055,-0.674113734802185,7.28331754112254,92,SP,18413
84,73,Noah Syndergaard,LAA,11762,1.59970811249521,1.48725366530963,1.29668036531124,1.60945238655003,1.790920067981,-0.674113734802185,7.10990086284492,93,SP,11762
161,46,Michael Kopech,CHW,17282,1.36427817489268,1.02560374428997,2.03772272539296,1.23714556184289,1.09283731786405,0.221230579165582,6.97881810344812,94,RP,17282
85,160,José Quintana,PIT,11423,1.53549994769452,1.02560374428997,1.4237161984681,1.84309040316385,1.77005782487405,-0.674113734802185,6.92385438368831,95,SP,11423
86,56,Bailey Ober,MIN,21224,1.62111083409544,1.2564287047998,1.65661522592236,1.41779351283295,1.58545544542155,-0.674113734802185,6.86328998826991,96,SP,21224
87,70,Alex Cobb,SFG,6562,1.59970811249521,1.48725366530963,1.31785300417072,1.68016315593757,1.42212944789697,-0.674113734802185,6.8329936510079,97,SP,6562
88,162,Tyler Anderson,,12880,1.51409722609429,1.48725366530963,0.957918143559596,1.61289329990222,1.91868189425379,-0.674113734802185,6.81673049431734,98,SP,12880
89,26,Carlos Rodón,,16137,1.4498890612936,1.71807862581946,2.14358591969035,1.1421763533224,1.00980248425726,-0.674113734802185,6.78941870958087,99,SP,16137
90,109,Carlos Carrasco,NYM,6632,1.47129178289383,1.48725366530963,1.52957939276549,1.43224534891216,1.46219737882693,-0.674113734802185,6.70845383390585,100,SP,6632
91,123,Matt Manning,DET,20369,1.51409722609429,1.2564287047998,0.894400226981163,1.77306781644675,1.92556695215261,-0.674113734802185,6.68944719167242,101,SP,20369
92,67,Dane Dunning,TEX,19409,1.53549994769452,1.2564287047998,1.31785300417072,1.68171156694606,1.56195306733085,-0.674113734802185,6.67933255613975,102,SP,19409
93,102,Michael Pineda,,5372,1.57830539089498,1.48725366530963,1.08495397671646,1.49383769791639,1.6973764617918,-0.674113734802185,6.66761345782707,103,SP,5372
94,77,Huascar Ynoa,ATL,20468,1.42848633969337,1.48725366530963,1.50840675390602,1.41108373179618,1.3653924294225,-0.546207404235361,6.65441551589233,104,SP,20468
95,108,Ryan Yarbrough,TBR,16502,1.6639162772959,1.2564287047998,0.83088231040273,1.60325874251609,1.96905152835567,-0.674113734802185,6.649423828568,105,SP,16502
96,110,Adrian Houser,MIL,12718,1.57830539089498,1.2564287047998,0.894400226981163,1.89160728142975,1.68329574187843,-0.674113734802185,6.62992361118193,106,SP,12718
97,58,Joe Ryan,MIN,21390,1.53549994769452,1.2564287047998,1.69896050364132,1.19757505829268,1.51339529057077,-0.674113734802185,6.5277457701969,107,SP,21390
98,40,Clayton Kershaw,LAD,2036,1.38568089649291,2.17972854683911,1.52957939276549,1.0614869352135,0.974393615063336,-0.674113734802185,6.45675565157217,108,SP,2036
99,143,Corey Kluber,TBR,2429,1.42848633969337,1.48725366530963,1.38137092074915,1.45547151403945,1.33868047546919,-0.674113734802185,6.41714918045861,109,SP,2429
100,132,Luke Weaver,ARI,16918,1.36427817489268,1.2564287047998,1.21198980987333,1.45392310303097,1.72553790161854,-0.674113734802185,6.33804395941313,110,SP,16918
