"","Name","Team","PlayerId","AB","wAVG","wOPS","AVG","OPS","R","HR","RBI","RC","pr","rank"
"15","Mookie Betts","LAD","13611",563,1.75882547043236,1.95928066706911,1.1120457431672,1.99119670283631,2.64153804211434,1.75482119369768,1.35417078435415,2.05798240832546,10.9117548744951,13
"11","Manny Machado","SDP","11493",580,1.87459883621069,1.95746204641163,1.19293364312486,1.54735911818812,1.83331630561837,1.88759455009347,2.34346615753939,1.87704562923892,10.6817154038031,14
"16","Shohei Ohtani","LAA","19755",526,1.43437564783808,1.79373372446242,0.577232152223577,2.25951961633506,1.77558618158294,2.28591461928084,1.81972154820602,1.78895252756955,10.506926645198,15
"32","Fernando Tatis Jr.","SDP","19709",440,1.11401120243921,1.38655010034391,1.42430101872444,2.93165471578039,1.2560150652641,1.88759455009347,1.35417078435415,1.23862430204884,10.0923604362654,16
"22","Ronald Acuña Jr.","ATL","18401",535,1.58256142602082,1.78638801627878,1.03426692328479,1.97076743385462,2.35288742193721,1.62204783730189,0.946813865983754,1.79127839448732,9.71806187684958,17
"14","Matt Olson","ATL","14344",570,1.51118174500103,1.87135297018778,-0.135161729017869,1.42703992313195,1.66012593351209,2.41868797567663,2.40166000302087,1.82416438019248,9.59651648651615,18
"19","Julio Rodríguez","SEA","23697",561,1.81991498845381,1.88504436489974,1.43150372089876,1.71702445743712,1.83331630561837,1.62204783730189,1.23778309339118,1.70030291667728,9.5419783313246,19
"23","Corey Seager","TEX","13624",545,1.72977981119267,1.81227370029729,1.44528730923236,1.8155952463471,1.37147531333495,1.4892744809061,1.35417078435415,1.82273551164524,9.2985386458199,20
"18","Bo Bichette","TOR","19612",602,2.14502452769076,1.99486379410826,1.78619793948312,1.17348787446194,1.89104642965379,1.09095441171874,1.64514001176157,1.63747420108735,9.22430086816651,21
"20","Trea Turner","PHI","16252",607,2.24987001765499,2.00473061454205,2.09176869287858,1.09786312938697,2.23742717386635,0.692634342531368,1.23778309339118,1.68055152590841,9.03802795796286,22
"17","Kyle Schwarber","PHI","16478",523,1.07377615714165,1.62626925826616,-1.04995672315785,1.55463172966079,1.77558618158294,2.94978140125979,1.76152770272454,1.44235528545876,8.43392557752897,23
"21","Nolan Arenado","STL","9777",574,1.75566358337415,1.81437273779183,0.828601276307244,1.0818251985976,1.14055481719325,1.62204783730189,2.16888462109493,1.49131293005746,8.33322668055238,24
"24","Jose Altuve","HOU","5417",556,1.752616241952,1.77238145884517,1.26169613078906,1.34730155295191,2.1219669257955,1.09095441171874,0.714038484057816,1.62487701630956,8.16083452162259,25
"35","Eloy Jiménez","CHW","17484",513,1.49809248566009,1.53781976945013,1.22759988596386,1.40980435465377,0.56325357683898,1.4892744809061,1.5287523207986,1.19493402348278,7.41361864264409,26
"26","Bryan Reynolds","PIT","19326",561,1.7178465281372,1.77294116941998,0.98161983401062,1.22290344692659,1.42920543737038,0.958181055322947,1.12139540242821,1.65119370976789,7.36449888582663,27
"45","Vinnie Pasquantino","KCR","27676",508,1.52393654617302,1.55842624097733,1.4931153243899,1.65082460026109,0.447793328768126,0.825407698927157,1.12139540242821,1.47406908621765,7.01260544099212,28
"33","Alex Bregman","HOU","17678",530,1.45640919038768,1.60013838763175,0.577802150237371,1.24197886460788,1.42920543737038,0.692634342531368,1.47055847531712,1.53628816507787,6.94846743514198,29
"29","José Abreu","HOU","15676",560,1.76943856578556,1.69867315373414,1.23433622612689,0.920161467675335,1.08282469315782,0.692634342531368,1.47055847531712,1.46554261490474,6.86605781971327,30
"36","George Springer","TOR","12856",509,1.31267646286993,1.49025080735385,0.438411726863828,1.2910646527814,1.48693556140581,1.35650112451031,0.946813865983754,1.15096542322661,6.67069235477171,31
"28","Teoscar Hernández","SEA","13066",540,1.46451037077343,1.5745087702536,0.364052895064185,0.862969928767363,0.90963432105154,1.75482119369768,1.58694616628009,0.948397791214123,6.42682229607498,32
"41","Carlos Correa","MIN","14162",541,1.61447410008216,1.62713154583109,1.02483604705654,1.07807607191957,0.967364445086967,0.825407698927157,1.00500771146524,1.38433604191335,6.28502801636883,33
"40","Michael Harris II","ATL","25931",553,1.75929450819788,1.62627799738259,1.36875212138004,0.771220467563251,1.48693556140581,0.559860986135579,1.00500771146524,1.02289586708997,6.21467271503989,34
