"","Name","playerid","R","HR","RBI","RC","wba","wops","pr"
"60","Yoán Moncada","17232",1.19173305042264,0.278920314678155,0.632413481114998,1.18033615840438,1.04627950776026,1.07303146791878,3.78683429160414
"61","Byron Buxton","14161",1.19173305042264,1.49597195979175,0.787203596635108,0.801063254323144,0.574572933748729,0.807628940206312,3.64066229258232
"63","Cody Bellinger","15998",0.982844424821291,1.25256163076903,1.19997723802207,0.868972245241235,0.481751210594245,0.832422359876091,3.6010176667786
"64","Joey Votto","4314",1.03506658122163,1.49597195979175,1.35476735354218,1.49618045326851,0.670972028907461,1.09679050907531,3.55059838146188
"66","C.J. Cron","12546",0.669511486419274,1.49597195979175,1.56115417423566,1.39888446875343,0.755879212229537,1.03072749770317,3.31297829478786
"67","Whit Merrifield","11281",1.45284383242432,-0.573015836901362,0.374429955248148,0.90692945571512,1.99798709352768,1.34081939914142,3.41262393679243
"69","Jeimer Candelario","13621",0.669511486419274,0.400625479189514,0.684010186288368,1.0859700187811,0.995468162036199,1.06173774333527,3.28144338735465
"70","Franmil Reyes","14566",0.878400112020619,2.22620294685991,2.07712122596936,1.34691733110799,0.913156947779153,1.28028714635036,3.13949510791049
"71","Josh Donaldson","5038",0.826177955620282,1.37426679528039,0.787203596635108,1.0306390131239,0.152126455654107,0.614685682835702,3.53588647712109
"72","Jake Cronenworth","18036",1.1395108940223,0.0355099856554356,0.632413481114998,1.10134704834313,1.2495248906565,1.0956189170858,3.51685854154339
"74","Lourdes Gurriel Jr.","19238",0.460622860817929,0.765740972723593,1.04518712250196,0.616452465698953,0.935729215381181,0.801317120298893,2.9297805802463
"75","Eduardo Escobar","6153",0.512845017218265,0.887446137234952,1.1483805328487,0.541739137283735,0.758348548657248,0.824569527081576,3.3574492116294
"76","Starling Marte","9241",1.45284383242432,-0.0861951788559239,0.374429955248148,0.882641596593923,1.32474467722371,1.00893166474528,2.93988510483409
"77","Jonathan Schoop","11265",0.669511486419274,0.644035808212233,0.890397006981848,0.695410566760683,1.22198229203972,0.976401515991653,3.04370204737586
"78","Adam Duvall","10950",0.408400704417593,1.86108745332583,1.40636405871555,0.309348380071808,0.0648765685416389,0.501115144033309,3.38925646526285
"79","Trey Mancini","15149",0.930622268420955,0.887446137234952,0.993590417328588,1.18859474822693,1.22115917989715,1.20770121741504,3.063296797512
"80","Hunter Renfroe","15464",0.878400112020619,1.86108745332583,1.45796076388892,0.716551289647483,0.418814789846935,0.800947699401301,2.70041567864344
"81","Ty France","17982",0.669511486419274,0.278920314678155,0.787203596635108,1.04491217404885,1.1203596005916,0.949064369569888,3.16260157957999
"84","Jorge Soler","14221",0.72173364281961,1.61767712430311,1.19997723802207,1.04336258948752,0.447623714836901,0.910380724150671,2.7240752707989
"88","Enrique Hernández","10472",0.982844424821291,0.644035808212233,0.580816775941628,0.768395225375786,0.646753537020292,0.801823754672732,2.59049141683194
"89","Ian Happ","17919",0.565067173618601,1.13085646625767,0.735606891461738,0.715470768793071,0.266855625064696,0.639004132780006,2.59092521413291
"91","Ke'Bryan Hayes","18577",0.930622268420955,-0.207900343367283,0.322833250074778,0.793182587977638,1.2064697939682,0.98663975229633,2.41596762067555
"93","Miguel Sanó","12164",0.878400112020619,1.98279261783719,1.30317064836881,0.756150794767203,0.145794823788181,0.765472738349736,2.23263123078678
"98","Austin Hays","19363",0.617289330018938,0.522330643700874,0.632413481114998,0.416514815124192,0.775792194447876,0.689034277196674,2.12477223109401
"99","Michael Conforto","16376",0.826177955620282,0.765740972723593,0.993590417328588,1.18956179265095,0.645613843284425,0.889028196269886,1.87636674839008
"100","Andrew Benintendi","17901",0.460622860817929,0.0355099856554356,0.684010186288368,0.668256066747594,0.87374253941376,0.732003205027952,1.75887566677483
"101","DJ LeMahieu","9874",0.982844424821291,-0.573015836901362,0.116446429381298,0.737542499885346,1.3396873284273,0.831271877652163,2.56889703457096
"103","Max Kepler","12144",0.773955799219946,0.887446137234952,0.580816775941628,0.583578913257946,0.234912542301097,0.599233334433592,1.82576539317714
"104","Anthony Rizzo","3473",0.878400112020619,0.887446137234952,0.838800301808478,1.07700019427803,0.638680706391236,0.857395212553272,1.57857215994163
"105","Trent Grisham","18564",0.982844424821291,0.278920314678155,0.426026660421518,0.653615851396822,0.536266560959873,0.683735726036934,1.54389809576924
"106","Chris Taylor","13757",0.878400112020619,0.157215150166795,0.632413481114998,0.569707380623787,0.438062950719352,0.527460131472972,2.50799002894232
"107","Gleyber Torres","16997",0.460622860817929,0.400625479189514,0.580816775941628,0.670022948487637,0.85563407227721,0.753250184080853,1.50057231212666
"109","Mike Yastrzemski","14854",0.669511486419274,0.765740972723593,0.632413481114998,0.579058939549693,0.266412410834082,0.56562658763556,1.64458576906518
"110","Jean Segura","5933",0.878400112020619,-0.329605507878643,0.271236544901408,0.685840653756906,1.28631167179754,0.838871393259759,1.39368490549469
"111","Avisaíl García","5760",0.565067173618601,0.765740972723593,0.941993712155218,0.738584840284959,0.946872887465212,0.847948592457719,1.37286174921766
"112","Tyler Stephenson","17988",0.0428456096152393,-0.329605507878643,-0.0383436861388122,0.254568470731265,0.227884430929919,0.0997762808899793,1.5067822828449
"113","Mark Canha","11445",0.982844424821291,0.157215150166795,0.322833250074778,0.693120889941269,0.27432695066649,0.51800295649463,1.78640777832238
"118","Brendan Rodgers","17907",0.408400704417593,0.157215150166795,0.477623365594888,0.622251916163479,0.963904977184555,0.709394646095357,1.28505741762122
"120","Adolis García","19287",0.460622860817929,1.00915130174631,0.838800301808478,-0.0528233786246898,0.376234565548579,0.467445067938546,1.26525261002313
"121","Bobby Witt Jr.","sa3011225",0.512845017218265,0.400625479189514,0.684010186288368,0.365590295612372,0.671415243138076,0.638676931413568,1.05276314419205
"124","Tommy Edman","19470",1.08728873762196,-0.573015836901362,0.0132530190345578,0.452611796809435,1.34234661381099,0.871000456467425,1.10611482448011
"125","Akil Baddoo","22168",0.773955799219946,0.157215150166795,0.219639839728038,0.399544886829812,0.520754062888353,0.593787014914816,1.20296090990489
"126","Eddie Rosario","12155",0.147289922415912,0.644035808212233,0.838800301808478,0.194944433135455,0.455981468899924,0.378657393923143,0.964440151218941
"128","Daulton Varsho","19918",0.0428456096152393,0.0355099856554356,0.0132530190345578,-0.0659526654719075,-0.145555216522431,-0.0682680079829678,1.09482274235721
"129","Jesús Sánchez","19913",0.0428456096152393,0.644035808212233,0.632413481114998,0.405137056251406,0.397857088370718,0.466685116377787,1.06037164943284
