,Unnamed: 0,Name,Team,playerid,R,HR,RBI,RC,AVG,OPS,pr,position,IDFANGRAPHS,pr_pos,weighted_pr
4,152,C.J. Cron,COL,12546,1.12809155689874,1.81174053391886,1.72931197872278,1.57607194487897,1.14247433162632,1.91290183089814,9.30059217694382,1B,12546,1.185168253065241,10.48576043000906
212,73,Kyle Schwarber,,16478,1.51115327078677,2.31903433548356,1.58776707035014,1.60817305382506,0.0928663964235519,1.88546780438937,9.00446193125846,LF,16478,1.4448405144593015,10.44930244571776
132,53,Tim Anderson,CHW,15172,2.06833394553298,1.00007045141532,1.09235989104591,1.47281671828712,2.37462277729913,0.938993889836773,8.94719767341725,SS,15172,1.4760893917816886,10.423287065198938
328,25,Byron Buxton,MIN,14161,1.47632947861513,1.81174053391886,1.23390479941855,1.2043745921123,1.23374458686134,1.88546780438937,8.84556179531555,CF,14161,1.5600969015060009,10.40565869682155
5,60,Rhys Hoskins,PHI,16472,1.58080085513005,2.31903433548356,1.69392575162962,1.67230212815291,-0.0896741140464948,2.03635495018761,9.21274390653726,1B,16472,1.16151997471015,10.374263881247408
383,137,Franmil Reyes,CLE,14566,1.30221051775694,2.52195185610945,2.08317424965438,1.53089190858801,0.503582544981157,1.48767442001219,9.42948549710212,DH,14566,0.9274439257366244,10.356929422838743
6,51,Max Muncy,LAD,13301,1.40668189427185,1.9131992942318,1.58776707035014,1.50223517435429,0.32104203451111,2.14609105622269,8.87701652394189,1B,13301,1.071143982578511,9.9481605065204
7,126,Joey Votto,CIN,4314,1.44150568644349,1.81174053391886,1.6231532974433,1.67775388090618,0.549217672598669,1.73458065859113,8.83795172990163,1B,4314,1.0606279517099122,9.898579681611542
94,64,Justin Turner,LAD,5235,1.30221051775694,1.20298797204121,1.41083593488435,1.45596558389128,1.59882560780144,1.5699764995385,8.54080211591372,3B,5235,1.3311725751369632,9.871974691050683
8,100,Jared Walsh,LAA,18607,1.37185810210021,1.81174053391886,1.87085688709542,1.49874886625555,0.868663565921251,1.39165532723149,8.81352328252279,1B,18607,1.0540519460501085,9.867575228572898
48,49,Jorge Polanco,MIN,13152,1.75491981598824,1.50736425298003,1.58776707035014,1.54199584595937,1.14247433162632,1.0075789561087,8.54210027301281,2B,13152,1.25432540867209,9.7964256816849
214,69,Tyler O'Neill,STL,15711,1.44150568644349,2.01465805454474,1.55238084325698,1.28281510014262,0.59485280021618,1.43280636699465,8.31901885159866,LF,15711,1.260322951741809,9.57934180334047
9,144,Ryan Mountcastle,BAL,18373,1.33703430992858,2.01465805454474,1.76469820581594,1.45794788842985,0.914298693538762,1.07616402238063,8.5648011746385,1B,18373,0.9870973024004212,9.551898477038922
