,Unnamed: 0,Name,Team,playerid,R,HR,RBI,RC,AVG,OPS,pr,position,IDFANGRAPHS,pr_pos,weighted_pr
244,541,Raimel Tapia,COL,14350,0.919148803868914,-0.521810953278798,0.278476667903243,0.66521036709213,1.69009586303646,0.0336710150473303,3.06479176366928,LF,14350,-0.15408650835535778,2.910705255313922
71,167,Gavin Lux,LAD,19955,0.710206050839083,0.188400368911792,0.561566484648519,0.570650895347666,0.640487927833692,0.43146439942451,3.10277612700526,2B,19955,-0.20991117644282897,2.892864950562431
181,85,Adley Rutschman,BAL,sa3011643,0.292320544779421,0.289859129224734,0.349249122089562,0.443466245062274,0.457947417363645,0.623502584985906,2.45634504350554,C,sa3011643,0.39888569577769134,2.8552307392832312
151,89,J.P. Crawford,SEA,15491,1.33703430992858,-0.115975912027032,0.632338938834838,0.967261458748479,0.503582544981157,-0.350405356075464,2.97383598439056,SS,15491,-0.13190720603397438,2.8419287783565856
182,238,Travis d'Arnaud,ATL,7739,0.292320544779421,0.391317889537675,0.667725165927998,0.403750374502295,0.366677162128622,0.170841147591185,2.2926322844672,C,7739,0.3548151081827251,2.6474473926499247
183,197,Elias Díaz,COL,11680,0.222672960436144,0.289859129224734,0.313862894996403,0.26063600563591,0.731758183068716,0.445181412678895,2.2639705860408,C,11680,0.3470995342803554,2.6110701203211555
114,143,Brian Anderson,MIA,18289,0.466439505637613,0.492776649850617,0.667725165927998,0.661470100621891,0.184136651658575,0.321728293389426,2.79427636708612,3B,18289,-0.21576101677157097,2.5785153503145493
152,99,Miguel Rojas,MIA,7802,0.849501219525637,-0.217434672339974,0.420021576275881,0.696115590161643,1.14247433162632,-0.158367170514067,2.73231087473544,SS,7802,-0.1969244567599671,2.535386417975473
72,115,Adam Frazier,SEA,15223,1.09326776472711,-0.318893432652915,0.349249122089562,0.835958613217967,1.0512040763913,-0.226952236785994,2.78383390698702,2B,15223,-0.2957686937653185,2.488065213221702
246,351,Dominic Smith,NYM,15653,0.222672960436144,0.289859129224734,0.561566484648519,0.38005756947668,0.686123055451204,0.513766478950823,2.6540456781881,LF,15653,-0.2646571287872604,2.3893885494008393
30,234,LaMonte Wade Jr.,SFG,18126,0.640558466495806,0.492776649850617,0.561566484648519,0.584222695186407,0.0015961411885285,0.513766478950823,2.7944869163207,1B,18126,-0.566240027356035,2.228246888964665
73,209,Tommy La Stella,SFG,12371,0.466439505637613,-0.0145171517140906,0.243090440810084,0.424326585418064,1.00556894877379,0.376596346406968,2.50150467533242,2B,12371,-0.3717701930213397,2.1297344823110804
116,307,Hunter Dozier,KCR,15117,0.605734674324167,0.594235410163558,0.632338938834838,0.633874414992198,-0.272214624516542,0.211992187354342,2.40596100115256,3B,15117,-0.3202934090504071,2.0856675921021526
31,277,Carlos Santana,KCR,2396,0.710206050839083,0.594235410163558,0.773883847207476,0.785650104933268,-0.454755134986587,0.253143227117498,2.6623635052743,1B,2396,-0.6018069336501403,2.06055657162416
74,114,Abraham Toro,SEA,19844,0.570910882152529,0.289859129224734,0.596952711741679,0.548858404263409,0.229771779276087,0.198275174099956,2.43462808075839,2B,19844,-0.38977300988509794,2.044855070873292
117,232,Adalberto Mondesi,KCR,13769,0.919148803868914,0.492776649850617,0.596952711741679,0.397208422917218,0.0928663964235519,-0.144650157259681,2.3543028275423,3B,13769,-0.33419950945736293,2.0201033180849373
247,253,Ben Gamel,PIT,12160,0.675382258667444,0.188400368911792,0.420021576275881,0.773114412218072,0.0928663964235519,0.198275174099956,2.3480601865967,LF,12160,-0.3470267650280712,2.001033421568629
75,174,Josh Rojas,ARI,19734,1.05844397255547,-0.0145171517140906,0.420021576275881,0.704265035084181,0.275406906893599,-0.0760650909877536,2.36755524810728,2B,19734,-0.40782865297581766,1.9597265951314622
184,117,Carson Kelly,ARI,13620,0.222672960436144,0.391317889537675,0.455407803369041,0.350744578301891,-0.0896741140464948,0.390313359661353,1.72078247725961,C,13620,0.20087623886219397,1.921658716121804
354,239,Lane Thomas,WSN,16939,0.710206050839083,0.289859129224734,0.52618025755536,0.459851166375264,-0.0896741140464948,0.253143227117498,2.14956571706544,CF,16939,-0.24242895802681028,1.9071367590386297
355,171,Rafael Ortega,CHC,10323,0.710206050839083,0.0869416085988508,0.313862894996403,0.510601307607576,0.412312289746134,0.0885390680648723,2.12246321985292,CF,10323,-0.24972480341151215,1.872738416441408
249,402,Willie Calhoun,TEX,17838,0.292320544779421,0.391317889537675,0.384635349182722,0.413414193798381,0.503582544981157,0.253143227117498,2.23841374939685,LF,17838,-0.37654299176248424,1.8618707576343656
185,150,Omar Narváez,MIL,13338,0.292320544779421,0.0869416085988508,0.313862894996403,0.38531243439986,0.412312289746134,0.115973094573643,1.60672286709431,C,13338,0.17017200987989234,1.7768948769742021
154,181,Paul DeJong,STL,18015,0.570910882152529,0.797152930789441,0.738497620114317,0.47752762045946,-0.637295645456634,0.0748220548104868,2.0216154628696,SS,18015,-0.38823981046822065,1.6333756524013796
155,259,Didi Gregorius,PHI,6012,0.431615713465975,0.492776649850617,0.844656301393795,0.406838702676984,-0.0440389864289831,-0.144650157259681,1.98719822369871,SS,6012,-0.3975047447504802,1.5896934789482298
32,256,Darin Ruf,SFG,9929,0.048553999577951,0.289859129224734,0.172317986623765,0.204810435664999,0.366677162128622,1.18590012841571,2.26811884163578,1B,9929,-0.7079354607410583,1.5601833808947219
186,165,Gary Sánchez,NYY,11442,0.431615713465975,1.20298797204121,0.703111393021157,0.312664242189143,-1.59563332542438,0.376596346406968,1.43134234170007,C,11442,0.12296052280802666,1.5543028645080965
76,299,Luis García,WSN,20391,0.361968129122698,0.0869416085988508,0.313862894996403,0.284710691281685,1.00556894877379,-0.0074800247158261,2.0455722480576,2B,20391,-0.4945047318051792,1.551067516252421
305,223,Kole Calhoun,TEX,11200,0.501263297809252,0.797152930789441,0.596952711741679,0.437740156043021,-0.54602539022161,0.266860240371884,2.05394394653367,RF,11200,-0.5224683468385497,1.5314755996951201
187,80,Sean Murphy,OAK,19352,0.327144336951059,0.6956941704765,0.4907940304622,0.379268620933535,-0.774201028309169,0.225709200608727,1.34440933112285,C,19352,0.09955862743932013,1.44396795856217
356,103,Myles Straw,CLE,17620,1.19773914124202,-0.724728473904681,0.136931759530605,0.648572203433323,0.959933821156274,-0.473858475364931,1.74458997609261,CF,17620,-0.3514462329858117,1.3931437431067983
77,192,David Fletcher,LAA,17992,0.988796388212191,-0.724728473904681,0.313862894996403,0.744683409263333,1.27937971447886,-0.707047700689485,1.89494623235662,2B,17992,-0.5350524390090887,1.3598937933475312
188,122,Danny Jansen,TOR,16535,0.257496752607782,0.391317889537675,0.278476667903243,0.156900580958353,-0.363484879751565,0.527483492205208,1.2481905034607,C,16535,0.07365704042998585,1.3218475438906858
78,240,Nick Solak,TEX,19294,0.431615713465975,0.0869416085988508,0.313862894996403,0.384101816730248,0.640487927833692,-0.0349140512245972,1.82209591040057,2B,19294,-0.5546633509132348,1.2674325594873352
357,156,Aaron Hicks,NYY,5297,0.53608708998089,0.492776649850617,0.420021576275881,0.451904506010856,-0.682930773074145,0.417747386170124,1.63560643521422,CF,5297,-0.3807840116226366,1.2548224235915832
118,215,Carter Kieboom,WSN,19958,0.605734674324167,0.188400368911792,0.4907940304622,0.575254790886208,-0.0896741140464948,-0.0760650909877536,1.69444465955012,3B,19958,-0.5118297525952419,1.182614906954878
157,220,Kyle Farmer,CIN,14813,0.327144336951059,0.0869416085988508,0.455407803369041,0.325885320094376,0.549217672598669,-0.103499117496525,1.64109762411547,SS,14813,-0.4906731506841401,1.1504244734313298
119,177,Cavan Biggio,TOR,19252,0.745029843010721,0.289859129224734,0.4907940304622,0.57923852493861,-0.637295645456634,0.115973094573643,1.58359897675328,3B,19252,-0.5416688097458084,1.0419301670074717
250,230,Manuel Margot,TBR,14712,0.466439505637613,-0.0145171517140906,0.349249122089562,0.300647263536023,0.549217672598669,-0.0623480777333682,1.58868833441441,LF,14712,-0.551445552698212,1.037242781716198
189,194,Austin Nola,SDP,15941,-0.0559173769369645,-0.217434672339974,0.136931759530605,0.129829610412116,0.777393310686227,0.225709200608727,0.996511831960738,C,15941,0.0059065058761930845,1.0024183378369311
190,142,Christian Vázquez,BOS,9774,0.327144336951059,-0.115975912027032,0.313862894996403,0.269968498782152,0.549217672598669,-0.364122369329849,0.980095121971402,C,9774,0.0014872165070807322,0.9815823384784828
251,319,Corey Dickerson,,10762,0.118201583921228,-0.115975912027032,0.0661593053442865,0.114835335355604,1.0512040763913,0.30801128013504,1.54243566912042,LF,10762,-0.563896519558175,0.978539149562245
306,408,Seth Brown,OAK,18171,0.501263297809252,0.898611691102383,0.703111393021157,0.288473087767676,-0.774201028309169,-0.0211970379702117,1.59606140342109,RF,18171,-0.6457278462384901,0.9503335571825999
360,184,Riley Greene,DET,sa3010694,0.187849168264505,-0.0145171517140906,0.136931759530605,0.171141120895841,0.549217672598669,0.362879333152582,1.39350190272811,CF,sa3010694,-0.44595723983491486,0.947544662893195
308,163,Julio Rodríguez,SEA,sa3005720,-0.090741169108603,-0.217434672339974,-0.18154428430783,-0.0744908804992236,1.27937971447886,0.829257783801689,1.54442649202491,RF,sa3005720,-0.6596276845834707,0.8847988074414394
362,175,Lorenzo Cain,MIL,9077,0.361968129122698,-0.318893432652915,0.101545532437446,0.272927056334044,0.914298693538762,-0.0074800247158261,1.32436595406421,CF,9077,-0.46456826257652006,0.85979769148769
33,629,Miguel Cabrera,DET,1744,0.187849168264505,0.188400368911792,0.667725165927998,0.419398467628831,0.412312289746134,-0.172084183768452,1.70360127671081,1B,1744,-0.8599005301715759,0.8437007465392341
79,241,Leury García,CHW,5913,0.675382258667444,-0.318893432652915,0.243090440810084,0.405550075523875,0.914298693538762,-0.432707435601775,1.48672060028548,2B,5913,-0.6449445670410179,0.8417760332444622
158,141,Isiah Kiner-Falefa,TEX,16512,0.640558466495806,-0.521810953278798,0.207704213716924,0.49967028742528,1.09683920400881,-0.556160554891244,1.36680066347678,SS,16512,-0.5645124061085105,0.8022882573682695
363,320,Sam Hilliard,COL,17954,0.292320544779421,0.6956941704765,0.384635349182722,0.200906977428505,-0.637295645456634,0.335445306643811,1.27170670305432,CF,17954,-0.47874384759474814,0.792962855459572
253,266,Odúbel Herrera,,11476,0.153025376092867,-0.115975912027032,0.101545532437446,0.150414394624408,0.868663565921251,0.225709200608727,1.38338215765767,LF,11476,-0.606712862953649,0.7766692947040209
80,193,Josh Harrison,,8202,0.257496752607782,-0.318893432652915,0.207704213716924,0.310684428863464,1.0512040763913,-0.0760650909877536,1.4321309479388,2B,8202,-0.659639805638516,0.772491142300284
159,123,Nicky Lopez,KCR,19339,0.884325011697275,-0.826187234217623,0.136931759530605,0.526717670695268,1.09683920400881,-0.542443541636859,1.27618287007748,SS,19339,-0.588906225045562,0.687276645031918
81,268,Jed Lowrie,,4418,0.222672960436144,0.0869416085988508,0.420021576275881,0.313009125029682,0.184136651658575,0.129690107828029,1.35647202982716,2B,4418,-0.6800067764083295,0.6764652534188305
310,246,Chad Pinder,OAK,15191,0.292320544779421,0.391317889537675,0.384635349182722,0.287082995770036,-0.0440389864289831,0.0199540017929448,1.33127179463382,RF,15191,-0.7170077740635618,0.6142640205702582
121,211,Joey Wendle,MIA,13853,0.605734674324167,-0.217434672339974,0.278476667903243,0.349954702687181,0.549217672598669,-0.336688342821078,1.22926070235221,3B,13853,-0.6370547531015395,0.5922059492506705
191,120,Mike Zunino,TBR,13265,0.292320544779421,1.20298797204121,0.632338938834838,0.115533461505394,-1.82380896351194,0.253143227117498,0.672515180766422,C,13265,-0.08131163692959077,0.5912035438368313
122,255,J.D. Davis,NYM,16219,-0.090741169108603,-0.0145171517140906,-0.0753856030283515,0.0779797804717733,0.59485280021618,0.692087651257834,1.18427630809474,3B,16219,-0.6491643082710669,0.5351119998236732
34,295,Ji-Man Choi,TBR,5452,0.327144336951059,0.289859129224734,0.4907940304622,0.401709326335034,-0.454755134986587,0.404030372915739,1.45878206090218,1B,5452,-0.9258045364237605,0.5329775244784195
82,162,Nico Hoerner,CHC,21479,0.257496752607782,-0.62326971359174,0.136931759530605,0.306901570555448,1.32501484209637,-0.185801197022838,1.21727401417563,2B,21479,-0.7174781279257736,0.4997958862498564
123,224,Jonathan Villar,,10071,0.53608708998089,0.188400368911792,0.136931759530605,0.286171078286876,0.138501524041064,-0.144650157259681,1.14144166349155,3B,10071,-0.660695162482876,0.4807465010086741
162,237,José Iglesias,,10231,0.187849168264505,-0.420352192965857,0.136931759530605,0.152693364897969,1.32501484209637,-0.281820289803536,1.10031665202005,SS,10231,-0.636248457950453,0.464068194069597
365,303,Jarren Duran,BOS,24617,0.361968129122698,-0.115975912027032,0.030773078251127,0.149046528483277,0.503582544981157,-0.0074800247158261,0.9219143440954,CF,24617,-0.5729060551471771,0.3490082889482229
83,617,Michael Chavis,PIT,17321,0.361968129122698,0.391317889537675,0.455407803369041,0.220786039242026,-0.135309241664006,-0.226952236785994,1.06721838282144,2B,17321,-0.7578722907543656,0.30934609206707453
192,180,Yan Gomes,CHC,9627,-0.0559173769369645,0.0869416085988508,0.101545532437446,-0.0363597146699876,0.229771779276087,0.102256081319258,0.428237910024689,C,9627,-0.14706975450649667,0.2811681555181923
84,346,Garrett Hampson,COL,19262,0.570910882152529,-0.0145171517140906,0.030773078251127,0.265074381659181,0.32104203451111,-0.130933144005296,1.04235008085456,2B,19262,-0.7645667028857549,0.27778337796880515
85,375,Robinson Canó,NYM,3269,-0.090741169108603,-0.115975912027032,0.0661593053442865,-0.0047264569895256,0.868663565921251,0.266860240371884,0.99023957351226,2B,3269,-0.7785945690822382,0.21164500443002177
35,328,Bobby Bradley,CLE,17278,0.396791921294336,1.00007045141532,0.773883847207476,0.328892881103261,-1.36745768733682,0.0611050415561013,1.19328645523968,1B,17278,-0.9972745147819387,0.19601194045774128
86,154,Edmundo Sosa,STL,17022,0.187849168264505,-0.318893432652915,0.030773078251127,0.1713432872798,0.914298693538762,-0.0486310644789827,0.936739730202296,2B,17022,-0.7929964369925859,0.14374329320971002
124,213,Aledmys Díaz,HOU,15937,-0.021093584765326,-0.0145171517140906,0.207704213716924,0.0402852205879177,0.503582544981157,0.102256081319258,0.81821732412584,3B,15937,-0.7477054031294564,0.07051192099638359
36,258,Brad Miller,,12775,0.048553999577951,0.391317889537675,0.136931759530605,0.0452470515337786,-0.363484879751565,0.760672717529761,1.01923853795821,1B,12775,-1.044127270971077,-0.02488873301286687
164,225,Nick Ahmed,ARI,12147,0.570910882152529,-0.0145171517140906,0.52618025755536,0.416169345953792,-0.180944369281518,-0.638462634417557,0.679336330248514,SS,12147,-0.7495740793337237,-0.07023774908520963
193,134,Max Stassi,LAA,10059,0.187849168264505,0.391317889537675,0.243090440810084,0.134803978935652,-0.774201028309169,-0.11721613075091,0.0656443184878374,C,10059,-0.2446779845006899,-0.17903366601285248
125,212,Santiago Espinal,TOR,19997,0.327144336951059,-0.62326971359174,0.0661593053442865,0.195417762759121,1.0512040763913,-0.432707435601775,0.58394833225225,3B,19997,-0.8107693462686202,-0.22682101401637023
367,217,Michael A. Taylor,KCR,11489,0.396791921294336,0.188400368911792,0.384635349182722,0.262619905022641,-0.22657949689903,-0.542443541636859,0.463424505875603,CF,11489,-0.696329035099127,-0.232904529223524
254,366,Clint Frazier,CHC,15983,0.153025376092867,0.188400368911792,0.136931759530605,0.223221600103205,-0.409120007369075,0.294294266880655,0.586753364150048,LF,15983,-0.8211610173380486,-0.2344076531880006
255,206,Chas McCormick,HOU,19599,0.118201583921228,0.0869416085988508,0.172317986623765,-0.0102871206120434,0.0472312688060402,0.1571241343368,0.57152946167464,LF,19599,-0.8252592093880803,-0.25372974771344026
194,208,Yadier Molina,STL,7007,0.048553999577951,-0.115975912027032,0.384635349182722,0.0789378952565169,0.32104203451111,-0.734481727198256,-0.0172883606969878,C,7007,-0.2670030123358394,-0.2842913730328272
87,161,Andrés Giménez,CLE,19950,0.327144336951059,0.0869416085988508,0.101545532437446,0.166147940989278,0.138501524041064,-0.24066925004038,0.579611692977318,2B,19950,-0.8891333693831508,-0.30952167640583284
195,187,James McCann,NYM,12859,0.0833777917495895,0.188400368911792,0.278476667903243,0.111187678900459,-0.22657949689903,-0.473858475364931,-0.038995464798877,C,12859,-0.2728464471320933,-0.3118419119309703
368,313,Nick Senzel,CIN,19293,0.0137302074063125,-0.420352192965857,-0.216930511400989,-0.0948928162086715,0.823028438303739,0.294294266880655,0.398877392015188,CF,19293,-0.7137047683779333,-0.31482737636274527
88,188,Tony Kemp,OAK,14894,0.396791921294336,-0.420352192965857,-0.0753856030283515,0.300469507273753,0.366677162128622,-0.0897821042421391,0.478418690460364,2B,14894,-0.9163739773089916,-0.4379552868486276
397,406,Seth Beer,ARI,20493,-0.125564961280242,-0.0145171517140906,-0.039999375935192,-0.0391528645425312,0.457947417363645,0.596068558477135,0.834781622368725,DH,20493,-1.3862037837588121,-0.5514221613900872
196,102,Jacob Stallings,MIA,13723,0.048553999577951,-0.217434672339974,0.172317986623765,0.182657984384714,0.0015961411885285,-0.460141462110546,-0.272450022675561,C,13723,-0.3356911490526018,-0.6081411717281628
166,228,Jose Barrero,CIN,23378,-0.16038875345188,-0.217434672339974,-0.110771830121511,-0.145434243025077,0.59485280021618,0.280577253626269,0.241400554904008,SS,23378,-0.8674640169394395,-0.6260634620354315
369,250,Alek Thomas,ARI,sa3006892,-0.230036337795157,-0.521810953278798,-0.393861646866787,-0.261336840375187,1.09683920400881,0.417747386170124,0.107540811863004,CF,sa3006892,-0.7921309970398537,-0.6845901851768497
258,400,Justin Upton,LAA,5222,0.187849168264505,0.492776649850617,0.207704213716924,0.0193264034286516,-0.956741538779216,0.1571241343368,0.108039030818282,LF,5222,-0.9500283217802312,-0.8419892909619492
37,436,Keston Hiura,MIL,20003,0.048553999577951,0.391317889537675,0.101545532437446,0.0001713153036118,-0.54602539022161,0.349162319898197,0.34472566653327,1B,20003,-1.2257024808611223,-0.8809768143278522
315,257,Jason Heyward,CHC,4940,0.0833777917495895,-0.0145171517140906,0.0661593053442865,0.136520609481706,-0.0440389864289831,-0.11721613075091,0.110285437681598,RF,4940,-1.0456906849887873,-0.9354052473071892
197,290,Eric Haase,DET,14111,-0.021093584765326,0.492776649850617,0.207704213716924,-0.122989288498338,-1.04801179401424,-0.199518210277223,-0.691132013987585,C,14111,-0.4483980723305258,-1.1395300863181108
198,275,Luis Torrens,SEA,15905,-0.264860129966796,-0.0145171517140906,-0.039999375935192,-0.157617950348433,-0.180944369281518,-0.0349140512245972,-0.692853028470626,C,15905,-0.44886136010340666,-1.1417143885740326
38,454,Matt Beaty,LAD,17710,-0.125564961280242,-0.318893432652915,-0.039999375935192,-0.161680419161407,0.549217672598669,0.211992187354342,0.115071670923255,1B,17710,-1.2875240920141962,-1.172452421090941
260,340,Kevin Pillar,,12434,-0.0559173769369645,-0.0145171517140906,0.030773078251127,-0.161328802822286,0.184136651658575,-0.158367170514067,-0.175220772077706,LF,12434,-1.0262803257717894,-1.2015010978494953
39,501,Jurickson Profar,SDP,10815,0.431615713465975,-0.115975912027032,0.243090440810084,0.266989434667039,-0.363484879751565,-0.377839382584234,0.0843954145802657,1B,10815,-1.2957819739910845,-1.2113865594108189
167,445,Alcides Escobar,WSN,6310,0.327144336951059,-0.521810953278798,0.136931759530605,0.101612808708421,0.503582544981157,-0.803066793470183,-0.255606296577738,SS,6310,-1.0012555681428195,-1.2568618647205574
89,293,Rougned Odor,BAL,12282,0.118201583921228,0.6956941704765,0.349249122089562,0.0072835865720711,-1.36745768733682,-0.11721613075091,-0.31424535502837,2B,12282,-1.1297548430111604,-1.4440001980395303
372,245,Victor Robles,WSN,18363,0.361968129122698,-0.217434672339974,0.030773078251127,0.137291517762765,-0.363484879751565,-0.528726528382473,-0.579613355337422,CF,18363,-0.9771091752511217,-1.5567225305885437
261,361,Trevor Larnach,MIN,21501,0.0833777917495895,-0.0145171517140906,0.101545532437446,0.0749750958405567,-0.454755134986587,-0.295537303057922,-0.504911169731007,LF,21501,-1.11503119427066,-1.619942364001667
199,616,Jorge Alfaro,SDP,12180,-0.16038875345188,-0.115975912027032,0.101545532437446,-0.112745447937872,-0.135309241664006,-0.693330687435099,-1.11620451007844,C,12180,-0.5628252848655965,-1.6790297949440363
318,592,Stephen Piscotty,OAK,13367,0.118201583921228,0.289859129224734,0.313862894996403,0.116422129766643,-0.682930773074145,-0.638462634417557,-0.483047669582695,RF,13367,-1.205412742269373,-1.688460411852068
200,207,Francisco Mejía,TBR,16403,-0.334507714310073,-0.318893432652915,-0.216930511400989,-0.281327674470053,0.0472312688060402,-0.158367170514067,-1.26279523454206,C,16403,-0.6022867135351273,-1.8650819480771874
40,341,Triston Casas,BOS,sa3007634,-0.369331506481711,-0.318893432652915,-0.358475419773627,-0.378047344014476,0.32104203451111,0.596068558477135,-0.507637109934484,1B,sa3007634,-1.4551539214431821,-1.962791031377666
201,248,Joey Bart,SFG,21524,-0.021093584765326,-0.318893432652915,0.030773078251127,-0.111603323169482,-0.180944369281518,-0.84421783323334,-1.44597946485145,C,21524,-0.651598915682889,-2.0975783805343386
373,203,Kevin Kiermaier,TBR,11038,0.327144336951059,-0.420352192965857,0.136931759530605,0.0634182742769633,-0.409120007369075,-0.72076471394387,-1.02274254352017,CF,11038,-1.0963971514504636,-2.1191396949706336
202,173,Jonah Heim,TEX,16930,-0.299683922138434,-0.115975912027032,-0.039999375935192,-0.218390844897682,-0.272214624516542,-0.528726528382473,-1.47499120789736,C,16930,-0.6594087196999847,-2.134399927597345
263,347,Orlando Arcia,ATL,13185,-0.369331506481711,-0.318893432652915,-0.323089192680468,-0.334734827598955,0.412312289746134,-0.130933144005296,-1.06466981367321,LF,13185,-1.265715187960591,-2.3303850016338012
90,287,Christian Arroyo,BOS,16434,-0.369331506481711,-0.318893432652915,-0.393861646866787,-0.42355432557717,0.275406906893599,0.129690107828029,-1.10054389685696,2B,16434,-1.341422149621855,-2.4419660464788153
375,302,Nick Gordon,MIN,16337,-0.230036337795157,-0.521810953278798,-0.323089192680468,-0.344080078291024,0.366677162128622,-0.515009515128088,-1.56734891504491,CF,16337,-1.2430022355138073,-2.8103511505587173
168,261,Elvis Andrus,OAK,8709,0.0833777917495895,-0.521810953278798,-0.14615805721467,-0.0637012843744291,0.138501524041064,-1.00882199228597,-1.51861297136321,SS,8709,-1.341250120926117,-2.859863092289327
265,447,Miguel Andújar,NYY,15878,-0.717569428198096,-0.521810953278798,-0.676951463612063,-0.69759703961234,0.823028438303739,0.266860240371884,-1.52404020602567,LF,15878,-1.3893752083134454,-2.9134154143391156
266,300,Brett Gardner,,9927,-0.021093584765326,-0.318893432652915,-0.216930511400989,-0.0959795831265645,-0.682930773074145,-0.226952236785994,-1.56278012180593,LF,9927,-1.3998037837149249,-2.962583905520855
203,201,Tucker Barnhart,DET,10200,-0.125564961280242,-0.217434672339974,0.0661593053442865,-0.0691054738468365,-0.81983615592668,-0.967670952522809,-2.13345291057226,C,10200,-0.8366630419417157,-2.9701159525139755
204,214,Ryan Jeffers,MIN,24618,-0.40415529865335,-0.0145171517140906,-0.252316738494149,-0.343559967923447,-1.00237666639673,-0.158367170514067,-2.17529299369583,C,24618,-0.8479261655926105,-3.0232191592884403
41,337,Nick Pratto,KCR,sa3004138,-0.40415529865335,-0.217434672339974,-0.323089192680468,-0.393202218497853,-0.454755134986587,0.445181412678895,-1.34745510447934,1B,sa3004138,-1.6812283747101402,-3.02868347918948
376,333,Jorge Mateo,BAL,17273,-0.0559173769369645,-0.420352192965857,-0.216930511400989,-0.197737309745744,-0.22657949689903,-0.816783806724569,-1.93430069467315,CF,17273,-1.3417836661257474,-3.2760843607988974
320,273,Vidal Bruján,TBR,20536,-0.195212545623519,-0.62326971359174,-0.429247873959946,-0.401264854492703,0.229771779276087,-0.364122369329849,-1.78334557772167,RF,20536,-1.5554458929950887,-3.3387914707167585
205,345,MJ Melendez,KCR,sa3004139,-0.926512181227927,-0.724728473904681,-0.85388259907786,-0.881097876274414,-0.0440389864289831,0.637219598240292,-2.79304051867357,C,sa3004139,-1.0142204518231013,-3.807260970496671
377,311,Brennen Davis,CHC,sa3007876,-0.647921843854819,-0.521810953278798,-0.676951463612063,-0.667024528488249,-0.272214624516542,0.349162319898197,-2.43676109385227,CF,sa3007876,-1.4770432828171949,-3.9138043766694652
206,279,Kyle Higashioka,NYY,5517,-0.508626675168265,-0.0145171517140906,-0.216930511400989,-0.517088393473425,-1.23055230448429,-0.39155639583862,-2.87927143207968,C,5517,-1.0374333464379184,-3.9167047785175986
127,395,Josh Jung,TEX,sa3011468,-0.996159765571204,-0.826187234217623,-0.924655053264179,-0.924607732477155,0.686123055451204,0.321728293389426,-2.66375843668953,3B,sa3011468,-1.6850344095670409,-4.348792846256571
207,210,Martín Maldonado,HOU,6887,0.0833777917495895,0.0869416085988508,0.101545532437446,-0.0790572055413331,-2.14325485683452,-1.26944524411929,-3.21989237370926,C,6887,-1.1291266581440067,-4.349019031853267
208,331,Jose Trevino,TEX,16725,-0.438979090824988,-0.521810953278798,-0.287702965587308,-0.468396281299907,-0.363484879751565,-1.32431329713683,-3.4046874678794,C,16725,-1.1788724961140207,-4.583559963993421
322,387,Jose Siri,HOU,17452,-0.40415529865335,-0.318893432652915,-0.393861646866787,-0.534219241943135,-0.682930773074145,-0.56987756814563,-2.90393796133596,RF,17452,-1.8571032903196312,-4.761041251655591
92,294,Dylan Moore,SEA,18042,-0.0559173769369645,-0.115975912027032,-0.18154428430783,-0.310331407717764,-1.54999819780687,-0.72076471394387,-2.93453189274033,2B,18042,-1.835121779971168,-4.769653672711498
209,264,Austin Barnes,LAD,12158,-0.473802882996627,-0.521810953278798,-0.500020328146265,-0.578716754863053,-0.81983615592668,-0.665896660926328,-3.56008373613775,C,12158,-1.2207043294569957,-4.780788065594746
42,464,Jace Peterson,MIL,12325,-0.473802882996627,-0.62326971359174,-0.535406555239425,-0.513488261578071,-0.363484879751565,-0.281820289803536,-2.79127258296096,1B,12325,-2.069896216058205,-4.861168799019165
378,355,Jackie Bradley Jr.,BOS,12984,-0.230036337795157,-0.420352192965857,-0.323089192680468,-0.371502025189236,-1.18491717686677,-0.899085886250882,-3.42898281174837,CF,12984,-1.7441439925543463,-5.173126804302716
379,398,Cristian Pache,ATL,19948,-0.473802882996627,-0.62326971359174,-0.570792782332584,-0.623319332355978,-0.363484879751565,-0.789349780215798,-3.44401937124429,CF,19948,-1.7481917528894872,-5.192211124133777
43,627,Albert Pujols,,1177,-0.822040804713012,-0.420352192965857,-0.570792782332584,-0.726555930297761,-0.363484879751565,-0.39155639583862,-3.2947829858994,1B,1177,-2.205438488071827,-5.5002214739712265
128,339,Tyler Wade,LAA,15730,-0.0559173769369645,-0.724728473904681,-0.570792782332584,-0.4844619282548,-0.637295645456634,-1.20086017784736,-3.67405638473303,3B,15730,-1.9570011425071323,-5.631057527240163
268,545,Drew Waters,ATL,sa3004378,-0.717569428198096,-0.826187234217623,-0.818496371984701,-0.77713240586565,-0.272214624516542,-0.652179647671943,-4.06377971245455,LF,sa3004378,-2.0730593209259376,-6.136839033380488
170,438,CJ Abrams,SDP,sa3010152,-1.03098355774284,-1.02910475484351,-1.06619996163682,-1.04476581182764,-0.22657949689903,-0.981387965777195,-5.37902154872703,SS,sa3010152,-2.3804511909003163,-7.759472739627347
171,524,Jeter Downs,BOS,sa3004615,-1.27475010294431,-1.02910475484351,-1.27851732419577,-1.21688287104238,-0.54602539022161,-0.816783806724569,-6.16206424997215,SS,sa3004615,-2.5912420428689176,-8.753306292841067
