playerid,Name,Player Rater,ADP,R,HR,RBI,RC,AVG,OPS,IP,K/9,W,ERA,WHIP,SVHD,Year
6941,Joakim Soria,0.525307115765726,599.5,,,,,,,-0.99438688115319,0.325428766403468,-1.11958920165917,0.559679588773707,0.643995956966481,1.11017888643443,2020
4301,Justin Wilson,0.499387769647857,599.5,,,,,,,-1.04652247621104,1.0646398094993,-1.11958920165917,0.793182758714163,-0.302502007129826,1.11017888643443,2020
12718,Adrian Houser,0.453880660271021,230.5,,,,,,,0.882494540929366,-0.402321640365298,1.05926650760426,-0.086944574138323,-0.302502007129826,-0.696112166629158,2020
14107,Kevin Gausman,0.382591236753587,384.2,,,,,,,0.621816565640122,-0.413782276692365,0.332981271183114,0.272291071923916,0.265396771327958,-0.696112166629158,2020
10756,Shane Greene,0.307977319907971,564.9,,,,,,,-0.942251286095341,-0.0355812778991482,-1.11958920165917,0.48783245956126,0.54934616055685,1.36822046544352,2020
6398,Trevor May,0.257588301473765,572.9,,,,,,,-1.04652247621104,0.898460582756827,-1.11958920165917,0.21840572501458,0.454696364147219,0.852137307425349,2020
2717,Rick Porcello,0.231656783096062,459,,,,,,,1.19530811127646,-0.723219457523179,1.05926650760426,-0.679683390141018,0.0760971785086965,-0.696112166629158,2020
3132,Tony Watson,0.172219435658842,322.2,,,,,,,-0.99438688115319,-0.814904548139717,-1.11958920165917,0.667450282592379,0.54934616055685,1.88430362346169,2020
12763,Chris Devenski,0.100814977236596,598.7,,,,,,,-1.04652247621104,0.325428766403468,-1.11958920165917,0.0926732488927965,0.738645753376111,1.11017888643443,2020
19320,Joey Lucchesi,0.0752070956310979,253.4,,,,,,,1.09103692116076,-0.299175913421693,0.332981271183114,-0.0510210095320991,-0.302502007129826,-0.696112166629158,2020
10811,Mike Foltynewicz,0.057118236884187,212.5,,,,,,,1.09103692116076,-0.522658321799503,1.05926650760426,-0.571912696322346,-0.302502007129826,-0.696112166629158,2020
4264,Mark Melancon,0.0320857249281039,181.4,,,,,,,-0.942251286095341,-0.499737049145369,-1.11958920165917,0.469870677258148,-0.0185526179009341,2.14234520247077,2020
14375,Amir Garrett,0.031579879437486,599.9,,,,,,,-0.890115691037493,1.21935839991471,-1.11958920165917,0.272291071923916,-0.302502007129826,0.852137307425349,2020
3950,Matt Magill,0.0189415404075938,360.5,,,,,,,-1.04652247621104,0.646326583561349,-1.11958920165917,-0.0689827918352111,-0.0185526179009341,1.6262620444526,2020
17594,Mitch Keller,-0.0324930382904144,236.8,,,,,,,0.830358945871517,0.0790250853715236,0.332981271183114,-0.086944574138323,-0.491801599949088,-0.696112166629158,2020
16401,Yonny Chirinos,-0.065128764229466,281.2,,,,,,,0.72608775575582,-0.706028503032578,0.332981271183114,-0.176753485653883,0.454696364147219,-0.696112166629158,2020
9434,Dallas Keuchel,-0.073928405379397,284.2,,,,,,,1.40385049150785,-1.09569013815286,1.05926650760426,-0.158791703350771,-0.586451396358718,-0.696112166629158,2020
18679,Freddy Peralta,-0.103543497634512,343.5,,,,,,,-0.0038105750540632,0.927112173574495,0.332981271183114,-0.266562397169443,-0.397151803539457,-0.696112166629158,2020
15046,Trevor Gott,-0.125071577830986,599.2,,,,,,,-1.15079366632674,-0.121536050352152,-1.11958920165917,1.08057127556395,0.0760971785086965,1.11017888643443,2020
17085,Pablo Lopez,-0.160381556423593,508,,,,,,,0.882494540929366,-0.866477411611519,0.332981271183114,0.110635031195908,0.0760971785086965,-0.696112166629158,2020
7274,Craig Stammen,-0.220036427966526,600.9,,,,,,,-0.942251286095341,-0.488276412818302,-1.11958920165917,0.739297411804827,0.738645753376111,0.852137307425349,2020
13942,Brent Suter,-0.237546262348003,584.2,,,,,,,-0.837980095979644,-0.494006730981835,-1.11958920165917,0.433947112651924,0.927945346195373,0.852137307425349,2020
7410,J.A. Happ,-0.244618447182859,324.9,,,,,,,0.621816565640122,-0.4367035493465,1.05926650760426,-0.679683390141018,-0.113202414310565,-0.696112166629158,2020
19753,Jonathan Loaisiga,-0.261521696996916,564.5,,,,,,,-0.264488550343307,0.497338311309476,-0.393303965238029,0.00286433737723675,0.0760971785086965,-0.180029008610989,2020
4972,Cole Hamels,-0.26629500201364,306.2,,,,,,,0.673952160697971,-0.408051958528832,0.332981271183114,0.0387879019834607,-0.207852210720196,-0.696112166629158,2020
5420,Pedro Baez,-0.286208548775292,565.6,,,,,,,-0.942251286095341,0.113406994352725,-0.393303965238029,-0.086944574138323,0.170746974918327,0.852137307425349,2020
13619,Jakob Junis,-0.28632157117935,588.3,,,,,,,1.24744370633431,-0.591422139761906,1.05926650760426,-1.00299547159703,-0.302502007129826,-0.696112166629158,2020
3240,Zack Britton,-0.293269567611157,434.1,,,,,,,-0.942251286095341,-0.448164185673567,-1.11958920165917,1.52961583314175,-0.681101192768349,1.36822046544352,2020
12304,Chris Bassitt,-0.304873466954132,457.2,,,,,,,0.100460615061634,-0.345018458729962,0.332981271183114,-0.194715267956995,-0.0185526179009341,-0.180029008610989,2020
19867,Griffin Canning,-0.308258747214787,328.2,,,,,,,-0.055946170111912,0.170710175988061,0.332981271183114,-0.230638832563219,0.170746974918327,-0.696112166629158,2020
