Played,Name,pr,Adp,R,HR,RBI,RC,AVG,OPS,IP,SO,QS,ERA,WHIP,SVHD,Year
19287,Adolis García,5.62291825346383,132,0.963421706090082,1.24471625120588,1.37024539670808,0.313951506258556,0.803166870440721,0.927416522760512,,,,,,,2023
23667,Wander Franco,5.60909718034999,51,1.24165284955083,-0.454406387822093,0.691439365588072,1.1398129226767,1.72652927050816,1.26406915984832,,,,,,,2023
11737,Nick Castellanos,5.53765577279342,125,0.740836791321484,0.721909285351116,1.08740955040807,0.762960015092848,1.17418297537356,1.05035715524634,,,,,,,2023
7304,Salvador Perez,5.28152077063759,95,0.184374504399988,1.63682147559694,1.48337973522808,0.537910207997568,0.672453342325844,0.766581505089162,,,,,,,2023
20043,Luis Robert Jr.,5.27001295047338,77,0.963421706090082,0.591207543887426,0.861140873368073,0.754588485486676,1.17248753486127,0.927166806779857,,,,,,,2023
13145,Josh Bell,5.2331549529194,85,0.796483020013634,0.460505802423736,1.03084238114807,1.06728082820751,0.93709659870247,0.940946322423972,,,,,,,2023
21711,Oneil Cruz,5.08713292789365,90,1.07471416347438,1.11401450974219,0.861140873368073,0.528657439142585,0.647823770236535,0.860782171929889,,,,,,,2023
15679,Rowdy Tellez,5.05339488446869,150,0.351313190476437,1.63682147559694,1.25711105818808,0.768188409174546,0.311699846874282,0.728260904158403,,,,,,,2023
15711,Tyler O'Neill,4.93639069807568,175,1.13036039216653,1.24471625120588,1.03084238114807,0.538746980666374,0.365825486633492,0.625899206255332,,,,,,,2023
17982,Ty France,4.87639200312821,139,0.573898105245035,0.199102319496357,0.861140873368073,0.986440528671267,1.25006789550188,1.0057422808456,,,,,,,2023
26197,Andrew Vaughn,4.85400442411086,154,0.462605647860736,0.591207543887426,0.861140873368073,0.875638772923853,1.08997254734222,0.973439038728549,,,,,,,2023
12927,Brandon Nimmo,4.77547912437334,109,1.51988399301158,-0.193002904894713,0.0126333344680657,1.28247637878144,1.09770285965166,1.05578546335531,,,,,,,2023
17929,Cedric Mullins,4.7324515909047,64,1.40859153562728,0.199102319496357,0.125767672988067,0.655273418369742,1.26515678367304,1.07855986075021,,,,,,,2023
13152,Jorge Polanco,4.70533203348645,146,0.852129248705783,0.721909285351116,0.804573704108072,0.762957040117117,0.731721096464024,0.832041658740333,,,,,,,2023
6184,J.D. Martinez,4.68047667730532,148,0.685190562629334,0.591207543887426,0.974275211888074,0.809631246701434,0.788823001968491,0.831349110230562,,,,,,,2023
3473,Anthony Rizzo,4.66080885587207,97,0.796483020013634,1.24471625120588,0.861140873368073,0.813443158130735,0.268434026631668,0.676591526522085,,,,,,,2023
12552,Eugenio Suárez,4.63686704836291,194,0.573898105245035,1.63682147559694,1.25711105818808,0.482529818963682,0.047289186575743,0.639217403793425,,,,,,,2023
15429,Kris Bryant,4.59409079414823,88,1.01906793478223,0.460505802423736,0.46517068854807,1.0396885229429,0.77732338136237,0.832334464088927,,,,,,,2023
15172,Tim Anderson,4.58104921830061,158,1.40859153562728,-0.323704646358403,-0.100501004051935,0.649703266832514,1.87361675674372,1.07334330950744,,,,,,,2023
18036,Jake Cronenworth,4.50516763064675,74,1.01906793478223,0.0684005780326667,0.861140873368073,0.774538918728245,0.893144968959588,0.888874356775941,,,,,,,2023
14161,Byron Buxton,4.46162608495212,155,0.963421706090082,1.89822495852432,0.578305027068071,0.521571486237437,-0.0216126352446952,0.521715542276901,,,,,,,2023
17919,Ian Happ,4.35775675255755,181,0.685190562629334,0.460505802423736,0.748006534848072,0.74596354358021,0.815110135870701,0.902980173205496,,,,,,,2023
19197,Will Smith,4.35223461305771,NA,0.518251876552886,0.983312768278496,1.14397671966808,0.929778841732894,0.224415236839638,0.552499169985719,,,,,,,2023
15464,Hunter Renfroe,4.31320397138889,167,0.462605647860736,1.50611973413326,1.08740955040807,0.426518957294798,0.252738395799033,0.577811685892996,,,,,,,2023
21618,Alec Bohm,4.2836410739474,182,0.518251876552886,-0.193002904894713,0.634872196328071,0.717784804019163,1.59006393563455,1.01567116630744,,,,,,,2023
15518,Amed Rosario,4.20050012894728,162,1.07471416347438,-0.715809870749472,0.408603519288069,0.484724220160301,1.88012786415451,1.0681402326195,,,,,,,2023
4949,Giancarlo Stanton,4.19100976071868,169,0.128728275707839,1.76752321706063,1.31367822744808,0.566795545821237,-0.0281044615701435,0.442388956251039,,,,,,,2023
11477,Christian Yelich,4.14373445453055,121,1.51988399301158,-0.0623011634310232,0.125767672988067,0.902514900829537,0.789468738466752,0.868400312665635,,,,,,,2023
17027,Alex Verdugo,4.06482152196058,143,0.740836791321484,-0.585108129285783,0.46517068854807,0.834685228192079,1.58402748106174,1.025209462123,,,,,,,2023
12979,Javier Báez,4.06461409585735,212,0.685190562629334,0.591207543887426,0.861140873368073,0.232549962881414,0.912830921126916,0.781694231964189,,,,,,,2023
16997,Gleyber Torres,4.06448103638552,134,0.740836791321484,0.591207543887426,0.691439365588072,0.504576417533593,0.792379247077654,0.744041670977295,,,,,,,2023
15112,Ryan McMahon,4.0231976770595,261,0.629544333937185,0.591207543887426,0.748006534848072,0.658399913791294,0.654357072478785,0.74168227811674,,,,,,,2023
20454,Jazz Chisholm Jr.,3.9749357485916,102,1.13036039216653,0.983312768278496,0.578305027068071,0.316465966950629,0.356549737777995,0.609941856349877,,,,,,,2023
11739,J.T. Realmuto,3.95437185396654,56,0.685190562629334,0.460505802423736,0.861140873368073,0.604577496956657,0.67379826997316,0.669158848615578,,,,,,,2023
21636,Jeremy Peña,3.8398121581661,165,0.740836791321484,0.591207543887426,0.578305027068071,0.249032663794154,0.946102304446584,0.734327827648379,,,,,,,2023
19918,Daulton Varsho,3.82125857879385,63,0.796483020013634,1.11401450974219,0.748006534848072,0.344680676636878,0.264941991853373,0.553131845699709,,,,,,,2023
