Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nico Hoerner","CHC",146.323,639.756,578.07,162.704,122.341,27.551,3.93189,8.88017,83.4216,62.2772,45.7388,1.5665,77.8061,10.541,3.93884,1.4679,11.7699,34.0365,7.3029,0.281461,0.0714941,0.121618,0.587856,0.343079,0.38881,0.321325,0.731889,0.107349,6.54556,0.310553,-0.300643,2.36067,79.5183,1.56771,102.188,2.06003,4.89724,3.766039252281189,7.251402139663696,3.26877,65.5999984741211,2.34699,-3.65446,1.59849,"21479"
"Gleyber Torres","NYY",146.435,621.759,555.149,149.249,97.3017,27.1105,1.24019,23.597,82.0248,77.2209,57.1445,0.909683,107.288,3.36336,4.92812,1.174,12.2505,12.7128,4.55705,0.268845,0.0919077,0.172556,0.532626,0.337999,0.449665,0.339538,0.787664,0.18082,4.29273,0.292765,-0.465953,-0.589809,86.6859,10.9282,114.602,-1.05576,-0.651391,10.006853342056274,1.6084016561508179,3.26733,85.7699966430664,3.18955,-0.78289,0.176489,"16997"
"Willy Adames","MIL",145.348,617.927,548.413,132.394,75.6497,28.6258,1.42723,26.6911,77.9479,84.9671,61.8006,1.68217,160.801,3.33716,4.02245,0.354186,9.35909,6.39465,2.32707,0.241413,0.100013,0.260227,0.38433,0.319851,0.444824,0.32856,0.764676,0.203412,3.91387,0.289642,0.479451,-0.775101,80.5181,5.22719,105.168,-0.295649,1.22599,3.660290867090225,7.955047369003296,3.2569,179.05999755859375,2.16223,-0.109051,0.937546,"15986"
"Manny Machado","SDP",139.77,599.934,537.303,144.276,88.6308,26.1435,1.2214,28.2799,79.2816,91.0503,54.8247,4.22432,111.133,2.36455,5.22472,0.21749,11.6737,5.94032,2.13365,0.268518,0.0913845,0.185241,0.493327,0.335933,0.479621,0.346365,0.815555,0.211103,3.55386,0.287749,-0.35839,-0.803514,87.0446,13.9462,119.255,-1.1619,0.617756,12.913952708244324,-0.8580464720726013,3.23724,69.62999725341797,3.57179,-0.951967,0.729778,"11493"
"Carlos Correa","MIN",134.508,575.383,508.153,131.985,82.6342,27.6172,1.23723,20.496,70.0341,70.5582,58.8643,1.96009,121.466,4.06337,3.93001,0.372646,15.85,0.262821,0.2618,0.259734,0.102305,0.211104,0.484616,0.338972,0.439955,0.336522,0.778927,0.180221,2.07904,0.301222,-0.591717,-1.16441,78.7787,8.67166,115.59,-1.75612,-0.61177,8.992343664169312,3.9060146808624268,3.23558,251.97999572753906,1.2749,-0.239087,0.490943,"14162"
"J.P. Crawford","SEA",145.222,625.29,537.611,136.932,94.1057,28.9614,1.32674,12.5379,79.5499,57.5136,74.6764,0.736389,108.675,6.6878,3.76405,2.55108,10.5517,3.31804,1.28373,0.254704,0.119427,0.173799,0.687152,0.350541,0.383475,0.325709,0.734016,0.128771,3.27711,0.296061,0.260878,-1.22457,79.9966,3.80859,111.084,-0.963691,-3.18966,7.341066122055054,3.533555507659912,3.20287,275.1000061035156,2.32771,1.40584,0.631677,"15491"
"Willson Contreras","STL",118.709,479.562,414.368,105.411,63.0138,21.2968,0.812119,20.2887,62.3648,63.9349,47.3146,0.773148,109.078,14.3288,2.8574,0.693614,10.7109,4.86386,2.09671,0.254391,0.0986622,0.227453,0.433769,0.348853,0.456596,0.348938,0.805449,0.202205,3.64956,0.29571,-0.727689,-0.866745,70.6047,12.1729,121.009,-1.59443,-1.06832,10.682110786437988,4.909551501274109,3.1815,139.22999572753906,2.05769,-0.0328858,0.255279,"11609"
"Nolan Arenado","STL",144.852,617.121,559.817,146.404,89.7246,29.4775,1.62472,25.5767,74.2132,90.9477,46.6601,3.68613,91.8371,4.86054,5.45051,0.332487,12.6996,3.58241,1.46503,0.26152,0.0756093,0.148815,0.508075,0.320895,0.457043,0.33125,0.777938,0.195523,3.09926,0.269791,-0.10264,-0.961783,81.7913,6.59867,108.952,-1.06442,2.75462,5.66765832901001,4.617428183555603,3.11896,109.2699966430664,3.05178,-0.998279,0.804066,"9777"
"Yandy Díaz","TBR",136.501,593.624,512.516,150.821,104.647,28.6355,0.586453,16.9516,81.7718,68.3734,71.4531,1.20801,86.21,5.85746,2.6326,1.16448,14.8374,1.37871,0.995052,0.294275,0.120368,0.145227,0.828826,0.385058,0.451662,0.365326,0.83672,0.157386,2.34994,0.324935,-0.949266,-1.53695,95.4771,23.1475,132.178,-2.48621,1.28693,20.78964614868164,-9.713675141334534,3.11811,139.85000610351562,1.95593,1.3781,1.17982,"16578"
"Gabriel Moreno","ARI",123.705,467.828,422.079,120.573,86.5332,22.9426,1.25936,9.83755,52.4496,56.0303,35.6187,0.231613,85.4304,5.16296,4.33575,0.632032,13.3297,5.96442,1.86536,0.285664,0.0761362,0.182611,0.416932,0.345367,0.41591,0.331865,0.761277,0.130246,3.72345,0.334399,-0.94137,-0.573635,62.2437,5.2415,107.384,-1.515,4.18087,2.764569878578186,12.294236660003662,3.0905,152.4600067138672,2.50117,1.00702,1.08682,"22664"
"Matt McLain","CIN",131.952,580.534,512.287,132.24,78.7297,28.2349,3.68612,21.5897,80.1233,72.836,56.0018,0.664181,157.508,8.55615,2.49633,1.19242,7.21381,19.5696,5.24101,0.258137,0.096466,0.271316,0.355549,0.339693,0.454074,0.342802,0.793768,0.195937,6.16039,0.329626,-0.936795,0.602873,82.5118,11.7771,109.832,-0.333921,0.480446,6.737346678972244,3.8583140075206757,3.02822,66.6500015258789,2.4706,-0.0639602,0.417388,"29695"
"Pete Alonso","NYM",152.099,648.107,562.698,140.493,74.308,23.7928,1.27227,41.12,89.1315,109.717,65.3632,7.01798,138.884,14.6555,5.04989,0.340152,12.4988,3.60555,1.05448,0.249678,0.100852,0.214292,0.470632,0.340419,0.515713,0.360234,0.856131,0.266035,3.14977,0.256285,-1.43101,-0.858994,101.499,22.5308,128.707,-2.29,-0.644906,20.380908012390137,-12.576562881469727,2.97669,27.329999923706055,2.73213,-0.472598,1.73468,"19251"
"Jung Hoo Lee","SFG",134.23,580.7,520.72,149.119,100.229,34.9548,4.07604,9.85896,69.9307,59.3228,49.4517,3.08674,53.3554,4.85256,2.64279,3.03297,11.6457,8.76382,2.52329,0.286371,0.0851588,0.0918811,0.926837,0.352146,0.425954,0.337417,0.7781,0.139583,4.82507,0.302642,-0.948344,-0.479177,79.9384,9.18348,113.156,-1.42752,-0.249587,7.881491422653198,1.8218628764152527,2.9374,257.9200134277344,3.67322,-0.386814,1.11571,"sa3012640"
"Matt Chapman",,124.994,550.879,478.698,112.248,61.2986,25.5575,1.85755,23.5346,69.1719,69.8154,60.616,0.3339,155.589,7.06389,4.17604,0.325184,5.84472,3.14497,1.25217,0.234487,0.110035,0.282438,0.389591,0.326813,0.443129,0.332675,0.769942,0.208642,3.68847,0.292061,0.271043,-0.890743,73.6641,6.54269,109.924,-0.619701,2.27153,6.0420807003974915,4.200451850891113,2.89001,279.1499938964844,3.52881,0.921784,0.731022,"16505"
"Edouard Julien","MIN",131.003,544.003,455.334,111.876,71.0797,23.0094,1.41259,16.3747,72.705,54.0317,78.4562,1.19572,161.86,4.77436,3.42955,2.00901,10.0604,7.91285,2.09303,0.245702,0.14422,0.297535,0.484717,0.35998,0.410326,0.339523,0.770306,0.164624,4.32381,0.340435,-0.175468,-0.48062,75.8383,9.55472,117.671,-0.656088,-0.442641,10.862168967723846,-0.6611988693475723,2.86029,217.25,4.04532,-0.0909992,0.436004,"27534"
