,name,PlayerId,position
141,Trevor Story,32150,SS
142,Jeremiah Estrada,41014,RP
143,Jordan Walker,4684778,RF
144,Kyle Harrison,4683375,SP
145,Tyler Fitzgerald,43030,SS
146,Blake Treinen,32185,RP
147,Patrick Bailey,4345843,C
148,Jeffrey Springs,35397,SP
149,Ryan McMahon,33247,3B
150,Aaron Civale,40934,SP
151,Grant Holmes,33840,SP-RP
152,Mauricio Dubon,35304,1B-2B-LF-CF
153,Eury Perez,4917854,SP
154,Tyler Rogers,34026,RP
155,Tobias Myers,39716,SP
156,Zack Gelof,4414531,2B
157,Jesse Winker,32833,LF-DH
158,Jacob Wilson,4719300,SS
159,Orlando Arcia,32530,SS
160,Christian Encarnacion-Strand,5012106,1B
161,Andre Pallante,4109034,SP-RP
162,Bubba Chandler,4683325,SP
163,Jake Irvin,41290,SP
164,Luis Ortiz,5101355,SP-RP
165,Andrew Abbott,4414528,SP
166,Coby Mayo,4683371,3B
167,Bo Naylor,41183,C
168,Nick Gonzales,4311634,2B
169,Reid Detmers,4326697,SP
170,Nolan Jones,37340,LF
171,Andrew Painter,4872683,SP
172,Brooks Lee,4629081,3B-SS
173,Eduardo Rodriguez,32675,SP
174,Kyle Manzardo,4917927,DH
175,Spencer Torkelson,4424286,1B
176,Fernando Cruz,34068,RP
177,Rhett Lowder,4758873,SP
178,Garrett Mitchell,4313442,CF-RF
179,Luke Raley,40422,1B-LF-RF
180,Matt Wallner,42427,LF-RF
181,Jose Alvarado,36063,RP
182,Cody Bradford,4142539,SP
183,Jose Miranda,41000,3B-DH
184,Mike Yastrzemski,33341,RF
185,Jordan Lawlar,4872649,3B-SS
186,Jhonkensy Noel,42548,RF
187,Jonathan Aranda,40810,1B
188,Isiah Kiner-Falefa,33572,2B-3B-SS
189,Jordan Hicks,37909,SP-RP
190,Heston Kjerstad,4297758,LF
191,Ernie Clement,41287,3B-SS
192,Alex Vesia,42622,RP
193,Caleb Durbin,5007615,2B-3B
194,David Festa,5124114,SP
195,Bobby Miller,4326703,SP
196,David Robertson,29172,RP
197,Luis Campusano,40521,C
198,DJ Herz,4917686,SP
199,Joey Bart,41168,C
200,Cristian Javier,41261,SP
201,Kyle Bradish,4311625,SP
202,Dustin May,40937,SP
203,Andrew Heaney,32672,SP
204,Joe Musgrove,34848,SP
205,Max Kepler,31870,RF
206,Mitchell Parker,4683356,SP
207,Jon Gray,33203,SP
208,Tony Gonsolin,38958,SP
209,Jacob Young,4414210,CF
210,Bryan De La Cruz,40787,LF-RF-DH
211,Edward Cabrera,40944,SP
212,Travis Bazzana,5007707,2B
213,Miguel Amaya,38905,C
214,Kris Bryant,33172,1B-RF
215,Ben Brown,41516,SP-RP
216,Noelvi Marte,41307,3B
217,Enrique Hernandez,31358,3B
218,Luis Garcia,4684365,SP
219,Anthony Rizzo,30782,1B
220,Max Meyer,4345164,SP
221,Oswaldo Cabrera,40835,3B
222,Hayden Birdsong,5197166,SP
223,Dalton Rushing,4619839,C-LF
224,Sam Basallo,4917646,C-1B
225,Otto Lopez,41917,2B
226,Paul Sewald,35009,RP
227,Walker Jenkins,5148963,CF
228,Chris Martin,32903,RP
229,Noah Schultz,5080754,SP
230,Jo Adell,40854,RF
231,Jace Jung,4721040,3B
232,Hunter Goodman,4416591,C-RF
233,Jarred Kelenic,41150,LF-CF
234,Travis d'Arnaud,29951,C
235,Andy Pages,42468,CF-RF
236,Marcelo Mayer,4872648,SS
237,Hunter Renfroe,33205,RF
238,Jac Caglianone,4926296,1B
239,Jose Soriano,40973,SP
240,Trey Sweeney,4414687,SS
241,Nolan McLean,4433874,DH-SP
242,Mark Leiter Jr.,36202,RP
243,DJ LeMahieu,30765,1B-3B
244,Mitch Garver,33667,C-DH
245,LaMonte Wade Jr.,37798,1B
246,Max Clark,5148964,CF
247,A.J. Minter,36133,RP
248,Edwin Uceta,41308,RP
249,Chase DeLauter,4619649,CF-RF
250,Carson Williams,4872692,SS
251,Ryne Nelson,4916269,SP
252,Chase Burns,4927516,SP
253,Colson Montgomery,4872685,SS
254,Bryce Eldridge,5149064,1B
255,Matt Brash,4894467,RP
256,Sean Burke,4867679,SP
257,Ronny Mauricio,40978,2B
258,Kevin Ginkel,41432,RP
259,Jake Rogers,39900,C
260,Calvin Faucher,3978173,RP
261,Christian Moore,4927523,2B
262,Drew Thorpe,4629086,SP
263,Jack Leiter,4622181,SP-RP
264,Freddy Fermin,41928,C-DH
265,Danny Jansen,35004,C
266,Justin Turner,29607,1B-DH
267,Michael McGreevy,4424141,SP
268,Quinn Mathews,4837405,SP
269,Jake Fraley,37974,RF
270,Casey Mize,41167,SP
271,Kris Bubic,41201,RP
272,Mitch Spence,4987645,SP-RP
273,Andrew McCutchen,28701,DH
274,Tylor Megill,3332018,SP
275,Chase Dollander,4719068,SP
276,Trevor Larnach,41205,LF-DH
277,Cade Horton,4692526,SP
278,Kyle Teel,4743772,C
279,Jonny DeLuca,5005912,CF-RF
280,Emmanuel Rodriguez,42491,CF
281,Charlie Condon,5033089,LF
282,Kyle Higashioka,30545,C
283,Nick Kurtz,4966637,1B
284,Jacob Misiorowski,5080761,SP-RP
285,Lance McCullers Jr.,32764,SP
286,Garrett Whitlock,39674,SP
287,Deyvison De Los Santos,4989046,1B-3B
288,Jorge Polanco,32525,2B
289,Endy Rodriguez,4712767,C
290,Alex Cobb,31086,SP
291,Craig Kimbrel,30653,RP
292,Jose Siri,33954,CF
293,Derek Law,33139,RP
294,Yariel Rodriguez,4411979,SP
295,Geraldo Perdomo,41355,SS
296,AJ Smith-Shawver,4917640,SP
297,Michael Lorenzen,33252,SP
298,J.D. Martinez,31065,DH
299,Edouard Julien,3985190,2B
300,Vaughn Grissom,42503,2B
301,Spencer Jones,4867424,CF
302,Sebastian Walcott,5150947,3B-SS
303,Ryan Weathers,41178,SP
304,Johan Rojas,42829,CF
305,Jose Butto,4905900,SP-RP
306,Leody Taveras,34951,CF
307,Ethan Salas,5124004,C
308,Chris Taylor,32900,2B-3B-LF
309,Alek Manoah,42436,SP
310,David Hamilton,42987,2B-SS
311,Hunter Harvey,33191,RP
312,Brandon Sproat,4621041,SP
313,Reed Garrett,36526,RP
314,Kyle Isbel,41263,CF
315,Jose Leclerc,33926,RP
316,Matt Waldron,4020158,SP
317,Triston McKenzie,34954,SP
318,Hagen Smith,5023126,SP
319,Richie Palacios,41359,2B-LF-RF
320,Aaron Ashby,41325,RP
321,Jake Meyers,40719,CF
322,Chas McCormick,40574,LF-RF
323,Harrison Bader,35062,CF
324,Miguel Vargas,42453,3B-LF
325,Lance Lynn,30820,SP
326,Tyler Mahle,34973,SP
327,Javier Baez,32127,SS
328,JJ Wetherholt,4941056,SS
329,Brayan Rocchio,41217,SS
330,Brett Baty,42414,3B
331,Leodalis De Vries,5196124,SS
332,Tink Hence,4920836,SP
333,Gary Sanchez,31095,C-DH
334,Bryan Hudson,4991171,RP
335,Austin Hays,36928,LF
336,Colin Rea,33950,SP
337,Cole Sands,3983841,RP
338,DL Hall,41018,SP-RP
339,Lazaro Montes,5124103,RF
340,Eloy Jimenez,33867,DH
341,Will Vest,41606,RP
342,Owen Caissie,4917685,LF-RF
343,Yimi Garcia,32888,RP
344,Orelvis Martinez,41306,2B-3B
345,Wenceel Perez,41586,CF-RF
346,Dylan Lee,41455,RP
347,Amed Rosario,33215,2B-RF-DH
348,Michael Massey,4109223,2B
349,Colt Emerson,5149068,SS
350,Xavier Isaac,5080779,1B
351,Jose Trevino,35268,C
352,Edmundo Sosa,33809,2B-3B-SS
353,Termarr Johnson,5080632,2B-SS
354,Hurston Waldrep,4740117,SP
355,Beau Brieske,4917779,SP-RP
356,Jonah Bride,3960984,1B
357,Justin Slaten,4917925,RP
358,Victor Scott II,4807220,CF
359,Tyler Black,4414183,1B
360,Esteury Ruiz,39680,LF-CF
361,Josh Rojas,40718,3B
362,Ryan Thompson,38628,RP
363,Zebby Matthews,4791597,SP
364,Ricky Tiedemann,4917902,SP
365,Druw Jones,5080631,CF
366,Braxton Garrett,40971,SP
367,Aidan Miller,5148968,SS
368,Jesus Made,5196211,SS
