,name,PlayerId,position
785,Cole Ragans,41054,SP
786,Anthony Santander,36084,RF-DH
787,Zach Eflin,32804,SP
788,Sonny Gray,32082,SP
789,Yu Darvish,32055,SP
790,Max Scherzer,28976,SP
791,Bryan Woo,4629089,SP
792,Luis Gil,40626,SP
793,Yordan Alvarez,36018,LF-DH
794,Jorge Soler,32558,RF-DH
795,Jacob deGrom,32796,SP
796,Jake Burger,39882,1B-3B-DH
797,David Peterson,40921,SP
798,Robbie Ray,32175,SP
799,Walker Buehler,39251,SP
800,Jasson Dominguez,42401,LF
801,Jameson Taillon,31258,SP
802,Alec Bohm,41169,3B
803,Gavin Williams,4345076,SP
804,Brant Hurter,5197093,RP
805,Yusei Kikuchi,41415,SP
806,Michael King,40429,SP
807,Garrett Crochet,4297835,SP
808,Marcus Semien,32146,2B
809,Corbin Burnes,39878,SP
810,Kevin Gausman,32667,SP
811,Randy Arozarena,36488,LF
812,Royce Lewis,40635,3B-DH
813,Pablo Lopez,39671,SP
814,Josh Lowe,40557,RF
815,Bryson Stott,42417,2B
816,Jackson Chourio,4917869,LF-RF
817,Matt Chapman,33857,3B
818,Justin Verlander,6341,SP
819,CJ Abrams,42402,SS
820,Shota Imanaga,5134630,SP
821,Ryan Helsley,39909,RP
822,Tanner Scott,35135,RP
823,Mitch Haniger,32771,RF-DH
824,Clayton Kershaw,28963,SP
825,Yuki Matsui,4142414,RP
826,MJ Melendez,40948,LF
827,Dane Dunning,36080,SP-RP
828,Jake Cronenworth,36364,1B-2B
829,Kyle Finnegan,36543,RP
830,Brady Singer,41172,SP
831,Connor Joe,35440,1B-RF
832,Brice Turang,41179,2B
833,Ezequiel Tovar,4905919,SS
834,Sal Frelick,4417795,LF-CF-RF
835,Ronald Acuna Jr.,36185,RF
836,Ke'Bryan Hayes,35020,3B
837,Tyler Soderstrom,4686066,1B
838,Spencer Strider,4307825,SP
