Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Abraham Toro","BOS",21.0959,83.1202,75.582,18.1415,12.0325,4.13589,0.27269,1.70036,9.27162,8.15511,6.01123,0.142639,15.0755,0.859394,0.423541,0.244041,1.2752,0.816562,0.283485,0.240024,0.0723197,0.18137,0.398741,0.301801,0.369451,0.294672,0.671252,0.129427,4.09097,0.277583,-0.00783966,-0.0995669,8.68582,-1.03742,85.2735,-0.107407,1.01617,-1.5080001652240753,1.3215781450271606,0.266914,999,2.75391,-0.733101,1.75152,2.75391,0.733101,2.66465,78.1,3.719047619,78.1,3.719047619,,,,,,,,,,,,,,,,,,,"Abraham Toro","19844",647351
"Adrian Del Castillo","ARI",45.2224,174.416,157.218,36.7537,22.959,8.38795,0.274681,5.13213,19.044,21.2319,14.6333,0.466759,44.4566,1.47663,0.959714,0.128384,2.34033,0.871357,0.252394,0.233776,0.083899,0.254888,0.32916,0.303313,0.388553,0.302306,0.691866,0.154777,3.13208,0.291205,-0.130491,-0.232615,19.2976,-1.10524,91.5044,-0.363105,-1.32922,-2.1350108087062836,-1.0965918451547623,0.266108,448.92999267578125,3.959,0.293406,1.30555,3.959,-0.293406,3.25927,170.3,3.784444444,170.3,3.784444444,,,,,,,,,,,,,,,,,,,"Adrian Del Castillo","29554",680728
"Max Schuemann","ATH",50.7026,189.556,165.521,35.8866,25.1883,6.67369,0.809875,3.21467,20.9615,14.7075,17.5517,0.0735503,49.9323,3.72606,1.2349,1.52248,2.84352,5.7533,1.17191,0.21681,0.092594,0.263418,0.35151,0.304012,0.32518,0.282961,0.629192,0.10837,5.68821,0.287583,-0.13128,0.309878,18.0213,-4.15255,81.3324,0.178598,-0.898475,-3.9615359604358673,0.17739135026931763,0.26145,604.72998046875,1.74412,1.78133,1.38326,1.74412,-1.78133,3.15565,164.4,3.223529411,164.4,3.223529411,,,,,,,,,,,,,,,,,,,"Max Schuemann","24488",680474
"Gage Workman","CHC",28.5956,116.679,106.124,22.9578,14.7022,4.9656,0.793659,2.49631,13.1635,11.9018,9.07335,0.255659,39.6278,0.696414,0.667404,0.118046,1.27483,3.76756,0.96341,0.216329,0.0777631,0.33963,0.228964,0.280775,0.348645,0.276414,0.62942,0.132315,6.29638,0.31641,-0.134808,0.172199,10.4781,-3.17086,76.8289,0.0373909,1.03072,-3.1258240416646004,1.7662009596824646,0.261079,999,0.615398,-0.211594,1.58178,0.615398,0.211594,2.89096,96.6,3.331034482,96.6,3.331034482,,,,,,,,,,,,,,,,,,,"Gage Workman","sa3014441",669398
"Michael A. Taylor","CHW",59.7091,208.148,189.125,39.9527,27.2272,6.54922,0.310518,5.86574,22.9409,20.1242,14.8033,0.054487,68.7324,1.31499,1.35364,1.55188,2.68944,6.0991,1.18984,0.211251,0.0711189,0.330208,0.215376,0.271403,0.342209,0.270401,0.613612,0.130958,5.21888,0.294157,-0.0495534,0.396255,17.6848,-6.66397,72.6925,0.346702,2.12135,-6.303632467985153,1.8633431792259216,0.257663,725.7100219726562,4.24305,0.144089,1.22021,4.24305,-0.144089,3.37306,168.3,2.805,168.3,2.805,,,,,,,,,,,,,,,,,,,"Michael A. Taylor","11489",572191
"Tyler Locklear","SEA",28.44,106.511,94.8392,20.5192,13.2037,4.16033,0.124095,3.03115,11.071,11.1292,8.79568,0.31929,31.9813,2.04101,0.763774,0.0708289,2.35596,1.07235,0.192151,0.216358,0.0825804,0.300264,0.275026,0.294589,0.358725,0.288182,0.653314,0.142367,3.59372,0.288627,-0.0446151,-0.0505699,10.5736,-1.88575,92.883,-0.095185,2.07774,-0.9625375270843506,-0.11670184135437012,0.255235,701.3699951171875,1.98788,-1.3725,1.58926,1.98788,1.3725,2.88099,97.3,3.475,97.3,3.475,,,,,,,,,,,,,,,,,,,"Tyler Locklear","31396",682988
"Daniel Schneemann","CLE",42.2237,152.123,135.068,29.5705,19.0522,6.41222,0.790688,3.31539,15.3965,14.3759,14.9954,0.0492941,43.0876,0.650583,1.17436,0.235242,1.99762,2.60981,0.907947,0.218931,0.0985741,0.283241,0.348022,0.297697,0.351752,0.287562,0.649449,0.132821,4.78756,0.292247,-0.127249,-0.119226,15.026,-2.76913,87.3113,-0.246475,-0.524082,-2.455083653330803,-0.14683997631072998,0.255012,747.3699951171875,3.50527,2.4769,1.45182,3.50527,-2.4769,3.06425,135.2,3.219047619,135.2,3.219047619,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"Drew Romo","COL",57.2646,208.118,194.346,47.1512,32.3852,9.56434,1.35533,3.84636,20.1711,21.4002,9.63038,0.228335,45.7577,2.0366,1.47521,0.630081,4.10813,1.69046,0.980201,0.242615,0.0462736,0.219864,0.210465,0.283478,0.365149,0.282432,0.648627,0.122534,4.13105,0.296168,0.178529,-0.404772,19.6974,-4.64788,66.6573,-0.226243,-0.381226,-8.524214580655098,4.037337630987167,0.252376,601.1199951171875,2.88427,-1.69558,1.33268,2.88427,1.69558,3.2231,178.5,3.131578947,178.5,3.131578947,,,,,,,,,,,,,,,,,,,"Drew Romo","27763",691011
"Stuart Fairchild","CIN",69.6236,238.008,210.982,47.6912,29.5551,9.95923,0.97034,7.2065,29.9418,26.2838,18.1323,0.0894034,64.9864,5.50809,1.62637,1.75925,2.42465,9.1531,1.92682,0.226044,0.0761836,0.273043,0.279017,0.301934,0.384918,0.301773,0.686852,0.158874,6.25283,0.288321,-0.248436,0.631109,26.2314,-1.6103,86.3059,0.382673,-0.0379427,-3.514811724424362,-2.0674367025494576,0.242046,749.5399780273438,2.06097,2.51171,1.14363,2.06097,-2.51171,3.47516,241.8,3.454285714,241.8,3.454285714,,,,,,,,,,,,,,,,,,,"Stuart Fairchild","20321",656413
"Casey Schmitt","SFG",23.2243,81.8109,76.3772,18.0263,11.9048,3.46857,0.140665,2.51229,8.65928,8.96206,4.28398,0.0902642,19.0377,0.626176,0.349518,0.174088,1.33,0.659672,0.197554,0.236017,0.0523644,0.232704,0.225026,0.280957,0.383793,0.288933,0.66475,0.147777,3.5869,0.281169,-0.0324864,-0.0800743,8.17114,-1.39895,85.4409,-0.112561,0.704442,-1.506148524582386,1.0628421008586884,0.235731,745.3900146484375,3.11236,-0.299442,1.73719,3.11236,0.299442,2.68374,78.6,3.417391304,78.6,3.417391304,,,,,,,,,,,,,,,,,,,"Casey Schmitt","27577",669477
