Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Austin Gomber","COL",6.51731,10.9136,9.82559,5.19433,28.1191,28.1191,0,0,0,159.107,690.183,178.635,99.8135,91.8285,28.877,44.5589,1.71686,3.98711,112.254,6.3497,2.5205,2.51922,1.63345,0.162643,0.0645609,0.09808242321014404,0.278405,1.40279,0.299213,0.675072,,,5.0302,0.750026,1.11262,749.780029296875,3.31407,0.504438,2.34455,3.31407,-0.504438,1.87393,431.5000000000001,2.7138364779874222,495,3.1132075471698113,,,,,,,,,,,,,,,,,,,"Austin Gomber","16561",596295
"Landen Roupp","SFG",2.32732,2.47247,1.48592,3.73254,31.1007,4.80988,0,1.04451,0.270462,56.8391,243.119,50.6101,25.6225,23.5727,4.75794,24.9167,0.772293,2.19025,56.4071,8.9316,3.94535,2.26383,0.75338,0.232015,0.102488,0.12952684611082077,0.234293,1.32878,0.296113,0.724661,,,3.70062,0.749065,0.660712,557.0999755859375,2.80346,-0.650648,0.695067,2.80346,0.650648,4.07324,262.69999999999993,4.60877192982456,255,4.473684210526316,,,,,,,,,,,,,,,,,,,"Landen Roupp","30076",694738
"Raisel Iglesias","ATL",4.62834,2.92602,0,3.15208,64.312,0,33.8212,1.33587,4.41735,66.6029,268.762,56.5594,25.3548,23.3264,7.1868,16.0315,1.58622,2.35717,71.9267,9.7194,2.16632,4.48659,0.971148,0.267622,0.0596493,0.2079724781215191,0.2259,1.08991,0.28829,0.755423,,,3.23766,0.743361,1.08043,50.099998474121094,2.4496,0.662198,2.20406,2.4496,-0.662198,2.06126,525.5,7.843283582089552,508,7.582089552238806,,,,,,,,,,,,,,,,,,,"Raisel Iglesias","17130",628452
"Jeremiah Estrada","SDP",4.1732,2.85672,0,3.31699,58.7597,0,3.64314,16.4153,2.22082,60.638,250.667,46.6118,24.2917,22.3484,6.79896,25.545,1.56693,2.05345,83.3157,12.3659,3.79143,3.26153,1.00911,0.332376,0.101908,0.23046808689832687,0.208957,1.18996,0.299449,0.76415,,,3.24152,0.721548,0.806937,433.760009765625,2.1365,-0.99138,0.705234,2.1365,0.99138,4.05969,409.1000000000001,6.706557377049181,380,6.229508196721311,,,,,,,,,,,,,,,,,,,"Jeremiah Estrada","22210",669093
"Tylor Megill","NYM",4.01532,3.66094,2.65154,3.98848,35.6655,6.22396,0,0.789513,0,66.1473,280.744,60.5895,31.8632,29.3142,7.84129,24.7675,0.57977,2.8986,69.5764,9.46655,3.36987,2.80918,1.06688,0.247828,0.0882209,0.1596072018146515,0.23941,1.29041,0.300285,0.719204,,,3.85861,0.715639,0.574445,469.8299865722656,3.15983,-0.363316,0.350979,3.15983,0.363316,4.53203,291.4000000000001,4.415151515151517,286,4.333333333333333,,,,,,,,,,,,,,,,,,,"Tylor Megill","21318",656731
"A.J. Puk","ARI",4.47544,4.0291,0,3.35608,59.7479,0.213326,12.2173,14.5406,3.58049,63.1654,260.479,52.4774,25.6024,23.5542,6.43764,21.2118,1.65818,3.10448,75.4669,10.7528,3.02231,3.55779,0.917254,0.289723,0.0814335,0.20828987658023834,0.222208,1.16661,0.298459,0.743497,,,3.25678,0.713681,0.769635,264.2699890136719,2.83521,-2.14106,0.960349,2.83521,2.14106,3.71953,455.2000000000001,7.225396825396827,435,6.904761904761905,,,,,,,,,,,,,,,,,,,"A.J. Puk","19343",640462
"Justin Martinez","ARI",3.85702,3.30143,0,3.27585,61.6354,0,20.495,10.0022,2.97988,66.797,286.333,53.7077,26.4272,24.313,4.05527,34.2638,3.12483,3.8126,82.5314,11.12,4.6166,2.4087,0.546393,0.288236,0.119664,0.1685716062784195,0.21634,1.317,0.307123,0.747858,,,3.1947,0.708454,0.988897,196.6300048828125,2.54227,-0.920169,1.51269,2.54227,0.920169,2.98308,498.19999999999993,7.4358208955223875,475,7.08955223880597,,,,,,,,,,,,,,,,,,,"Justin Martinez","24453",679885
"Trevor Williams","WSN",6.11174,6.31824,4.86192,4.42523,39.6478,18.2231,0,0.302544,0.0865839,114.932,491.065,116.855,61.4255,56.5115,17.4201,35.7301,0.89136,4.02605,93.8072,7.34575,2.79791,2.62544,1.36411,0.191028,0.0727605,0.11826782673597336,0.258925,1.32761,0.292386,0.71109,,,4.5422,0.706519,0.824086,525.8800048828125,2.73586,-0.703905,0.657372,2.73586,0.703905,4.1235,405.7,3.5278260869565217,422,3.6695652173913045,,,,,,,,,,,,,,,,,,,"Trevor Williams","16977",592866
"Chase Dollander","COL",3.26389,4.57839,5.64724,5.04915,15.6475,14.8264,0,0.184132,0,79.7467,351.645,81.3807,48.6296,44.7392,11.6343,33.0096,0,5.19212,73.2285,8.26438,3.72538,2.2184,1.31302,0.208245,0.093872,0.11437341570854187,0.259634,1.43442,0.305128,0.670328,,,4.66365,0.705195,0.662947,999,3.67761,1.90463,0.690461,3.67761,-1.90463,4.07938,265.79999999999995,3.3224999999999993,276,3.45,,,,,,,,,,,,,,,,,,,"Chase Dollander","sa3023361",801403
"Matt Waldron","SDP",4.13388,5.33722,4.74535,4.62087,22.0135,13.5355,0,0.955943,0,87.1937,369.623,86.5006,48.6607,44.7678,13.6575,24.814,0.493706,4.57475,72.4471,7.47787,2.56126,2.91961,1.40971,0.196003,0.0671331,0.12886942923069,0.254238,1.27663,0.286637,0.679587,,,4.55213,0.69789,0.411234,577.7999877929688,2.58391,-0.488999,0.384165,2.58391,0.488999,4.48778,303.40000000000015,3.487356321839082,311,3.574712643678161,,,,,,,,,,,,,,,,,,,"Matt Waldron","25550",663362
"Ben Lively","CLE",8.97749,9.90221,7.97471,4.61678,25.1332,25.0842,0,0,0,137.81,591.819,139.688,76.8406,70.6933,22.1446,44.8635,2.2855,6.23909,108.33,7.07474,2.92991,2.41466,1.4462,0.183046,0.0758062,0.10724030435085297,0.258338,1.33917,0.286522,0.701475,,,4.79573,0.69382,0.708263,529.72998046875,4.3964,0.0616253,1.38205,4.3964,-0.0616253,3.15727,449.6,3.2579710144927536,467,3.3840579710144927,,,,,,,,,,,,,,,,,,,"Ben Lively","14932",594902
"Randy Vásquez","SDP",4.66592,5.9313,5.22787,4.62346,24.8003,17.0393,0,0.329558,0,94.977,413.983,99.8479,53.0341,48.7914,13.419,31.8565,0.843497,5.89533,70.7088,6.70035,3.01872,2.2196,1.27158,0.170801,0.0769513,0.09385009109973907,0.26539,1.3867,0.295885,0.696704,,,4.7067,0.689606,0.514513,698.0700073242188,3.75722,0.292882,0.597415,3.75722,-0.292882,4.20345,311.1,3.2747368421052636,334,3.5157894736842104,,,,,,,,,,,,,,,,,,,"Randy Vasquez","24719",681190
"Gregory Santos","SEA",2.2184,2.02179,0,3.35223,48.425,0,2.6567,11.7833,2.874,52.5747,220.817,47.3072,21.2853,19.5825,3.86036,17.3515,0.761044,3.19179,52.6286,9.00924,2.97032,3.03308,0.660835,0.238336,0.0785787,0.15975705534219742,0.236212,1.22985,0.302165,0.731989,,,3.2912,0.6843,0.515012,710.7999877929688,3.46646,-0.504447,0.960517,3.46646,0.504447,3.71931,329.80000000000007,6.222641509433964,322,6.0754716981132075,,,,,,,,,,,,,,,,,,,"Gregory Santos","21894",666619
"Cade Cavalli","WSN",4.20479,4.69662,4.87978,4.28374,24.6196,11.8552,0,0.711075,0,75.0676,323.534,69.4273,38.837,35.73,9.08578,30.6878,0.482424,4.97173,70.6168,8.46638,3.67922,2.30114,1.08931,0.218267,0.0948519,0.12341544032096863,0.241173,1.33367,0.289865,0.701163,,,4.28361,0.682761,0.631161,612.8499755859375,2.84595,-1.35408,0.18391,2.84595,1.35408,4.75479,302.9,4.038666666666666,296,3.9466666666666668,,,,,,,,,,,,,,,,,,,"Cade Cavalli","27473",676917
"Cade Povich","BAL",4.76622,4.8057,4.10198,4.41207,20.6294,13.2683,0,0.602248,0,75.9701,323.878,70.9842,40.4814,37.2428,10.7019,28.9336,1.03776,2.88763,70.8036,8.38793,3.42769,2.44711,1.26783,0.218611,0.0893347,0.12927678227424622,0.243049,1.31522,0.286306,0.699787,,,4.39041,0.679423,0.488767,510.1199951171875,2.3882,-1.36241,0.152898,2.3882,1.36241,4.79614,292.5,3.848684210526316,287,3.776315789473684,,,,,,,,,,,,,,,,,,,"Cade Povich","30055",700249
"Martín Pérez","CHW",6.20274,8.69212,9.55867,4.588,26.3228,25.7841,0,0.240942,0,145.89,637.596,153.923,80.8383,74.3713,21.1347,53.3351,0.840652,5.79892,107.363,6.62327,3.29027,2.01299,1.30381,0.168387,0.0836504,0.0847366452217102,0.26609,1.42065,0.295109,0.711545,,,4.79393,0.678144,0.96868,708.02001953125,6.95484,-1.71812,1.61384,6.95484,1.71812,2.84822,458.70000000000016,3.141780821917809,494,3.3835616438356166,,,,,,,,,,,,,,,,,,,"Martin Perez","6902",527048
"Ryne Nelson","ARI",5.63318,5.12545,4.90665,4.2425,37.4089,11.3944,0.0327136,0.76102,0,93.479,393.644,93.9752,47.8967,44.065,12.5181,24.572,1.07981,3.07259,77.0571,7.41893,2.36575,3.13597,1.20522,0.195754,0.0624219,0.13333164155483246,0.256764,1.26817,0.294682,0.699358,,,4.14589,0.673213,0.786266,381.7799987792969,2.13107,-1.99329,0.164759,2.13107,1.99329,4.78032,357.9000000000001,3.8483870967741947,370,3.978494623655914,,,,,,,,,,,,,,,,,,,"Ryne Nelson","26253",669194
"Jason Adam","SDP",4.25605,2.62883,0,3.13427,64.0084,0,6.53884,19.2498,4.34497,65.7525,267.196,49.3783,24.8896,22.8985,7.00743,21.4846,1.71181,4.99287,75.221,10.296,2.94075,3.50115,0.959155,0.28152,0.0804079,0.20111257582902908,0.205129,1.07772,0.267342,0.753012,,,3.47197,0.671057,0.974718,361.7300109863281,2.63457,0.533308,0.998413,2.63457,-0.533308,3.66878,457.9000000000001,6.937878787878789,422,6.393939393939394,,,,,,,,,,,,,,,,,,,"Jason Adam","11861",592094
"Cole Sands","MIN",4.76303,2.68141,0,3.67781,55.7088,0.192632,3.74007,9.99736,1.8654,62.8859,260.962,55.8839,27.9326,25.698,7.00875,18.5655,0.737969,3.52866,68.4473,9.79593,2.65703,3.68679,1.00307,0.262288,0.0711426,0.19114549458026886,0.233953,1.18388,0.299092,0.71966,,,3.4925,0.666634,0.447851,656.5399780273438,1.5808,1.19205,0.601409,1.5808,-1.19205,4.19812,361.5,5.738095238095238,351,5.571428571428571,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Sean Burke","CHW",5.67406,8.09318,7.27406,4.58801,26.4042,21.4223,0,0.319702,0,117.431,510.115,108.964,65.0697,59.8641,18.877,54.8384,0.845595,4.58715,114.84,8.80141,4.20284,2.09416,1.44674,0.225126,0.107502,0.11762399971485138,0.241772,1.39488,0.284212,0.718712,,,4.81848,0.646089,0.710704,402.8800048828125,2.51802,0.767483,1.1273,2.51802,-0.767483,3.49693,398.70000000000016,3.407692307692309,388,3.3162393162393164,,,,,,,,,,,,,,,,,,,"Sean Burke","29878",680732
"José Alvarado","PHI",2.7638,3.0212,0,3.43863,56.8678,0,3.98676,13.2539,2.71896,57.218,242.18,47.0763,23.7623,21.8613,4.94752,26.258,1.62692,2.34126,65.4536,10.2954,4.13021,2.4927,0.778212,0.270268,0.108424,0.16184455901384354,0.220415,1.28167,0.294237,0.74648,,,3.50219,0.643738,0.62089,649.9000244140625,1.75424,0.137983,0.819376,1.75424,-0.137983,3.9075,356.09999999999997,6.247368421052631,338,5.9298245614035086,,,,,,,,,,,,,,,,,,,"Jose Alvarado","17780",621237
"Camilo Doval","SFG",4.69378,4.15226,0,3.55569,61.7557,0,8.83592,14.6661,5.42742,64.0776,273.17,52.451,27.5169,25.3156,4.8125,30.8657,2.01976,3.3873,76.3486,10.7235,4.33523,2.47358,0.675938,0.279491,0.112991,0.16650055348873138,0.219537,1.30025,0.301977,0.728655,,,3.36349,0.643228,0.551662,379.07000732421875,4.43814,-1.49284,0.749302,4.43814,1.49284,4.00093,431.90000000000003,6.7484375000000005,410,6.40625,,,,,,,,,,,,,,,,,,,"Camilo Doval","21992",666808
"Jakob Junis","CLE",3.56804,3.02487,2.36782,4.07685,38.7752,6.84898,0.224693,2.31719,0.699109,75.0823,311.542,73.3798,36.9685,34.011,10.6659,16.5019,0.996476,3.17108,68.5614,8.21835,1.97806,4.15475,1.2785,0.220071,0.0529685,0.16710245609283447,0.251413,1.19711,0.294927,0.705985,,,3.97296,0.639466,0.518592,626.72998046875,2.47054,-0.237262,0.523154,2.47054,0.237262,4.30246,315.9,4.212,318,4.24,,,,,,,,,,,,,,,,,,,"Jakob Junis","13619",596001
"Tyler Holton","DET",3.95457,2.50552,0,3.23451,59.0244,0.910077,5.9456,13.6463,1.41344,68.1665,275.7,58.3316,26.6286,24.4983,6.84638,16.3278,0.980466,2.67614,59.5367,7.86061,2.15575,3.64634,0.903925,0.215947,0.059223,0.15672440454363823,0.22724,1.09525,0.270529,0.738089,,,3.56171,0.633891,0.863904,458.4599914550781,3.9156,0.841778,1.05311,3.9156,-0.841778,3.59586,415.3,6.107352941176471,398,5.852941176470588,,,,,,,,,,,,,,,,,,,"Tyler Holton","26231",663947
