Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Daniel Vazquez","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.17958,0.0644,0.2628,0.245053,0.237999,0.230028,0.213097,0.468028,0.0504487,4.22725,0.242995,0,-0.00108721,0.0344102,-0.087434,24.566,-0.00108721,0,-0.09147294145077467,0.012000000104308128,-0.00453686,999,,,,"sa3016143"
"Manuel Garcia",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.161479,0.05,0.3072,0.16276,0.211734,0.227626,0.19833,0.43936,0.0661479,3.9372,0.225098,0,-0.00103696,0.0221462,-0.099698,18.3591,-0.00103696,0,-0.1005187815753743,0.020999999716877937,-0.00453729,999,,,,"sa3006202"
"Jose King",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.188339,0.038,0.2862,0.132774,0.226125,0.269346,0.218868,0.49547,0.0810062,4.21834,0.25321,0,-0.0010944,0.0392036,-0.0826406,32.3575,-0.0010944,0,-0.08351879194378853,0.004000000189989805,-0.00453729,999,,,,"sa917184"
"Angel Galarraga","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.146934,0.0537,0.3461,0.155157,0.201369,0.216061,0.189494,0.417429,0.0691264,3.82173,0.214499,0,-0.000991389,0.0148081,-0.107036,16.966,-0.000991389,0,-0.10048342519439757,0.020999999716877937,-0.0045379,999,,,,"sa3011810"
"Nick Goodwin","TOR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.176158,0.0503,0.2589,0.194284,0.228137,0.24981,0.214744,0.477947,0.0736522,4.1885,0.227812,0,-0.00115934,0.0357787,-0.0860655,31.287,-0.00115934,0,-0.08349190896842629,0.004000000189989805,-0.00453875,999,,,,"sa3022685"
"Lester Madden",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.182062,0.042,0.308,0.136364,0.224313,0.270467,0.218826,0.49478,0.0884055,4.22982,0.250041,0,-0.00108975,0.0391689,-0.0826753,32.329,-0.00108975,0,-0.08354887017048895,0.004000000189989805,-0.00454029,999,,,,"sa3008603"
"Cam Collier","CIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.181139,0.0654,0.296,0.220946,0.242729,0.266542,0.229006,0.509271,0.0854034,3.39003,0.245455,0,-0.00134368,0.0476232,-0.074221,33.5455,-0.00134368,0,-0.08367075945716351,0.004000000189989805,-0.0045483,999,,,,"sa3020131"
"Joendry Vargas","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.169402,0.05,0.2747,0.182017,0.218275,0.244872,0.207638,0.463147,0.0754697,3.81776,0.219251,0,-0.00103588,0.0298771,-0.0919671,26.7094,-0.00103588,0,-0.09183192113414407,0.012000000104308128,-0.00456437,999,,,,"sa3021067"
"Kai Murphy","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.19303,0.0494,0.2952,0.167344,0.239811,0.285175,0.23243,0.524986,0.092145,3.90541,0.26001,0,-0.00114589,0.0504668,-0.0713773,46.1689,-0.00114589,0,-0.06783455226104707,-0.012000000104308128,-0.00456463,999,,,,"sa3019857"
"Jeremy De La Rosa","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.194599,0.0645,0.3364,0.191736,0.251082,0.291462,0.240705,0.542544,0.0968624,4.11051,0.282674,0,-0.001096,0.0573388,-0.0645054,46.1119,-0.001096,0,-0.0678551661549136,-0.012000000104308128,-0.00456669,999,,,,"sa3011329"
