Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Brandon Pfaadt","ARI",7.85501,8.53009,7.76078,4.33291,25.5404,25.5404,0,0,142.089,591.98,138.424,74.3549,68.4065,23.6488,35.4744,0.606964,6.02427,135.534,8.5848,2.24697,3.82061,1.49793,0.22895,0.059925,0.16902488842606544,0.25146,1.22387,0.293319,0.707035,,,4.38717,1.64505,1.87298,203.0399932861328,4.59151,-1.40973,0.826863,"27782"
"Trevor Rogers","MIA",6.34891,8.11581,6.69595,4.19904,21.8953,21.8953,0,0,114.571,488.523,108.147,58.1025,53.4543,14.0739,40.6963,0.833362,7.42321,114.522,8.99617,3.19685,2.81407,1.10556,0.234426,0.0833049,0.15112100541591644,0.245564,1.29914,0.301703,0.702656,,,4.1128,1.63724,1.72305,341.4800109863281,3.04878,-0.916412,0.420473,"22286"
"Logan Allen","CLE",7.95036,8.11591,9.04618,4.12395,25.3788,25.3788,0,0,138.606,586.458,130.483,69.0343,63.5115,19.3715,49.9786,0.893607,4.03907,131.441,8.53475,3.24523,2.62994,1.25784,0.224127,0.0852212,0.1389053612947464,0.245066,1.30198,0.291152,0.726662,,,4.34447,1.62054,1.86983,347.1499938964844,2.02826,-2.24696,0.738254,"27589"
"Cristian Javier","HOU",9.61027,7.44702,9.79917,4.30744,28.3269,28.3269,0,0.171836,157.016,657.082,132.92,81.6832,75.1485,25.975,61.5538,0.612542,7.2614,166.465,9.54159,3.5282,2.70438,1.48886,0.253339,0.0936775,0.15966182202100754,0.225952,1.23856,0.270182,0.713374,,,4.60007,1.6149,1.8,184.4199981689453,4.47196,-0.0333853,1.14594,"17606"
"Tanner Houck","BOS",7.59065,8.36718,5.54948,4.27813,34.7874,22.4104,0.705429,0.519949,126.049,541.021,121.262,65.1273,59.9171,14.6182,46.1049,2.08951,8.11223,118.958,8.4937,3.29193,2.58016,1.04375,0.219877,0.0852182,0.1346585378050804,0.249098,1.32779,0.301912,0.695975,,,4.16558,1.57892,1.82547,409.3800048828125,2.75533,-3.35668,0.783082,"19879"
"Edward Cabrera","MIA",7.97409,8.5129,7.54764,4.04911,25.0226,25.0226,0,0,130.793,564.126,110.417,63.9609,58.8441,15.7896,66.2588,0.48267,8.14979,142.039,9.77385,4.55932,2.14371,1.08649,0.251787,0.117454,0.13433272391557693,0.22547,1.3508,0.285117,0.729214,,,4.35916,1.57789,2.17212,288.80999755859375,1.35501,0.385465,1.01701,"21690"
"Ryan Pepiot","TBR",8.8503,7.38505,7.93029,3.98653,28.1322,24.387,0,0.264626,136.143,569.286,118.224,65.5479,60.3041,20.5928,46.3462,0.856702,8.20464,135.635,8.96642,3.06382,2.92655,1.36133,0.238254,0.0814111,0.15684263408184052,0.229679,1.20881,0.272326,0.729498,,,4.43094,1.57135,2.16378,194.69000244140625,6.29916,0.0972612,0.531839,"26221"
"Kyle Bradish","BAL",7.14154,5.14901,7.73466,3.70803,17.9003,17.9003,0,0,102.49,426.294,92.4435,45.8979,42.2261,12.1107,32.0882,0.414311,4.54266,100.464,8.8221,2.81778,3.13087,1.06349,0.235668,0.0752723,0.16039520502090454,0.237239,1.21507,0.289917,0.730956,,,3.90295,1.56847,1.85105,126.37999725341797,3.64589,0.855866,0.449853,"24586"
"Kyle Hendricks","CHC",7.66668,8.39194,9.12489,4.57607,24.5096,24.5096,0,0,139.784,593.597,148.507,77.2537,71.0734,20.6422,33.7854,0.787229,5.93147,99.2951,6.39313,2.17528,2.93899,1.32905,0.167277,0.0569164,0.11036045104265213,0.268122,1.3041,0.294659,0.684768,,,4.60648,1.54965,1.36784,439.30999755859375,3.33142,-0.35474,1.0231,"12049"
"Michael Wacha","KCR",8.11454,7.14062,8.9215,4.44181,23.7947,23.7947,0,0,133.245,563.905,132.848,71.4796,65.7612,20.2743,40.0055,0.447813,4.63898,112.248,7.58172,2.70215,2.8058,1.36942,0.199054,0.0709438,0.12811054289340973,0.255842,1.29726,0.291086,0.701699,,,4.55343,1.51496,1.51006,287.8999938964844,5.52935,1.36853,0.883897,"14078"
