"","Name","Team","PlayerId","AB","AVG","OPS","R","HR","RBI","RC","wAVG","wOPS","pr"
"28","Francisco Lindor","NYM","12916",576.303,0.254147,0.781399,1.60044294665882,1.18087048069124,1.4710936130157,1.09310511718611,1.17230075964895,1.31444884051321,7.83226175771404
"27","Luis Robert Jr.","CHW","20043",555.734,0.268955,0.811337,1.1976309201771,1.62064103435905,1.29051823302482,1.02309633075847,1.28046746967907,1.3212036410084,7.73355762900692
"29","Alex Bregman","HOU","17678",554.686,0.264084,0.813588,1.62182464637216,0.649120570693125,1.35951372346034,1.5344396015626,1.17295006715409,1.32596594567161,7.66381455491393
"31","Paul Goldschmidt","STL","9218",558.748,0.266227,0.807927,1.41080033743819,0.858115628275528,1.28915243644741,1.3902949369187,1.25475206423355,1.32766038366417,7.53077578697755
"34","Bryan Reynolds","PIT","19326",567.105,0.2688,0.809929,1.28843086941948,0.842755102025675,1.09573287780981,1.39312415544274,1.38750365694994,1.42196015365451,7.42950681530216
"30","Manny Machado","SDP","11493",537.303,0.268518,0.815555,0.893158522879944,1.39624606456205,1.66540663024769,1.11271711698674,1.09337988099881,1.16951214482642,7.33042036050165
"35","Michael Harris II","ATL","25931",557.894,0.288149,0.815854,1.45518268654571,0.601516067973495,1.03221195532208,1.1257947936995,1.68726599921272,1.37228587679846,7.27425737955197
"33","Christian Walker","ARI","13419",556.229,0.252916,0.793612,0.965525573613365,1.34491302384673,1.65828172476886,1.11764684829215,0.963788761123553,1.2081285775539,7.25828450919855
"36","Jose Altuve","HOU","5417",543.671,0.275749,0.819655,1.87312611058011,0.801255423841243,0.590740974950462,1.28110982332028,1.29665761988022,1.25825611233466,7.10114606490697
"32","Mike Trout","LAA","10155",460.148,0.265616,0.906388,1.11274591923292,1.94476126688586,1.17964969585353,1.49028247946853,0.298717645879273,0.916910077765224,6.94306708508535
"37","Gunnar Henderson","BAL","26289",540.15,0.261253,0.817559,1.42690310479937,1.05096244031321,1.00455457462952,1.18573861485912,0.979521186667605,1.21021472825581,6.85789464952464
"39","Randy Arozarena","TBR","19290",551.782,0.259105,0.806254,1.38538860941219,0.922590452560167,1.05528822666125,1.19672366878658,1.04631703854401,1.24933438937166,6.85564238533585
"38","Spencer Torkelson","DET","27465",551.227,0.243386,0.788454,0.951342418016602,1.5155067658045,1.27740658588168,1.04214239501836,0.728906244211474,1.12667337790448,6.6419777868371
"40","Nolan Arenado","STL","9777",559.817,0.26152,0.777938,0.600105502795836,1.04135226491587,1.65956784987926,0.888623866941537,1.17005449174482,1.13726387376441,6.49696785004173
"42","Dansby Swanson","CHC","18314",576.561,0.256073,0.761214,1.15605282319532,0.784634546719607,1.19242558467139,0.874309160470951,1.21467820890942,1.1777158822269,6.39981620619358
"41","Anthony Santander","BAL","14551",551.492,0.24837,0.774661,0.71164535384237,1.39133594762406,1.4123529785489,0.807773166263439,0.8302759221947,1.03822492244238,6.19160829091585
"43","Gleyber Torres","NYY","16997",555.149,0.268845,0.787664,1.05176933589682,0.781444283575407,0.878400497429382,0.975345100296875,1.27259736619685,1.15840177598796,6.11795835938329
"44","Nick Castellanos","PHI","11737",569.768,0.262707,0.761506,0.670749528511794,0.863235803692145,1.43881528723623,0.710545949035402,1.2882006041415,1.11788109642275,6.08942826903982
"48","Nathaniel Lowe","TEX","19566",566.916,0.270002,0.786908,0.905699600943287,0.283947034248969,0.847886325562405,1.22852829292769,1.41022804769067,1.26409165585469,5.94038095722771
"51","Ketel Marte","ARI","13613",544.998,0.273068,0.807787,1.15004536348678,0.228294666066809,0.83219104656033,1.21426857199393,1.25719195839053,1.19392824112432,5.8759198476227
