"","Name","Team","PlayerId","IP","SO","QS","wERA","wWHIP","ERA","WHIP","SVHD","pr","rank","pos"
"12","Aaron Nola","PHI","16149",1.74824210546715,1.7731942275007,1.70055431222531,1.55803269758472,1.50654005263549,-0.00100462810248181,0.826005983245879,-0.753627412948396,8.35793733760837,13,"SP"
"19","Garrett Crochet","BOS","27463",1.00986424995126,2.12702386793831,1.17232795609536,0.340256600881545,0.568532127442755,1.37802207636638,1.79286449336903,-0.753627412948396,7.63526395909625,14,"SP"
"14","Kevin Gausman","TOR","14107",1.66864379757702,1.74214161971642,1.73176567609704,1.4775902696383,1.64771196152198,0.0159190684951739,0.0964683069146721,-0.753627412948396,7.6266132870122,15,"SP"
"15","Gerrit Cole","NYY","13125",1.47079608036934,1.67934685697278,1.56150787860194,1.1908504848846,1.18463130137268,0.254439326680177,1.03813946439482,-0.753627412948396,7.62608398032794,16,"SP"
"18","Chris Sale","ATL","10603",1.04671448468434,1.80015552204619,1.32630658353159,0.312267712542896,0.6131199641115,1.51730145185539,1.74372116976778,-0.753627412948396,7.60595947559128,17,"SP"
"16","Shota Imanaga","CHC","33829",1.42314064547019,1.47455134597505,1.39236614713926,1.0269202420806,1.0449479041908,0.529617411430499,1.38035162897123,-0.753627412948396,7.51826791230922,18,"SP"
"20","Blake Snell","LAD","13543",1.09349199707,2.21604440824069,1.43414165328323,0.515744572152224,0.900599453383556,1.10011502008286,0.777198491013193,-0.753627412948396,7.28370818227735,19,"SP"
"21","Bailey Ober","MIN","21224",1.42147484377792,1.60485277715868,1.35218776997269,1.31654383575642,1.03143111761606,-0.12741303337522,1.42344998793817,-0.753627412948396,7.26889988589632,20,"SP"
"23","Tanner Bibee","CLE","30134",1.40324106849765,1.68490920418507,1.17661903756478,1.05392276362503,1.12413187289137,0.430030315928051,1.02996756775953,-0.753627412948396,7.14919441750309,21,"SP"
"17","Seth Lugo","KCR","12447",1.68971393790088,1.25559713298241,1.67167129300739,1.54798862932884,1.66028184071229,-0.0922622507909211,0.124790085664374,-0.730857268862864,7.1269233999424,22,"SP"
"26","Bryce Miller","SEA","29837",1.41211033696731,1.28490288792317,1.27084964723176,1.13160693031784,1.03226525121036,0.271505581492253,1.39009073865986,-0.753627412948396,7.03970396085416,23,"SP"
"24","Michael King","SDP","19853",1.36263152454013,1.80626950699854,1.22726534441458,0.891242213877916,1.25130764943384,0.722844888348131,0.428941361802455,-0.709621043511769,6.98088144590383,24,"SP"
"28","Sonny Gray","STL","12768",1.26945918394136,1.59432569028584,1.33675527069703,0.820502070392884,1.0251646678201,0.707978103129975,0.935039234242746,-0.753627412948396,6.93559680756154,25,"SP"
"27","Freddy Peralta","MIL","18679",1.34174147088571,1.96130269686158,1.23863767243443,1.10178323061204,1.16709803454312,0.19766042642234,0.663015825698197,-0.753627412948396,6.91761194450903,26,"SP"
